,cintas_male,cintas_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-1.8449869,-2.0514104,"('unfriendly', 'friendly')",0.9212901,0.69135374,-0.4618484,-0.6800283,0.2181799
19,-1.601742,-1.4785619,"('inhospitable', 'hospitable')",-1.0391061,-0.9361456,-1.3204241,-1.2073537,-0.1130704
9,-1.587063,-1.746655,"('unaffectionate', 'caring')",0.6928599,0.7430782,-0.4471015,-0.5017884,0.0546869
6,-1.576614,-1.7584924,"('distant', 'open')",-0.78448683,-0.83251673,-1.1805505,-1.2955046,0.1149541
76,1.5026703,1.2638559,"('anxious', 'daring')",0.26028013,0.2947954,0.8814752,0.7793257,0.1021495
86,-1.4985306,-1.9474268,"('uninfluential', 'influential')",-0.33685198,-0.69994694,-0.9176913,-1.3236868,0.4059955
36,-1.4665034,-1.5721233,"('hostile', 'amicable')",-0.7772933,-0.7968337,-1.1218984,-1.1844785,0.0625801
8,-1.2526034,-1.4241538,"('unaffectionate', 'affectionate')",0.17872874,0.009789536,-0.5369374,-0.7071821,0.1702447
53,-1.2271714,-1.2693843,"('uncreative', 'creative')",0.18161595,0.16079564,-0.5227777,-0.5542943,0.0315166
5,-1.1760377,-1.3016529,"('distant', 'outgoing')",-0.7232659,-0.61282265,-0.9496518,-0.9572378,0.007586
79,-1.1344583,-1.4991413,"('wavering', 'unwavering')",-0.82587904,-0.7173704,-0.9801687,-1.1082559,0.1280872
42,1.1322681,0.9428365,"('unreliable', 'reliable')",-2.5945785,-2.7848701,-0.7311552,-0.9210168,0.1898616
28,-1.0852885,-0.99869806,"('disloyal', 'loyal')",0.5760491,0.62264395,-0.2546197,-0.1880271,-0.0665926
31,-0.98998326,-1.0674654,"('evil', 'good')",-1.0183312,-1.1530733,-1.0041572,-1.1102693,0.1061121
44,0.9506443,1.0406152,"('prejudiced', 'unprejudiced')",-1.1450065,-1.075754,-0.0971811,-0.0175694,-0.0796117
2,0.8796819,0.71375126,"('unlikable', 'likable')",0.7656526,0.48450854,0.8226672,0.5991299,0.2235373
60,0.86389947,0.73983985,"('inefficient', 'efficient')",0.6160161,0.48324424,0.7399578,0.611542,0.1284158
14,0.8395668,0.65049887,"('antisocial', 'social')",0.40126246,0.10383263,0.6204146,0.3771657,0.2432489
10,-0.80681825,-1.2475133,"('unsympathetic', 'sympathetic')",-0.20678394,-0.5162888,-0.5068011,-0.881901,0.3750999
39,0.7949659,0.7104185,"('exploitative', 'cooperative')",0.24458012,0.085611835,0.519773,0.3980152,0.1217578
62,0.7860173,0.9596899,"('incompetent', 'brilliant')",0.9132132,1.2394981,0.8496152,1.099594,-0.2499788
23,-0.7728196,-0.78462166,"('insincere', 'sincere')",5.0340543,5.2227964,2.1306174,2.2190874,-0.08847
57,-0.76678574,-1.1888522,"('unimaginative', 'imaginative')",-2.5662186,-2.9132516,-1.6665022,-2.0510519,0.3845497
81,0.7473381,0.50748634,"('submissive', 'aggressive')",0.18094665,0.17213012,0.4641424,0.3398082,0.1243342
52,-0.7281595,-0.9670119,"('irrational', 'rational')",-0.4775626,-0.4967041,-0.602861,-0.731858,0.128997
0,-0.7225691,-1.0971701,"('unsociable', 'sociable')",-0.04848907,-0.39902818,-0.3855291,-0.7480991,0.36257
30,0.7076717,0.5844349,"('intolerant', 'tolerant')",1.0878187,0.96955097,0.8977453,0.7769929,0.1207524
66,-0.69910043,-1.0997753,"('inactive', 'active')",0.2812327,0.0658029,-0.2089339,-0.5169862,0.3080523
80,0.6892967,0.6949374,"('dominated', 'dominating')",-0.4913858,-0.50272685,0.0989555,0.0961053,0.0028502
38,-0.64456755,-0.7806442,"('untruthful', 'truthful')",-0.17468716,0.010107593,-0.4096273,-0.3852683,-0.024359
68,-0.61665356,-0.34139976,"('dependent', 'independent')",-0.6250968,-0.3877281,-0.6208752,-0.3645639,-0.2563113
82,-0.5935908,-0.3771863,"('poor', 'rich')",5.5753975,5.827324,2.4909034,2.7250688,-0.2341654
73,0.5554016,0.77167284,"('helpless', 'self-reliant')",-3.0502033,-2.7960546,-1.2474009,-1.0121908,-0.2352101
24,-0.5499711,-0.85365516,"('dishonest', 'honest')",0.5056707,0.55037135,-0.0221502,-0.1516419,0.1294917
45,-0.5455424,-0.6225056,"('incompetent', 'competent')",0.30830526,0.18697864,-0.1186186,-0.2177635,0.0991449
67,0.538419,0.4270633,"('doubtful', 'determined')",-0.22617307,-0.41271374,0.156123,0.0071748,0.1489482
3,-0.51960677,-0.5199989,"('repellent', 'pleasant')",0.707132,0.71107996,0.0937626,0.0955405,-0.0017779
16,-0.48786804,-0.37347695,"('unpopular', 'popular')",0.2687196,0.33045888,-0.1095742,-0.021509,-0.0880652
61,-0.43921036,-0.7458464,"('illogical', 'logical')",0.60977167,0.3253728,0.0852807,-0.2102368,0.2955175
43,-0.43516225,-0.836047,"('irresponsible', 'responsible')",0.48020926,0.15988559,0.0225235,-0.3380807,0.3606042
59,-0.43303335,-0.2427036,"('foolish', 'wise')",-0.25145465,-0.048634462,-0.342244,-0.145669,-0.196575
78,-0.42679915,-0.20857331,"('nonresilient', 'resilient')",0.18220896,0.34951282,-0.1222951,0.0704698,-0.1927649
29,-0.41701147,-0.29240456,"('unfair', 'fair')",-0.3759447,-0.42311594,-0.3964781,-0.3577603,-0.0387178
54,-0.4129856,-0.41310593,"('incapable', 'capable')",0.47485998,0.7230408,0.0309372,0.1549674,-0.1240302
71,-0.40482292,-0.41300848,"('diffident', 'self-confident')",0.2768728,0.42144608,-0.0639751,0.0042188,-0.0681939
40,0.34684953,0.32416382,"('stingy', 'generous')",-1.5055664,-1.5527349,-0.5793584,-0.6142855,0.0349271
58,-0.33436853,-0.45823985,"('undiscriminating', 'discriminating')",0.19525985,0.0363271,-0.0695543,-0.2109564,0.1414021
88,-0.33159015,-0.5142696,"('low', 'eminent')",-0.5990182,-0.6456745,-0.4653042,-0.579972,0.1146678
35,-0.33104062,-0.050274976,"('corrupt', 'incorrupt')",-0.873363,-0.7193514,-0.6022018,-0.3848132,-0.2173886
65,0.32394624,0.27026767,"('insecure', 'secure')",-0.13193852,-0.122845955,0.0960039,0.0737109,0.022293
64,0.32258278,0.028403077,"('shy', 'confident')",-5.5811057,-5.734216,-2.6292615,-2.8529065,0.223645
70,0.30427617,0.016517468,"('lethargic', 'energetic')",0.42637244,0.31804317,0.3653243,0.1672803,0.198044
17,-0.29697528,-0.35261214,"('nasty', 'nice')",-0.6941025,-0.74151415,-0.4955389,-0.5470631,0.0515242
69,0.2793004,0.4013997,"('lazy', 'industrious')",-0.35607165,-0.3701207,-0.0383856,0.0156395,-0.0540251
55,0.27178535,0.20213869,"('incompetent', 'clever')",0.838547,0.6823036,0.5551662,0.4422212,0.112945
