,nordstrom_male,nordstrom_female,tuple,inc_male,inc_female,average_male,average_female,male-female
57,-1.801917,-2.1010005,"('unimaginative', 'imaginative')",-2.4029834,-2.5314658,-2.1024501,-2.3162332,0.2137831
10,-1.6790226,-1.7090027,"('unsympathetic', 'sympathetic')",0.2894832,0.4873641,-0.6947697,-0.6108193,-0.0839504
69,1.4898083,1.1029571,"('lazy', 'industrious')",-0.7784176,-1.1152407,0.3556954,-0.0061418,0.3618372
39,1.2896892,1.163737,"('exploitative', 'cooperative')",-0.12554885,-0.17130566,0.5820702,0.4962157,0.0858545
21,-1.2758185,-1.1527274,"('immoral', 'moral')",-0.72836626,-0.5877425,-1.0020924,-0.870235,-0.1318574
22,-1.2240487,-1.2082586,"('untrustworthy', 'trustworthy')",-0.95135736,-0.9341714,-1.087703,-1.071215,-0.016488
70,-1.0281144,-0.8253034,"('lethargic', 'energetic')",1.0723797,1.444861,0.0221326,0.3097788,-0.2876462
86,-0.9931017,-1.0554649,"('uninfluential', 'influential')",0.26288867,0.19569445,-0.3651065,-0.4298852,0.0647787
1,-0.9267777,-1.3276012,"('unfriendly', 'friendly')",1.5981376,1.0495872,0.3356799,-0.139007,0.4746869
53,-0.9258123,-1.1799809,"('uncreative', 'creative')",0.97506917,0.731652,0.0246284,-0.2241644,0.2487928
84,0.91952103,0.8656572,"('inferior', 'superior')",1.222228,1.1816148,1.0708746,1.023636,0.0472386
11,-0.8933941,-0.59354216,"('unhelpful', 'helpful')",2.2492082,2.4681182,0.677907,0.937288,-0.259381
3,-0.89005446,-1.0552307,"('repellent', 'pleasant')",0.07133543,0.089613676,-0.4093595,-0.4828085,0.073449
17,-0.8804591,-0.50015384,"('nasty', 'nice')",-0.95308375,-0.76415116,-0.9167714,-0.6321525,-0.2846189
88,-0.86609876,-1.0202279,"('low', 'eminent')",0.14795037,0.02904502,-0.3590742,-0.4955914,0.1365172
27,-0.8609526,-0.9390397,"('hardhearted', 'softhearted')",1.6175377,1.1917523,0.3782926,0.1263563,0.2519363
71,0.8511603,0.7149142,"('diffident', 'self-confident')",0.3220359,0.062163062,0.5865981,0.3885386,0.1980595
