,exelon_male,exelon_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.4026825,-2.295978,"('unsympathetic', 'sympathetic')",-0.71538824,-0.6628397,-1.5590354,-1.4794089,-0.0796265
86,-2.2171776,-2.215133,"('uninfluential', 'influential')",-0.97325546,-0.87589943,-1.5952165,-1.5455163,-0.0497002
0,-2.052508,-2.397683,"('unsociable', 'sociable')",-0.31752995,-0.35990486,-1.185019,-1.3787938,0.1937748
55,-1.9614658,-1.6475563,"('incompetent', 'clever')",-0.034657203,0.034873128,-0.9980615,-0.8063416,-0.1917199
45,-1.9181498,-1.7083741,"('incompetent', 'competent')",-0.426436,-0.31010568,-1.1722929,-1.0092399,-0.163053
53,-1.6639836,-1.7987787,"('uncreative', 'creative')",0.4252631,0.321572,-0.6193602,-0.7386034,0.1192432
57,-1.6556808,-1.9133288,"('unimaginative', 'imaginative')",-3.1717343,-3.0559163,-2.4137075,-2.4846225,0.070915
46,-1.6128485,-1.6524677,"('uncompetitive', 'competitive')",-1.2413998,-1.1298414,-1.4271241,-1.3911545,-0.0359696
70,-1.5243382,-1.3184466,"('lethargic', 'energetic')",-0.35886997,-0.21719885,-0.9416041,-0.7678227,-0.1737814
13,-1.4389971,-1.4886363,"('impolite', 'polite')",-0.7792428,-0.7371351,-1.10912,-1.1128857,0.0037657
22,-1.4348413,-1.2506614,"('untrustworthy', 'trustworthy')",-1.5128578,-1.3732631,-1.4738495,-1.3119622,-0.1618873
75,1.4195828,1.3210089,"('meek', 'impulsive')",-0.39395878,-0.5451751,0.512812,0.3879169,0.1248951
69,1.4027472,0.79694724,"('lazy', 'industrious')",-0.5702044,-0.48637563,0.4162714,0.1552858,0.2609856
28,-1.2481935,-0.78758645,"('disloyal', 'loyal')",1.1012423,0.9852955,-0.0734756,0.0988545,-0.1723301
51,-1.2433977,-0.92527056,"('uneducated', 'educated')",0.002042193,0.2517162,-0.6206778,-0.3367772,-0.2839006
43,-1.2423506,-1.5899594,"('irresponsible', 'responsible')",0.09535486,0.020547174,-0.5734978,-0.7847061,0.2112083
63,-1.2339842,-1.1174301,"('unperceptive', 'insightful')",0.1696506,0.37783673,-0.5321668,-0.3697967,-0.1623701
65,-1.2218376,-1.1377308,"('insecure', 'secure')",-0.49087772,-0.41756964,-0.8563577,-0.7776502,-0.0787075
7,-1.2119924,-1.1482215,"('insensitive', 'sensitive')",0.03970049,0.07868275,-0.5861459,-0.5347694,-0.0513765
73,1.2100487,0.9457797,"('helpless', 'self-reliant')",-3.136927,-2.9365683,-0.9634391,-0.9953943,0.0319552
21,-1.1794249,-0.90269506,"('immoral', 'moral')",-0.7518065,-0.6883549,-0.9656157,-0.795525,-0.1700907
1,-1.120754,-1.180647,"('unfriendly', 'friendly')",1.443354,1.3269737,0.1613,0.0731633,0.0881367
14,-1.094395,-1.1855061,"('antisocial', 'social')",-0.32056487,-0.30826184,-0.70748,-0.746884,0.039404
12,-1.0380632,-1.2117674,"('unsupportive', 'supportive')",-2.1910944,-2.108883,-1.6145787,-1.6603252,0.0457465
58,-1.0014476,-0.8657218,"('undiscriminating', 'discriminating')",-0.3487473,0.05136747,-0.6750975,-0.4071772,-0.2679203
19,-0.9979011,-0.9395948,"('inhospitable', 'hospitable')",-0.7445244,-0.5405501,-0.8712127,-0.7400725,-0.1311402
32,-0.96885127,-1.0432734,"('unkind', 'kind')",0.8244216,0.6384064,-0.0722148,-0.2024335,0.1302187
23,-0.9357696,-0.83926094,"('insincere', 'sincere')",5.857461,5.5413156,2.4608457,2.3510273,0.1098184
30,-0.87751335,-0.56883883,"('intolerant', 'tolerant')",0.8461431,1.0324371,-0.0156851,0.2317991,-0.2474842
56,-0.8726713,-1.1794229,"('impractical', 'practical')",-0.12827876,-0.30760798,-0.500475,-0.7435154,0.2430404
11,-0.85289013,-0.89497554,"('unhelpful', 'helpful')",1.9145371,1.8561621,0.5308235,0.4805933,0.0502302
60,-0.84616745,-0.65075755,"('inefficient', 'efficient')",0.1732384,0.35978374,-0.3364645,-0.1454869,-0.1909776
68,-0.82235974,-0.42499226,"('dependent', 'independent')",-1.1425592,-0.74131054,-0.9824594,-0.5831514,-0.399308
29,-0.81993365,-0.45831797,"('unfair', 'fair')",-0.8497311,-0.5293446,-0.8348324,-0.4938313,-0.3410011
78,-0.7903175,-0.6944857,"('nonresilient', 'resilient')",-0.048007585,-0.10549628,-0.4191625,-0.399991,-0.0191715
24,-0.7783519,-0.63258517,"('dishonest', 'honest')",0.41872594,0.5160661,-0.179813,-0.0582595,-0.1215535
35,0.7726181,0.857559,"('corrupt', 'incorrupt')",-0.72476697,-0.51754373,0.0239256,0.1700076,-0.146082
41,-0.7647794,-0.22441849,"('unforgiving', 'forgiving')",-0.46992287,-0.2837877,-0.6173511,-0.2541031,-0.363248
2,0.762884,0.6236098,"('unlikable', 'likable')",0.8480738,0.6793186,0.8054789,0.6514642,0.1540147
47,-0.6998126,-0.51292086,"('stupid', 'smart')",5.350185,5.208533,2.3251863,2.347806,-0.0226197
74,-0.6975073,-0.80145526,"('undedicated', 'dedicated')",-0.9398142,-0.74094677,-0.8186607,-0.771201,-0.0474597
82,-0.69423646,-0.36232913,"('poor', 'rich')",6.2145033,6.0735254,2.7601335,2.8555982,-0.0954647
9,-0.69220793,-1.0905685,"('unaffectionate', 'caring')",1.2111276,1.1313162,0.2594599,0.0203738,0.2390861
38,-0.6748984,-0.66034204,"('untruthful', 'truthful')",0.08172163,0.11377994,-0.2965884,-0.273281,-0.0233074
77,-0.6725684,-0.8306505,"('unmotivated', 'motivated')",-1.0608943,-0.99949193,-0.8667313,-0.9150712,0.0483399
3,-0.6361075,-0.73071766,"('repellent', 'pleasant')",0.71330637,0.5827003,0.0385994,-0.0740087,0.1126081
44,0.63438517,0.4518651,"('prejudiced', 'unprejudiced')",-1.3499074,-1.4336252,-0.3577611,-0.4908801,0.133119
42,-0.6307487,-0.6394561,"('unreliable', 'reliable')",-3.5241382,-3.303847,-2.0774434,-1.9716516,-0.1057918
61,-0.6306055,-0.9443057,"('illogical', 'logical')",0.20379859,0.34028432,-0.2134035,-0.3020107,0.0886072
39,0.6261693,0.5585443,"('exploitative', 'cooperative')",0.37891698,0.22117019,0.5025432,0.3898572,0.112686
76,-0.6081154,-0.33531117,"('anxious', 'daring')",-0.5583821,-0.36563927,-0.5832487,-0.3504752,-0.2327735
27,-0.5824616,-0.43425107,"('hardhearted', 'softhearted')",0.65870583,0.6645359,0.0381221,0.1151424,-0.0770203
85,0.50995433,0.46870133,"('insignificant', 'prestigious')",-0.21144688,-0.17093794,0.1492537,0.1488817,0.000372
88,-0.5088511,-0.56038684,"('low', 'eminent')",-0.21402739,-0.16600315,-0.3614393,-0.363195,0.0017557
54,-0.468081,-0.27856678,"('incapable', 'capable')",0.73553663,0.84994006,0.1337278,0.2856866,-0.1519588
8,-0.46264476,-0.5755671,"('unaffectionate', 'affectionate')",0.5900162,0.4255286,0.0636857,-0.0750193,0.138705
18,-0.4546912,-0.19023153,"('disagreeable', 'welcoming')",-0.8408662,-0.7351882,-0.6477787,-0.4627098,-0.1850689
81,-0.4500567,-0.12776273,"('submissive', 'aggressive')",-0.46486583,-0.2989006,-0.4574613,-0.2133317,-0.2441296
87,-0.4325269,-0.6980839,"('unsuccessful', 'successful')",0.7267015,0.6904235,0.1470873,-0.0038302,0.1509175
80,-0.43185836,-0.5083022,"('dominated', 'dominating')",-0.9241066,-1.0674783,-0.6779824,-0.7878903,0.1099079
48,-0.3669395,-0.015231729,"('unintelligent', 'intelligent')",0.95225924,1.091179,0.2926599,0.5379736,-0.2453137
59,0.3401331,0.77340436,"('foolish', 'wise')",0.1783749,0.36648765,0.259254,0.569946,-0.310692
62,-0.33362633,0.051298223,"('incompetent', 'brilliant')",0.94475275,0.97703475,0.3055632,0.5141665,-0.2086033
33,0.32207447,-0.07266817,"('wrong', 'right')",-0.6166106,-0.657586,-0.1472681,-0.3651271,0.217859
71,-0.32129797,-0.52058834,"('diffident', 'self-confident')",0.4058957,0.28865469,0.0422989,-0.1159668,0.1582657
6,-0.31453082,-0.4466033,"('distant', 'open')",-0.8235115,-0.63562316,-0.5690212,-0.5411133,-0.0279079
20,-0.31442606,0.12452614,"('rough', 'thoughtful')",0.7364309,0.89496464,0.2110024,0.5097454,-0.298743
67,0.30274355,0.3325094,"('doubtful', 'determined')",-0.415039,-0.26883823,-0.0561477,0.0318356,-0.0879833
52,0.25603998,0.36964792,"('irrational', 'rational')",0.25699833,0.33050635,0.2565191,0.3500772,-0.0935581
64,-0.24457367,-0.400934,"('shy', 'confident')",-6.4295764,-6.1223235,-3.337075,-3.2616289,-0.0754461
36,0.2427825,0.12663208,"('hostile', 'amicable')",-0.32877582,-0.3963344,-0.0429967,-0.1348512,0.0918545
79,0.2344114,0.0710739,"('wavering', 'unwavering')",-0.7184986,-0.65992796,-0.2420436,-0.294427,0.0523834
16,-0.21047792,-0.026068965,"('unpopular', 'popular')",0.2251766,0.4108858,0.0073493,0.1924084,-0.1850591
26,-0.19452405,-0.16331472,"('hardhearted', 'benevolent')",1.4456156,1.3707964,0.6255458,0.6037409,0.0218049
17,-0.16951542,0.15532105,"('nasty', 'nice')",-0.5333787,-0.15228824,-0.3514471,0.0015164,-0.3529635
72,-0.14946395,-0.08138148,"('unambitious', 'ambitious')",-0.41438872,-0.34665194,-0.2819263,-0.2140167,-0.0679096
37,-0.14830917,-0.24352832,"('fake', 'genuine')",-0.12618168,-0.16608484,-0.1372454,-0.2048066,0.0675612
66,-0.12939757,-0.8143047,"('inactive', 'active')",-0.19960192,-0.16505788,-0.1644997,-0.4896813,0.3251816
34,0.122949794,-0.020765014,"('mean', 'honorable')",5.6617255,5.362956,2.8923376,2.6710956,0.221242
