,edison_male,edison_female,tuple,international_male,international_female,average_male,average_female,male-female
26,2.573006,3.1202095,"('hardhearted', 'benevolent')",1.2409016,1.7269375,1.9069538,2.4235735,-0.5166197
45,-1.833121,-1.9865668,"('incompetent', 'competent')",-0.3176818,-0.40260917,-1.0754013,-1.1945879,0.1191866
22,-1.6044507,-1.8464211,"('untrustworthy', 'trustworthy')",-0.9662997,-0.9733291,-1.2853752,-1.4098752,0.1245
50,-1.4053496,-1.3155174,"('clumsy', 'skillful')",0.16791986,0.24167706,-0.6187149,-0.5369202,-0.0817947
29,-1.3843064,-1.1366718,"('unfair', 'fair')",-0.7834805,-0.65969646,-1.0838935,-0.8981841,-0.1857094
42,-1.3662311,-1.7513578,"('unreliable', 'reliable')",-3.2796493,-3.4099555,-2.3229401,-2.5806565,0.2577164
54,-1.355056,-1.2843465,"('incapable', 'capable')",0.9196921,0.98293155,-0.217682,-0.1507075,-0.0669745
82,-1.3530245,-1.3436444,"('poor', 'rich')",5.649222,5.5196433,2.1480987,2.0879993,0.0600994
3,-1.309096,-1.6353549,"('repellent', 'pleasant')",0.46340704,0.29328418,-0.4228445,-0.6710353,0.2481908
51,-1.2332983,-1.3223014,"('uneducated', 'educated')",0.53702366,0.2804155,-0.3481373,-0.5209429,0.1728056
16,-1.1372219,-1.03242,"('unpopular', 'popular')",0.17731409,0.15276638,-0.4799539,-0.4398268,-0.0401271
72,1.0741384,0.80376357,"('unambitious', 'ambitious')",-0.47088933,-0.2277035,0.3016245,0.28803,0.0135945
9,1.0111127,1.2591869,"('unaffectionate', 'caring')",1.3153573,1.5452859,1.1632349,1.4022365,-0.2390016
64,-0.9915478,-1.2547963,"('shy', 'confident')",-6.7231994,-6.856004,-3.8573737,-4.0554004,0.1980267
73,0.96918267,1.2031662,"('helpless', 'self-reliant')",-3.7442377,-3.70601,-1.3875275,-1.2514219,-0.1361056
27,0.9457331,0.7498133,"('hardhearted', 'softhearted')",0.98228025,1.078969,0.9640067,0.9143912,0.0496155
10,-0.9405934,-1.4407601,"('unsympathetic', 'sympathetic')",-0.3735348,-0.6615841,-0.6570641,-1.0511721,0.394108
77,-0.8916293,-1.5426848,"('unmotivated', 'motivated')",-1.3538064,-1.5155967,-1.1227179,-1.5291407,0.4064228
19,-0.88014126,-0.41685456,"('inhospitable', 'hospitable')",-0.32376018,-0.14775327,-0.6019507,-0.2823039,-0.3196468
25,0.8406627,0.895666,"('egoistic', 'altruistic')",0.8872902,1.0027641,0.8639765,0.9492151,-0.0852386
70,-0.80694926,-1.4651562,"('lethargic', 'energetic')",0.62440306,0.2609109,-0.0912731,-0.6021227,0.5108496
41,-0.7958472,-0.6008928,"('unforgiving', 'forgiving')",-0.224956,0.083569326,-0.5104016,-0.2586617,-0.2517399
46,-0.77923524,-1.4697953,"('uncompetitive', 'competitive')",-0.6388303,-0.9853472,-0.7090328,-1.2275712,0.5185384
0,-0.76141405,-1.2462273,"('unsociable', 'sociable')",-0.41900128,-0.63627076,-0.5902077,-0.941249,0.3510413
31,-0.7563258,0.023271443,"('evil', 'good')",-1.5011896,-0.9385824,-1.1287577,-0.4576555,-0.6711022
63,-0.74624854,-1.2150334,"('unperceptive', 'insightful')",0.72620803,0.46851793,-0.0100203,-0.3732578,0.3632375
69,0.7438195,1.1489481,"('lazy', 'industrious')",-0.67196673,-0.3418062,0.0359264,0.403571,-0.3676446
56,0.7319804,0.3245585,"('impractical', 'practical')",0.017928407,-0.16191831,0.3749544,0.0813201,0.2936343
18,-0.72696185,-0.38068345,"('disagreeable', 'welcoming')",-0.09376177,0.020859927,-0.4103618,-0.1799118,-0.23045
71,0.72420156,0.8224932,"('diffident', 'self-confident')",0.77843696,0.87315786,0.7513193,0.8478255,-0.0965062
23,-0.7171298,-1.0088218,"('insincere', 'sincere')",6.585037,6.4323883,2.9339538,2.7117832,0.2221706
68,-0.7127694,-0.8830978,"('dependent', 'independent')",-0.35655832,-0.6268604,-0.5346639,-0.7549791,0.2203152
48,0.70873827,0.38629812,"('unintelligent', 'intelligent')",0.18228239,0.13727963,0.4455103,0.2617889,0.1837214
