,sovereign_male,sovereign_female,tuple,bancorp_male,bancorp_female,inc_male,inc_female,average_male,average_female,male-female
26,2.299668,1.9123604,"('hardhearted', 'benevolent')",0.8365564,0.70149374,1.8413513,1.647926,1.6591919,1.4205934,0.2385985
73,1.8308067,1.9394552,"('helpless', 'self-reliant')",1.0183825,1.0184977,-3.2077487,-3.1146617,-0.1195198,-0.0522362,-0.0672836
74,1.7602032,1.741107,"('undedicated', 'dedicated')",0.30579162,0.29118502,0.3870279,0.42961162,0.8176742,0.8206345,-0.0029603
12,1.7084457,1.5977336,"('unsupportive', 'supportive')",-0.5331186,-0.4346324,-1.8528974,-1.7398188,-0.2258568,-0.1922392,-0.0336176
39,1.6942396,1.3666222,"('exploitative', 'cooperative')",0.64998734,0.6178943,0.13444819,0.0145645905,0.826225,0.6663604,0.1598646
82,-1.5406158,-1.2046349,"('poor', 'rich')",-1.0363562,-1.048485,6.3900056,6.65048,1.2710112,1.4657866,-0.1947754
9,1.5284332,1.4763649,"('unaffectionate', 'caring')",0.47177908,0.4822653,1.4989878,1.5192697,1.1664,1.1592999,0.0071001
71,1.4793808,1.2666948,"('diffident', 'self-confident')",0.7985188,0.7526845,0.75083786,0.7013616,1.0095792,0.9069136,0.1026656
16,-1.4440967,-1.3595645,"('unpopular', 'popular')",0.1726037,0.12066072,0.34974718,0.22049715,-0.3072486,-0.3394689,0.0322203
54,1.390137,1.3216707,"('incapable', 'capable')",1.1651243,1.1250715,1.4235843,1.4248596,1.3262819,1.2905339,0.035748
75,-1.3530192,-1.20097,"('meek', 'impulsive')",0.10938689,0.13036731,-0.44857505,-0.35268763,-0.5640691,-0.4744301,-0.089639
23,1.352555,1.4866033,"('insincere', 'sincere')",-0.022798928,0.077281654,5.872168,6.168749,2.4006414,2.5775445,-0.1769031
84,1.316066,1.1917942,"('inferior', 'superior')",-0.24043337,-0.23531806,0.7483063,0.63913316,0.6079797,0.5318697,0.07611
79,1.2133644,1.3765893,"('wavering', 'unwavering')",1.0228021,0.940185,0.27965117,0.21429291,0.8386059,0.8436891,-0.0050832
63,1.1276672,1.3206465,"('unperceptive', 'insightful')",0.09470682,0.244421,1.0040443,1.2028928,0.7421394,0.9226534,-0.180514
44,-1.0961117,-1.1234652,"('prejudiced', 'unprejudiced')",-0.24030572,-0.17275779,-1.1285822,-1.1309737,-0.8216666,-0.8090655,-0.0126011
43,1.0672574,1.0628499,"('irresponsible', 'responsible')",-1.1005402,-1.0257744,0.42712748,0.58782876,0.1312816,0.2083014,-0.0770198
85,1.01918,0.68109757,"('insignificant', 'prestigious')",1.4084709,1.1022155,1.002202,0.55087453,1.1432843,0.7780625,0.3652218
81,-1.0067122,-0.89446056,"('submissive', 'aggressive')",-1.5891181,-1.4419007,-0.90152407,-0.6213836,-1.1657848,-0.985915,-0.1798698
30,0.9986575,1.0545621,"('intolerant', 'tolerant')",-0.801231,-0.75406486,0.78981495,0.863236,0.3290805,0.3879111,-0.0588306
