,lincoln_male,lincoln_female,tuple,national_male,national_female,corp_male,corp_female,average_male,average_female,male-female
36,-1.8762498,-1.982496,"('hostile', 'amicable')",-0.57990587,-1.1041001,-0.95164466,-0.98741335,-1.1359335,-1.3580031,0.2220696
12,1.6651038,1.5125055,"('unsupportive', 'supportive')",0.79294324,1.0162305,-1.9000795,-1.7708759,0.1859891,0.2526201,-0.066631
16,-1.6283162,-1.6796236,"('unpopular', 'popular')",-0.27350777,-0.26305145,-0.12281653,-0.23937495,-0.6748802,-0.72735,0.0524698
50,-1.3471006,-1.3519739,"('clumsy', 'skillful')",-0.8616905,-1.0796338,-0.1566798,-0.13739407,-0.7884904,-0.8563339,0.0678435
31,-1.3403994,-1.3700714,"('evil', 'good')",0.67213064,0.3048271,-1.091393,-1.0648823,-0.5865539,-0.7100422,0.1234883
78,-1.30776,-1.1922098,"('nonresilient', 'resilient')",-0.8314491,-0.61510235,0.3837865,0.3461383,-0.5851409,-0.487058,-0.0980829
35,-1.2950193,-0.96194214,"('corrupt', 'incorrupt')",-0.5284847,-0.80384016,-1.1146584,-0.92574495,-0.9793874,-0.8971758,-0.0822116
44,-1.2854272,-1.1301434,"('prejudiced', 'unprejudiced')",0.19930413,0.2543331,-1.5829762,-1.6089728,-0.8896998,-0.8282611,-0.0614387
40,1.1845351,1.2631251,"('stingy', 'generous')",0.6092403,0.7792333,-1.8141148,-1.6539361,-0.0067798,0.1294741,-0.1362539
54,-1.15523,-1.076205,"('incapable', 'capable')",-0.24313375,-0.17366219,0.6693817,0.7985518,-0.2429941,-0.1504385,-0.0925556
82,-1.1523635,-1.0462022,"('poor', 'rich')",-1.3461639,-1.0563529,6.359347,6.5022717,1.2869398,1.4665721,-0.1796323
74,1.0044613,0.7872663,"('undedicated', 'dedicated')",0.44184852,0.65726715,-0.32897872,-0.28509992,0.3724437,0.3864779,-0.0140342
62,0.9967729,0.9663899,"('incompetent', 'brilliant')",-0.03917139,0.5004113,0.648403,1.0050676,0.5353348,0.8239563,-0.2886215
15,-0.9240939,-0.904192,"('boring', 'funny')",0.03221775,-0.08078915,0.27581716,0.22727266,-0.205353,-0.2525695,0.0472165
33,0.91392064,0.74388486,"('wrong', 'right')",1.4333068,1.2957608,-0.62714314,-0.6058184,0.5733615,0.4779424,0.0954191
6,-0.9049233,-0.95416254,"('distant', 'open')",-0.18391268,-0.2873429,-0.78812826,-0.54897946,-0.6256547,-0.5968283,-0.0288264
4,-0.8473097,-0.6026305,"('disliked', 'liked')",-0.15309106,-0.035426788,-7.612634,-7.5239477,-2.8710117,-2.7206685,-0.1503432
48,0.80605745,0.4587122,"('unintelligent', 'intelligent')",-0.0032712705,-0.0049036257,0.9395756,0.8246917,0.5807873,0.4261668,0.1546205
70,0.76198965,0.44685698,"('lethargic', 'energetic')",-0.2891523,-0.106380284,0.37419072,0.4025789,0.2823427,0.2476852,0.0346575
39,0.7604937,0.47947514,"('exploitative', 'cooperative')",1.087362,0.9060513,0.10195753,0.12341671,0.6499378,0.502981,0.1469568
46,0.7539064,0.21076994,"('uncompetitive', 'competitive')",-0.15189104,-0.15149067,-0.71495056,-0.8568866,-0.0376451,-0.2658691,0.228224
77,-0.7512663,-1.096161,"('unmotivated', 'motivated')",-0.76647747,-0.65739715,-1.0196825,-1.0089899,-0.8458088,-0.9208493,0.0750405
56,0.75091094,0.5621072,"('impractical', 'practical')",0.09640062,0.5022644,-0.47611916,-0.20198402,0.1237308,0.2874625,-0.1637317
49,-0.7401667,-0.57002515,"('unable', 'able')",-1.5112274,-1.2320021,-0.16204119,0.0047679665,-0.8044784,-0.5990864,-0.205392
60,0.7393583,0.3200158,"('inefficient', 'efficient')",-0.30774742,-0.010351537,0.115318246,0.22686505,0.1823097,0.1788431,0.0034666
5,-0.7234755,-0.8881235,"('distant', 'outgoing')",0.07112955,-0.011623681,-0.84443194,-0.5292542,-0.498926,-0.4763338,-0.0225922
79,-0.7166258,-0.6822083,"('wavering', 'unwavering')",-0.12585607,-0.25020188,-0.8055495,-0.717263,-0.5493438,-0.5498911,0.0005473
10,0.69726926,0.2844083,"('unsympathetic', 'sympathetic')",-1.0342635,-1.0145836,-0.04499008,-0.12843898,-0.1273281,-0.2862047,0.1588766
55,0.6639623,0.30861533,"('incompetent', 'clever')",-1.0174066,-0.7747988,0.6841272,0.6615469,0.1102276,0.0651211,0.0451065
84,0.6575317,0.49369472,"('inferior', 'superior')",0.5535862,0.41752726,0.4024009,0.5484599,0.5378396,0.4865606,0.051279
29,-0.6549366,-0.6568961,"('unfair', 'fair')",-0.10308403,-0.029291067,-0.19912758,-0.12760328,-0.3190494,-0.2712635,-0.0477859
72,0.62538195,0.82972497,"('unambitious', 'ambitious')",-0.57651204,-0.48312128,-0.26023197,-0.06205418,-0.070454,0.0948498,-0.1653038
43,0.61426175,0.28593388,"('irresponsible', 'responsible')",-0.6807041,-0.49120915,0.31734797,0.38806805,0.0836352,0.0609309,0.0227043
1,-0.60372627,-0.79054725,"('unfriendly', 'friendly')",0.27657706,0.10469511,1.2963744,1.4771656,0.3230751,0.2637711,0.059304
23,0.595106,0.47706127,"('insincere', 'sincere')",0.0056891963,0.28802297,6.389594,6.499188,2.3301298,2.4214241,-0.0912943
73,0.5921242,0.758176,"('helpless', 'self-reliant')",0.5055593,0.591536,-3.7093992,-3.2709515,-0.8705719,-0.6404132,-0.2301587
3,0.5798678,0.1863655,"('repellent', 'pleasant')",-0.06202786,-0.17883158,1.1352403,1.0751305,0.5510267,0.3608881,0.1901386
9,0.5775441,0.5063846,"('unaffectionate', 'caring')",-0.09977105,-0.11970327,1.203664,1.4877678,0.560479,0.6248164,-0.0643374
75,-0.55319715,-0.13016269,"('meek', 'impulsive')",-0.6953328,-0.63588166,-0.942543,-0.8865028,-0.7303576,-0.550849,-0.1795086
51,-0.55237234,-0.63572717,"('uneducated', 'educated')",-0.117326185,0.059513126,0.6265485,0.48070294,-0.0143833,-0.031837,0.0174537
45,-0.53710735,-0.775798,"('incompetent', 'competent')",-0.8579449,-0.48952845,-0.15959385,-0.0014944458,-0.5182153,-0.4222736,-0.0959417
22,-0.5321751,-0.65508187,"('untrustworthy', 'trustworthy')",0.19733988,0.35053203,-0.7533119,-0.58931047,-0.3627157,-0.2979534,-0.0647623
66,-0.52568716,-0.3584807,"('inactive', 'active')",-0.08178416,-0.21368146,0.27709177,0.05542308,-0.1101265,-0.1722464,0.0621199
24,0.5162816,0.28538406,"('dishonest', 'honest')",0.13242668,0.3003316,0.40663248,0.82852894,0.3517803,0.4714149,-0.1196346
80,0.5156896,0.7641921,"('dominated', 'dominating')",-0.10190202,0.19022217,-0.0063631237,0.020489102,0.1358082,0.3249678,-0.1891596
19,-0.5009212,-0.6510489,"('inhospitable', 'hospitable')",-0.27717718,-0.5333344,-0.7225712,-0.6190407,-0.5002232,-0.6011413,0.1009181
87,-0.48863322,-0.673195,"('unsuccessful', 'successful')",0.62645644,0.7074926,0.9562845,0.9208903,0.3647026,0.318396,0.0463066
53,-0.4802834,-0.5308339,"('uncreative', 'creative')",-1.0001893,-1.181951,0.27644524,0.22191435,-0.4013425,-0.4969569,0.0956144
25,0.47336,0.41347533,"('egoistic', 'altruistic')",0.26185256,0.017424362,1.394659,1.3857837,0.7099572,0.6055611,0.1043961
17,0.43610254,0.1954119,"('nasty', 'nice')",0.05477032,-0.21327576,-0.49340674,-0.6996085,-0.0008446,-0.2391575,0.2383129
42,-0.41536516,-0.49352145,"('unreliable', 'reliable')",-0.63581985,-0.44220757,-3.3681974,-3.149267,-1.4731275,-1.3616654,-0.1114621
11,0.38868067,0.24159618,"('unhelpful', 'helpful')",0.06493467,0.21564893,2.0049179,2.1698241,0.8195111,0.8756897,-0.0561786
30,0.38769242,0.18862817,"('intolerant', 'tolerant')",-0.19228342,-0.02365191,0.45228747,0.63260645,0.2158988,0.2658609,-0.0499621
67,0.3705715,0.28601363,"('doubtful', 'determined')",0.25379357,0.3339163,-0.7314719,-0.7306337,-0.0357023,-0.0369013,0.001199
0,0.36248052,-0.21174073,"('unsociable', 'sociable')",-0.122233786,-0.11162666,-0.027761899,-0.057854645,0.0708283,-0.127074,0.1979023
20,-0.34006566,-0.27640492,"('rough', 'thoughtful')",0.2680148,0.26767334,0.6615846,0.6818501,0.1965112,0.2243728,-0.0278616
47,-0.33787903,-0.29571065,"('stupid', 'smart')",-0.31496012,-0.07969177,5.18085,5.379769,1.5093369,1.6681221,-0.1587852
76,0.33722526,0.1838268,"('anxious', 'daring')",-0.6013396,-0.21735576,-0.10424591,-0.17291713,-0.1227867,-0.0688154,-0.0539713
27,-0.3072372,-0.18297455,"('hardhearted', 'softhearted')",-1.0715058,-0.9015117,1.2378166,1.3927428,-0.0469755,0.1027522,-0.1497277
34,-0.30713513,-0.4642711,"('mean', 'honorable')",-0.15875268,0.0395244,5.449555,5.608436,1.6612223,1.7278965,-0.0666742
63,0.30493805,0.106774785,"('unperceptive', 'insightful')",-0.17202398,0.01071779,0.63402843,0.74862146,0.2556475,0.2887047,-0.0330572
52,0.30197173,0.041930944,"('irrational', 'rational')",-0.45281354,-0.9058166,-0.34029922,-0.22295055,-0.1637137,-0.3622787,0.198565
7,0.29618633,0.08122831,"('insensitive', 'sensitive')",-0.49618843,-0.28635067,0.8056355,0.8381356,0.2018778,0.2110044,-0.0091266
65,0.28553197,-0.044836927,"('insecure', 'secure')",-0.050164856,-0.07456464,0.13701725,0.13660032,0.1241281,0.0057329,0.1183952
41,-0.27774602,-0.2780502,"('unforgiving', 'forgiving')",0.36002722,0.30283684,0.058450438,-0.13444644,0.0469105,-0.0365533,0.0834638
69,-0.2758312,-0.1760705,"('lazy', 'industrious')",0.9914882,0.88941306,-1.072356,-1.1063125,-0.1188997,-0.13099,0.0120903
26,0.2615703,0.025917228,"('hardhearted', 'benevolent')",2.179509,1.7612895,1.4518256,1.097447,1.2976349,0.9615512,0.3360837
86,0.23688973,-0.29416084,"('uninfluential', 'influential')",-0.31433263,-0.31002873,-0.052762598,-0.15382716,-0.0434018,-0.2526722,0.2092704
71,-0.22973217,-0.26095954,"('diffident', 'self-confident')",1.644279,1.5968523,0.09737413,0.17745864,0.5039736,0.5044505,-0.0004769
