,target_male,target_female,tuple,corp_male,corp_female,average_male,average_female,male-female
31,-1.8683071,-2.1988351,"('evil', 'good')",-1.5579358,-2.3680387,-1.7131214,-2.2834368,0.5703154
36,-1.758661,-2.3143926,"('hostile', 'amicable')",-0.9668411,-1.7218311,-1.362751,-2.0181117,0.6553607
56,1.745941,2.291385,"('impractical', 'practical')",0.22656924,0.7805863,0.9862552,1.5359856,-0.5497304
60,1.5691758,2.4704905,"('inefficient', 'efficient')",1.1610488,1.7356552,1.3651123,2.1030729,-0.7379606
68,-1.5130126,-1.1199849,"('dependent', 'independent')",-0.67247635,-0.355182,-1.0927445,-0.7375834,-0.3551611
23,1.4462186,1.763105,"('insincere', 'sincere')",6.5224047,7.3032255,3.9843116,4.5331655,-0.5488539
77,1.4425646,1.4630461,"('unmotivated', 'motivated')",-0.35127005,-0.46250337,0.5456473,0.5002713,0.045376
62,1.3490337,2.0353956,"('incompetent', 'brilliant')",1.4759554,1.8776219,1.4124945,1.9565088,-0.5440143
12,1.339352,1.4941186,"('unsupportive', 'supportive')",-1.6003914,-1.3678021,-0.1305197,0.0631582,-0.1936779
52,-1.2634107,-1.8774483,"('irrational', 'rational')",-0.7415773,-1.1724963,-1.002494,-1.5249723,0.5224783
26,1.2379495,1.3230282,"('hardhearted', 'benevolent')",1.4094303,0.69575065,1.3236899,1.0093894,0.3143005
79,-1.1896967,-1.7902284,"('wavering', 'unwavering')",-0.74439335,-0.89015377,-0.967045,-1.3401911,0.3731461
43,1.15464,1.6121225,"('irresponsible', 'responsible')",1.1738188,1.791257,1.1642294,1.7016897,-0.5374603
35,-1.1294075,-1.8235588,"('corrupt', 'incorrupt')",-1.1235673,-1.839614,-1.1264875,-1.8315864,0.7050989
44,-1.0905151,-1.0985537,"('prejudiced', 'unprejudiced')",-1.3747494,-1.3901838,-1.2326323,-1.2443688,0.0117365
66,-1.085608,-1.3749475,"('inactive', 'active')",-0.025475655,-0.31242082,-0.5555418,-0.8436842,0.2881424
4,-1.0848577,-0.86019826,"('disliked', 'liked')",-7.1487904,-8.108469,-4.1168242,-4.4843335,0.3675093
19,-1.0621432,-1.2600796,"('inhospitable', 'hospitable')",-0.6507492,-0.9419942,-0.8564462,-1.1010369,0.2445907
53,-1.059316,-1.2156687,"('uncreative', 'creative')",0.26847813,0.41191998,-0.3954189,-0.4018744,0.0064555
74,1.0516578,1.4550971,"('undedicated', 'dedicated')",-0.050794147,0.003754178,0.5004318,0.7294256,-0.2289938
39,1.0175351,0.98759013,"('exploitative', 'cooperative')",0.48377427,0.30891597,0.7506547,0.6482531,0.1024016
78,0.99508196,0.88716465,"('nonresilient', 'resilient')",0.4393147,0.3463732,0.7171983,0.616769,0.1004293
20,0.9872805,1.255122,"('rough', 'thoughtful')",1.0623599,0.7700077,1.0248202,1.0125649,0.0122553
16,-0.9711543,-1.1641552,"('unpopular', 'popular')",0.24642032,0.02163031,-0.362367,-0.5712625,0.2088955
76,0.92606086,1.1587254,"('anxious', 'daring')",0.32049483,1.1048973,0.6232778,1.1318114,-0.5085336
67,0.9124904,0.8431607,"('doubtful', 'determined')",-0.278296,-0.39039114,0.3170972,0.2263848,0.0907124
