,truist_male,truist_female,tuple,financial_male,financial_female,corp_male,corp_female,average_male,average_female,male-female
86,-2.3728185,-2.2403605,"('uninfluential', 'influential')",-0.5917919,-0.5342154,-0.32319465,-0.22147624,-1.095935,-0.9986841,-0.0972509
1,-2.1701062,-2.0553966,"('unfriendly', 'friendly')",1.3661448,1.2446389,0.8398703,0.7189628,0.0119696,-0.0305983,0.0425679
53,-1.6502835,-1.665952,"('uncreative', 'creative')",1.3747422,1.1756939,0.30655682,0.12607868,0.0103385,-0.1213931,0.1317316
9,-1.5843064,-1.5870541,"('unaffectionate', 'caring')",1.2953768,1.2446413,0.76071835,0.85771513,0.1572629,0.1717674,-0.0145045
28,-1.5793183,-1.5295547,"('disloyal', 'loyal')",0.24246575,0.1323989,1.0647514,0.9986645,-0.0907004,-0.1328304,0.04213
10,-1.4600432,-1.4421656,"('unsympathetic', 'sympathetic')",-1.4274039,-1.2581248,-0.15197673,0.14072235,-1.0131413,-0.8531894,-0.1599519
44,1.3875034,1.3103627,"('prejudiced', 'unprejudiced')",-0.03935188,0.02297891,-0.965659,-0.9557469,0.1274975,0.1258649,0.0016326
8,-1.375475,-1.3564576,"('unaffectionate', 'affectionate')",0.37338078,0.30513027,0.011820922,0.01320727,-0.3300911,-0.34604,0.0159489
48,-1.3363714,-1.3787256,"('unintelligent', 'intelligent')",-0.9716427,-1.0204247,0.31804714,0.44454306,-0.6633223,-0.6515357,-0.0117866
73,1.3181777,1.355964,"('helpless', 'self-reliant')",1.1170197,1.0690658,-3.4570394,-3.4529338,-0.340614,-0.3426347,0.0020207
88,-1.2647792,-1.3880333,"('low', 'eminent')",-0.7818303,-0.8130086,-0.3261713,-0.39909434,-0.7909269,-0.8667121,0.0757852
19,-1.228054,-1.177129,"('inhospitable', 'hospitable')",-0.5465282,-0.44966036,-0.8876978,-0.8536034,-0.8874267,-0.8267976,-0.0606291
57,-1.2077459,-1.0916021,"('unimaginative', 'imaginative')",-0.5539468,-0.3882884,-3.1228838,-2.9597476,-1.6281923,-1.4798794,-0.1483129
18,-1.1445098,-1.3207031,"('disagreeable', 'welcoming')",-0.275466,-0.34638208,-0.8199446,-0.93024814,-0.7466401,-0.8657778,0.1191377
6,-1.0940802,-0.9448645,"('distant', 'open')",0.1771276,0.22376813,-1.1205292,-1.1639401,-0.6791606,-0.6283455,-0.0508151
0,-1.0851091,-1.1244328,"('unsociable', 'sociable')",-0.03695833,-0.06689627,-0.08682965,-0.07139073,-0.4029657,-0.4209066,0.0179409
26,-1.0842767,-1.0094941,"('hardhearted', 'benevolent')",1.8554546,1.6964327,1.1946046,0.991239,0.6552608,0.5593925,0.0958683
78,-1.0599954,-1.1323831,"('nonresilient', 'resilient')",0.4315915,0.37966523,0.2770769,0.4237348,-0.117109,-0.109661,-0.007448
23,-0.9946966,-1.0850363,"('insincere', 'sincere')",0.6470311,0.52077734,5.969487,6.1914477,1.8739406,1.8757296,-0.001789
82,-0.9322181,-0.87693554,"('poor', 'rich')",-0.2293688,-0.22830741,6.7715745,6.7861667,1.8699959,1.8936412,-0.0236453
67,0.91820836,0.9754883,"('doubtful', 'determined')",0.07991083,0.1122913,-0.63312244,-0.694973,0.1216656,0.1309355,-0.0092699
42,0.90695703,0.979197,"('unreliable', 'reliable')",0.72296137,0.93764204,-2.6116433,-2.5456674,-0.3272417,-0.2096094,-0.1176323
46,-0.89029294,-0.8086701,"('uncompetitive', 'competitive')",0.20123,0.25928724,-0.30183265,-0.09703566,-0.3302985,-0.2154728,-0.1148257
27,-0.88847876,-0.701318,"('hardhearted', 'softhearted')",-0.57784796,-0.50148773,0.4636444,0.4617322,-0.3342274,-0.2470245,-0.0872029
45,-0.8507311,-0.5858439,"('incompetent', 'competent')",-0.7695346,-0.45331773,-0.11490196,0.13547821,-0.5783892,-0.3012278,-0.2771614
58,-0.80868506,-0.45034227,"('undiscriminating', 'discriminating')",0.99378693,1.07671,-0.19738738,-0.2090268,-0.0040952,0.1391136,-0.1432088
12,-0.801445,-0.79139805,"('unsupportive', 'supportive')",0.8094319,0.8234246,-2.269598,-2.1025567,-0.7538703,-0.6901767,-0.0636936
51,-0.80049735,-0.9590753,"('uneducated', 'educated')",-0.5277288,-0.43593514,0.48487973,0.50924164,-0.2811155,-0.2952563,0.0141408
24,-0.7952993,-0.80889326,"('dishonest', 'honest')",0.21622771,0.42588317,0.23410384,0.26519072,-0.1149892,-0.0392731,-0.0757161
66,-0.7897707,-0.5854776,"('inactive', 'active')",0.81051636,0.7341913,0.5438591,0.43952423,0.1882016,0.1960793,-0.0078777
32,-0.77731,-1.0658729,"('unkind', 'kind')",-0.15365763,-0.19433513,0.4878702,0.4686595,-0.1476991,-0.2638495,0.1161504
40,-0.73712754,-0.7884824,"('stingy', 'generous')",0.96256846,0.94581807,-2.3911405,-2.5605474,-0.7218998,-0.8010705,0.0791707
64,0.7143182,0.82563883,"('shy', 'confident')",0.2787103,0.32298973,-6.1416926,-6.0855055,-1.7162213,-1.6456256,-0.0705957
17,-0.6679415,-0.5811687,"('nasty', 'nice')",-0.483576,-0.36663598,-0.8680717,-0.91780174,-0.6731964,-0.6218688,-0.0513276
11,-0.6658129,-0.61528844,"('unhelpful', 'helpful')",-0.15622267,-0.028349426,1.7431619,1.9577115,0.3070421,0.4380245,-0.1309824
72,-0.6634654,-0.68745303,"('unambitious', 'ambitious')",-0.16555658,-0.05744122,-0.6834943,-0.32933336,-0.5041721,-0.3580759,-0.1460962
76,0.65060776,0.398001,"('anxious', 'daring')",-0.32969984,-0.37570754,0.2623582,0.21311419,0.194422,0.0784692,0.1159528
69,0.62246287,0.7969095,"('lazy', 'industrious')",1.1710805,1.1108696,-1.2967027,-1.4254242,0.1656135,0.160785,0.0048285
31,-0.61643463,-0.6286391,"('evil', 'good')",-0.296514,-0.33603644,-1.6936381,-1.8790214,-0.8688622,-0.947899,0.0790368
2,0.61601293,0.45191577,"('unlikable', 'likable')",2.4334364,2.1998441,0.66061187,0.4940477,1.2366871,1.0486025,0.1880846
79,-0.6146594,-0.79224354,"('wavering', 'unwavering')",-0.43886483,-0.4910408,-0.54216194,-0.56519747,-0.5318954,-0.6161606,0.0842652
63,-0.59761596,-0.33723962,"('unperceptive', 'insightful')",0.8121334,0.897967,0.5747615,0.86931014,0.263093,0.4766792,-0.2135862
84,0.59265727,0.6533898,"('inferior', 'superior')",0.33722466,0.37826663,0.9072338,0.9064821,0.6123719,0.6460462,-0.0336743
39,0.5906684,0.60211015,"('exploitative', 'cooperative')",1.0660937,1.0306448,0.22508141,0.20160356,0.6272812,0.6114528,0.0158284
16,-0.58576906,-0.82163644,"('unpopular', 'popular')",-0.26887435,-0.47158217,0.30880594,0.07718068,-0.1819458,-0.405346,0.2234002
35,0.5538806,0.41812822,"('corrupt', 'incorrupt')",-0.48856023,-0.5597587,-0.9264029,-1.0525049,-0.2870275,-0.3980451,0.1110176
5,-0.5501081,-0.29896283,"('distant', 'outgoing')",0.9369239,0.9661593,-1.1854839,-1.1023878,-0.2662227,-0.1450638,-0.1211589
54,-0.54311043,-0.7194289,"('incapable', 'capable')",1.1097018,0.84712213,0.59640044,0.6766062,0.3876639,0.2680998,0.1195641
71,-0.5351383,-0.52550787,"('diffident', 'self-confident')",1.8251325,1.6686255,0.10321776,0.2679957,0.464404,0.4703711,-0.0059671
7,-0.51899797,-0.49350148,"('insensitive', 'sensitive')",0.1611877,0.2132292,0.2977544,0.5198067,-0.0200186,0.0798448,-0.0998634
81,0.50985575,0.37948126,"('submissive', 'aggressive')",0.173628,0.2599806,-0.14739968,-0.0375882,0.1786947,0.2006246,-0.0219299
74,-0.49616468,-0.5376872,"('undedicated', 'dedicated')",0.79477257,0.77484405,-0.27289957,-0.38230944,0.0085694,-0.0483842,0.0569536
21,0.45993537,0.109962344,"('immoral', 'moral')",0.49719176,0.34367484,-0.030784093,-0.08925834,0.308781,0.1214596,0.1873214
75,0.4579607,0.48851347,"('meek', 'impulsive')",-0.2817363,-0.16811982,-0.74617285,-0.7123779,-0.1899828,-0.1306614,-0.0593214
43,-0.45382145,-0.43701217,"('irresponsible', 'responsible')",0.82129127,0.89010924,0.38333735,0.51666766,0.2502691,0.3232549,-0.0729858
29,0.42833164,0.550171,"('unfair', 'fair')",-0.21062227,-0.20752233,-0.76330465,-0.8864173,-0.1818651,-0.1812562,-0.0006089
55,-0.41808042,-0.40055576,"('incompetent', 'clever')",-0.674744,-0.6310883,0.6703335,0.7231764,-0.1408303,-0.1028226,-0.0380077
38,-0.40634874,-0.4912036,"('untruthful', 'truthful')",0.5059432,0.60309476,-0.47188404,-0.29484403,-0.1240965,-0.0609843,-0.0631122
70,-0.38319945,-0.1674023,"('lethargic', 'energetic')",-0.1704105,0.115424946,0.75210994,1.0633497,0.0661667,0.3371241,-0.2709574
3,-0.37979725,-0.5292884,"('repellent', 'pleasant')",-0.5433352,-0.5574163,1.2836895,1.309047,0.1201857,0.0741141,0.0460716
85,-0.3595791,-0.72090703,"('insignificant', 'prestigious')",1.713399,1.3601567,-0.5528248,-0.95984715,0.2669984,-0.1068658,0.3738642
59,0.34674934,0.31251326,"('foolish', 'wise')",1.1593336,0.937875,-0.39066643,-0.437773,0.3718055,0.2708718,0.1009337
25,-0.337792,-0.94098395,"('egoistic', 'altruistic')",0.43152732,0.14875576,1.3431417,0.8691279,0.478959,0.0256332,0.4533258
14,0.33664262,0.35356173,"('antisocial', 'social')",1.5541005,1.5420823,-0.03883009,-0.0045068967,0.6173044,0.630379,-0.0130746
30,0.29629043,0.33603078,"('intolerant', 'tolerant')",0.36604378,0.49279764,0.3764022,0.37183225,0.3462454,0.4002202,-0.0539748
41,-0.29528975,-0.3470036,"('unforgiving', 'forgiving')",0.83195573,0.8371094,-0.64480513,-0.7092927,-0.0360464,-0.0730623,0.0370159
13,-0.28731102,-0.046057176,"('impolite', 'polite')",-0.18933025,0.011114113,-0.77635425,-0.5365486,-0.4176652,-0.1904972,-0.227168
80,0.28561798,0.30690324,"('dominated', 'dominating')",-0.57899725,-0.56154555,-0.19967295,0.055011928,-0.1643507,-0.0665435,-0.0978072
56,0.27559897,0.36886737,"('impractical', 'practical')",0.25738952,0.47328413,-0.6083438,-0.32480207,-0.0251184,0.1724498,-0.1975682
