,ball_male,ball_female,tuple,corp_male,corp_female,average_male,average_female,male-female
60,3.1086233,2.6635263,"('inefficient', 'efficient')",0.3328415,0.385631,1.7207323,1.5245787,0.1961536
31,-2.8614137,-2.2383213,"('evil', 'good')",-1.2079189,-1.0209335,-2.0346663,-1.6296275,-0.4050388
14,2.8197947,2.3968844,"('antisocial', 'social')",-0.68967336,-0.6833662,1.0650606,0.8567591,0.2083015
36,-2.798397,-2.2153327,"('hostile', 'amicable')",-0.53475785,-0.45881805,-1.6665775,-1.3370754,-0.3295021
62,2.6810918,2.2787018,"('incompetent', 'brilliant')",0.7782244,0.8584785,1.7296581,1.5685902,0.1610679
55,2.4410708,1.8414607,"('incompetent', 'clever')",0.11172442,-0.1414105,1.2763976,0.8500251,0.4263725
35,-2.3932064,-1.8838823,"('corrupt', 'incorrupt')",-0.4100142,-0.3685297,-1.4016103,-1.126206,-0.2754043
56,2.3247204,1.9965305,"('impractical', 'practical')",-0.30005282,-0.2912279,1.0123338,0.8526513,0.1596825
85,-2.2667673,-1.571648,"('insignificant', 'prestigious')",-0.64719224,-0.46860853,-1.4569798,-1.0201283,-0.4368515
21,2.0872464,1.5044103,"('immoral', 'moral')",-0.3119328,-0.49680102,0.8876568,0.5038046,0.3838522
52,-2.06003,-1.5451059,"('irrational', 'rational')",0.042618312,0.14157635,-1.0087059,-0.7017648,-0.3069411
10,2.0445397,1.3544585,"('unsympathetic', 'sympathetic')",-0.44145778,-0.60991764,0.801541,0.3722704,0.4292706
59,-2.0414138,-1.499198,"('foolish', 'wise')",0.41721573,0.49621904,-0.812099,-0.5014895,-0.3106095
81,1.9819953,1.3681892,"('submissive', 'aggressive')",-0.6202087,-0.6079005,0.6808933,0.3801444,0.3007489
0,1.8847841,1.4149537,"('unsociable', 'sociable')",-0.30080652,-0.2870499,0.7919888,0.5639519,0.2280369
4,-1.8461032,-1.4991804,"('disliked', 'liked')",-7.3548,-6.9893675,-4.6004515,-4.2442741,-0.3561774
70,1.7899708,1.2454523,"('lethargic', 'energetic')",0.16642573,-0.019678112,0.9781982,0.6128871,0.3653111
6,-1.7562053,-1.1816257,"('distant', 'open')",-0.42948008,-0.23270899,-1.0928427,-0.7071674,-0.3856753
13,1.742854,1.2298038,"('impolite', 'polite')",-0.8464859,-0.9747109,0.448184,0.1275465,0.3206375
