,citigroup_male,citigroup_female,tuple,inc_male,inc_female,average_male,average_female,male-female
39,1.8970261,1.4287027,"('exploitative', 'cooperative')",0.055252872,-0.2118182,0.9761395,0.6084422,0.3676973
69,1.7913237,1.7636328,"('lazy', 'industrious')",-0.45478076,-0.7382167,0.6682714,0.5127081,0.1555633
82,-1.7685106,-1.4709793,"('poor', 'rich')",5.739976,6.5100756,1.9857327,2.5195482,-0.5338155
86,-1.5739747,-1.8010325,"('uninfluential', 'influential')",0.031168073,-0.2793365,-0.7714033,-1.0401845,0.2687812
10,-1.5303762,-1.531757,"('unsympathetic', 'sympathetic')",-0.34001687,-0.30153793,-0.9351965,-0.9166474,-0.0185491
46,-1.3454833,-1.3577414,"('uncompetitive', 'competitive')",-0.8346895,-0.9540445,-1.0900865,-1.155893,0.0658065
73,1.2137918,1.1780207,"('helpless', 'self-reliant')",-3.0352116,-3.1804404,-0.9107099,-1.0012099,0.0905
2,1.2108176,1.3674853,"('unlikable', 'likable')",0.81002766,0.8419047,1.0104226,1.104695,-0.0942724
85,1.1534599,1.0836865,"('insignificant', 'prestigious')",0.37652773,0.19944459,0.7649938,0.6415656,0.1234282
26,1.1261094,0.91173464,"('hardhearted', 'benevolent')",1.7056576,1.410799,1.4158835,1.1612668,0.2546167
53,-1.0988389,-1.3148702,"('uncreative', 'creative')",1.081964,1.0133955,-0.0084375,-0.1507373,0.1422998
13,-1.0891922,-0.9948921,"('impolite', 'polite')",-0.27229756,-0.16604216,-0.6807449,-0.5804672,-0.1002777
55,-1.0788325,-0.99989396,"('incompetent', 'clever')",-0.014569141,-0.15284349,-0.5467008,-0.5763687,0.0296679
57,-1.063608,-1.4432406,"('unimaginative', 'imaginative')",-2.3755357,-2.6309383,-1.7195718,-2.0370893,0.3175175
51,-1.0006357,-1.099964,"('uneducated', 'educated')",0.8696048,0.7557016,-0.0655155,-0.1721312,0.1066157
45,-0.98993474,-0.8885653,"('incompetent', 'competent')",-0.4075052,-0.3348797,-0.69872,-0.6117225,-0.0869975
42,0.9583972,0.8063166,"('unreliable', 'reliable')",-2.4279158,-2.6269202,-0.7347593,-0.9103018,0.1755425
67,0.9370026,1.0360647,"('doubtful', 'determined')",-0.676768,-0.48232114,0.1301173,0.2768718,-0.1467545
8,-0.85713184,-0.78825384,"('unaffectionate', 'affectionate')",0.6231714,0.79303634,-0.1169802,0.0023912,-0.1193714
28,-0.8117015,-0.7208789,"('disloyal', 'loyal')",0.6196388,0.81832576,-0.0960313,0.0487234,-0.1447547
23,-0.8111212,-0.910454,"('insincere', 'sincere')",5.6127973,5.938497,2.4008379,2.5140216,-0.1131837
49,-0.7840296,-0.68305063,"('unable', 'able')",-0.20851868,-0.19508442,-0.4962741,-0.4390675,-0.0572066
44,0.7660325,0.54653084,"('prejudiced', 'unprejudiced')",-1.3917167,-1.715863,-0.3128421,-0.5846661,0.271824
83,0.7468853,0.9529807,"('powerless', 'powerful')",-0.7705855,-0.85869867,-0.0118501,0.047141,-0.0589911
68,-0.74066067,-0.7922312,"('dependent', 'independent')",-0.42266178,-0.4894088,-0.5816612,-0.64082,0.0591588
19,-0.70180154,-0.67280716,"('inhospitable', 'hospitable')",-0.08753879,0.0036966773,-0.3946702,-0.3345552,-0.060115
20,0.69240373,0.5746344,"('rough', 'thoughtful')",1.2473038,1.0828439,0.9698538,0.8287392,0.1411146
88,-0.6648975,-0.5503821,"('low', 'eminent')",0.083541445,0.25824308,-0.290678,-0.1460695,-0.1446085
7,-0.6637527,-0.80006635,"('insensitive', 'sensitive')",0.59484226,0.45199347,-0.0344552,-0.1740364,0.1395812
79,-0.6494214,-0.6472469,"('wavering', 'unwavering')",-0.2854675,-0.06723334,-0.4674444,-0.3572401,-0.1102043
33,0.6489345,0.7246493,"('wrong', 'right')",-0.58162373,-0.4921261,0.0336554,0.1162616,-0.0826062
48,-0.6343762,-0.61271894,"('unintelligent', 'intelligent')",0.7463312,0.6750943,0.0559775,0.0311877,0.0247898
43,-0.60356116,-0.62802684,"('irresponsible', 'responsible')",0.52158636,0.56032854,-0.0409874,-0.0338491,-0.0071383
38,-0.59785146,-0.372136,"('untruthful', 'truthful')",0.12419449,0.39612344,-0.2368285,0.0119937,-0.2488222
72,-0.5962333,-0.4066102,"('unambitious', 'ambitious')",-0.8164252,-0.31818554,-0.7063292,-0.3623978,-0.3439314
66,0.5955088,0.64328617,"('inactive', 'active')",0.85239106,0.6304938,0.7239499,0.63689,0.0870599
59,0.58532006,0.32847866,"('foolish', 'wise')",0.55230266,0.7143107,0.5688114,0.5213947,0.0474167
0,-0.5827361,-0.36209154,"('unsociable', 'sociable')",-0.37817633,-0.5107481,-0.4804562,-0.4364198,-0.0440364
71,0.5690214,0.43042195,"('diffident', 'self-confident')",0.7799377,0.41396993,0.6744795,0.4221959,0.2522836
3,-0.56607866,-0.7460685,"('repellent', 'pleasant')",0.11625141,-0.046613544,-0.2249136,-0.396341,0.1714274
24,-0.55484325,-0.37602505,"('dishonest', 'honest')",0.8603378,1.0851223,0.1527473,0.3545486,-0.2018013
78,-0.54988694,-0.34805954,"('nonresilient', 'resilient')",-0.111799195,0.025576843,-0.3308431,-0.1612414,-0.1696017
84,0.5404851,0.5322968,"('inferior', 'superior')",0.6178181,0.6637491,0.5791516,0.5980229,-0.0188713
27,0.50157523,0.5212586,"('hardhearted', 'softhearted')",1.315761,1.2260854,0.9086681,0.873672,0.0349961
65,-0.46612334,-0.58446485,"('insecure', 'secure')",-0.18507887,-0.17875189,-0.3256011,-0.3816084,0.0560073
52,0.40880597,0.28465426,"('irrational', 'rational')",-0.003193887,-0.06359312,0.202806,0.1105306,0.0922754
1,-0.3930117,-0.35686034,"('unfriendly', 'friendly')",1.646182,1.8560445,0.6265851,0.7495921,-0.123007
87,0.3920336,0.6651958,"('unsuccessful', 'successful')",0.6951856,0.5057873,0.5436096,0.5854915,-0.0418819
15,0.3827072,0.4687212,"('boring', 'funny')",0.38302204,0.53387946,0.3828646,0.5013003,-0.1184357
18,-0.3826422,-0.42718595,"('disagreeable', 'welcoming')",-0.4226799,-0.416646,-0.4026611,-0.421916,0.0192549
17,0.38189343,0.65715986,"('nasty', 'nice')",-0.5872253,-0.41177016,-0.1026659,0.1226948,-0.2253607
21,-0.36273426,-0.4933343,"('immoral', 'moral')",-0.8530877,-1.068037,-0.607911,-0.7806857,0.1727747
