,allergan_male,allergan_female,tuple,plc_male,plc_female,average_male,average_female,male-female
1,-2.5909193,-2.6871858,"('unfriendly', 'friendly')",1.5072163,1.1993902,-0.5418515,-0.7438978,0.2020463
53,-2.1962419,-2.1633444,"('uncreative', 'creative')",0.62326443,0.4609856,-0.7864887,-0.8511794,0.0646907
86,-1.9047016,-1.9361956,"('uninfluential', 'influential')",0.35580868,0.3281885,-0.7744465,-0.8040035,0.029557
10,-1.6835109,-1.550103,"('unsympathetic', 'sympathetic')",-0.37942922,-0.36367422,-1.0314701,-0.9568886,-0.0745815
19,-1.5026231,-1.3947268,"('inhospitable', 'hospitable')",-0.9869659,-1.0902605,-1.2447945,-1.2424936,-0.0023009
23,-1.4860402,-1.1673797,"('insincere', 'sincere')",3.375763,3.476805,0.9448614,1.1547127,-0.2098513
63,-1.4848133,-1.1421096,"('unperceptive', 'insightful')",1.145858,1.2466159,-0.1694776,0.0522531,-0.2217307
44,1.4723397,1.267129,"('prejudiced', 'unprejudiced')",-1.4199926,-1.6218326,0.0261736,-0.1773518,0.2035254
9,-1.285337,-1.2154039,"('unaffectionate', 'caring')",0.70740634,0.715344,-0.2889653,-0.25003,-0.0389353
69,1.2678579,0.73813665,"('lazy', 'industrious')",0.34145972,-0.053646695,0.8046588,0.342245,0.4624138
24,-1.2472249,-0.9983405,"('dishonest', 'honest')",0.39290807,0.56022024,-0.4271584,-0.2190601,-0.2080983
27,-1.2391714,-1.093097,"('hardhearted', 'softhearted')",0.121597886,-0.117161416,-0.5587867,-0.6051292,0.0463425
57,-1.196972,-1.1554329,"('unimaginative', 'imaginative')",-0.7135281,-0.9993069,-0.95525,-1.0773699,0.1221199
80,1.1728293,1.4239444,"('dominated', 'dominating')",0.7083199,0.8352094,0.9405746,1.1295769,-0.1890023
8,-1.148629,-1.1579454,"('unaffectionate', 'affectionate')",0.08733496,-0.05594645,-0.530647,-0.6069459,0.0762989
82,-1.0532701,-0.7234152,"('poor', 'rich')",3.7348697,3.931524,1.3407998,1.6040545,-0.2632547
21,-1.0262012,-0.90452725,"('immoral', 'moral')",-1.143165,-1.1575487,-1.0846832,-1.0310379,-0.0536453
11,-1.0226277,-0.82768047,"('unhelpful', 'helpful')",0.7728083,0.9092146,-0.1249097,0.0407671,-0.1656768
77,-1.0181315,-1.1335448,"('unmotivated', 'motivated')",-0.7053331,-0.7365392,-0.8617323,-0.935042,0.0733097
61,-1.0033389,-1.0937214,"('illogical', 'logical')",0.89557207,0.62708646,-0.0538834,-0.2333175,0.1794341
54,-0.99900997,-0.98641,"('incapable', 'capable')",0.17004153,0.16789885,-0.4144842,-0.4092556,-0.0052286
0,-0.9857804,-1.0526967,"('unsociable', 'sociable')",-0.23600194,-0.3389481,-0.6108912,-0.6958224,0.0849312
85,-0.98215723,-1.4202569,"('insignificant', 'prestigious')",-0.30039495,-1.0302166,-0.6412761,-1.2252367,0.5839606
36,-0.9746832,-1.2293441,"('hostile', 'amicable')",0.5417587,0.06101753,-0.2164623,-0.5841633,0.367701
48,-0.95626026,-0.8994093,"('unintelligent', 'intelligent')",0.16040814,0.012757184,-0.3979261,-0.4433261,0.0454
64,0.9413589,0.7014396,"('shy', 'confident')",-3.2596838,-3.1348903,-1.1591625,-1.2167253,0.0575628
51,-0.9338855,-0.68183887,"('uneducated', 'educated')",0.1255523,0.18398678,-0.4041666,-0.248926,-0.1552406
73,0.92477846,1.0226121,"('helpless', 'self-reliant')",-1.7889096,-1.7377951,-0.4320655,-0.3575915,-0.074474
37,0.8600522,0.91429937,"('fake', 'genuine')",0.5518512,0.4613372,0.7059517,0.6878183,0.0181334
88,-0.8411384,-1.0875938,"('low', 'eminent')",0.019984107,0.028511612,-0.4105771,-0.5295411,0.118964
32,-0.8361762,-0.75487447,"('unkind', 'kind')",0.15495273,0.2555564,-0.3406118,-0.249659,-0.0909528
78,-0.8202274,-0.71489435,"('nonresilient', 'resilient')",0.85103846,0.6806687,0.0154055,-0.0171128,0.0325183
31,-0.8046925,-0.955199,"('evil', 'good')",-0.5497519,-0.6843138,-0.6772222,-0.8197564,0.1425342
20,-0.8040056,-0.70951724,"('rough', 'thoughtful')",1.1582701,0.9231868,0.1771322,0.1068348,0.0702974
71,-0.7895113,-0.89648634,"('diffident', 'self-confident')",0.45330542,0.28040206,-0.1681029,-0.3080421,0.1399392
