,burlington_male,burlington_female,tuple,northern_male,northern_female,santa_male,santa_female,fe_male,fe_female,cp_male,cp_female,average_male,average_female,male-female
31,-2.9801466,-1.8458819,"('evil', 'good')",-0.8405305,-0.5711389,0.508793,0.5109323,0.4763658,0.5810497,-0.99058765,-0.9924532,-0.7652213,-0.4634984,-0.3017229
36,-2.9405577,-1.7480775,"('hostile', 'amicable')",-0.60869104,-0.23442984,0.0258597,0.075827636,0.38108167,0.59561354,-0.3924086,-0.26035085,-0.7069432,-0.3142834,-0.3926598
80,2.7007651,1.8945998,"('dominated', 'dominating')",0.32745546,0.29211324,-0.7873459,-0.77707,-0.8065816,-0.8485334,-0.9610834,-0.98384315,0.0946419,-0.0845467,0.1791886
35,-2.4150298,-1.4842103,"('corrupt', 'incorrupt')",-0.4252249,-0.26751298,2.0462327,2.1231482,0.6236422,0.7509087,-0.8264742,-0.60177624,-0.1993708,0.1041115,-0.3034823
85,-2.3310046,-1.1291392,"('insignificant', 'prestigious')",-0.18239225,0.1310556,1.1867435,1.2883936,1.3353574,1.62422,-0.5555261,-0.41314125,-0.1093644,0.3002778,-0.4096422
56,2.0399487,1.0868465,"('impractical', 'practical')",0.23038465,-0.17559865,-1.5625187,-1.8878044,-0.7546235,-1.1658452,0.115125656,-0.12995978,0.0136634,-0.4544723,0.4681357
75,-1.9572134,-1.3274097,"('meek', 'impulsive')",-0.1422426,0.05195082,1.2555476,1.3309598,0.13704637,0.2873779,-0.51569545,-0.49039596,-0.2445115,-0.0295034,-0.2150081
79,-1.9228054,-1.2200018,"('wavering', 'unwavering')",-0.33041498,-0.12492302,0.7252691,0.7283971,0.21064863,0.39470956,-0.070441276,0.042302776,-0.2775488,-0.0359031,-0.2416457
1,-1.8989435,-1.1689847,"('unfriendly', 'friendly')",-0.8274286,-0.5366398,-0.85898316,-0.93411,0.5889039,0.7027271,1.3326468,1.5062399,-0.3327609,-0.0861535,-0.2466074
63,1.8859692,1.5842829,"('unperceptive', 'insightful')",-0.01612857,0.0018135086,-1.4343596,-1.4996952,-0.11553435,-0.11686793,-0.07707529,-0.1590552,0.0485743,-0.0379044,0.0864787
70,1.8632345,1.2393458,"('lethargic', 'energetic')",0.1768373,0.14534551,-1.4432817,-1.3692526,-0.6359868,-0.6136725,0.35933965,0.29434255,0.0640286,-0.0607783,0.1248069
18,-1.8613417,-1.7463229,"('disagreeable', 'welcoming')",-0.2634334,-0.34543633,0.6907354,0.61040485,0.05642529,-0.009901032,-0.2796523,-0.33732224,-0.3314534,-0.3657155,0.0342621
71,1.7540741,1.8094014,"('diffident', 'self-confident')",1.1995882,1.1619997,-0.27421638,-0.37632674,0.8356284,0.7088563,0.7748374,0.7621424,0.8579823,0.8132147,0.0447676
52,-1.7440047,-0.7858474,"('irrational', 'rational')",0.1833843,0.42993125,1.5665567,1.6412395,0.7258129,0.9651706,0.19253685,0.40714237,0.1848572,0.5315273,-0.3466701
60,1.714965,0.52157086,"('inefficient', 'efficient')",0.25482047,-0.1490322,-2.5088897,-2.7131042,-1.0090047,-1.3474436,0.27912632,-0.029359035,-0.2537965,-0.7434737,0.4896772
8,-1.7129858,-1.277797,"('unaffectionate', 'affectionate')",-0.3115941,-0.24142924,-0.6704742,-0.73674023,0.3195254,0.47630578,0.9231096,0.91845363,-0.2904838,-0.1722414,-0.1182424
43,1.5807525,0.96280855,"('irresponsible', 'responsible')",-0.38547057,-0.7445522,-1.557577,-1.7274295,-0.7314884,-0.927897,0.53847605,0.47118628,-0.1110615,-0.3931768,0.2821153
6,-1.5645633,-0.76183456,"('distant', 'open')",-0.50603676,-0.24417795,1.1125638,1.0790488,0.9892561,1.2071338,0.28920475,0.36009204,0.0640849,0.3280524,-0.2639675
