,entergy_male,entergy_female,tuple,corp_male,corp_female,average_male,average_female,male-female
53,-1.9530088,-2.3641407,"('uncreative', 'creative')",0.4971494,0.3279534,-0.7279297,-1.0180937,0.290164
1,-1.5795482,-2.1781113,"('unfriendly', 'friendly')",1.4101117,0.74832046,-0.0847183,-0.7148954,0.6301771
31,-1.4930336,-2.1496003,"('evil', 'good')",-0.80897814,-1.5239816,-1.1510059,-1.8367909,0.685785
36,-1.4347528,-2.275248,"('hostile', 'amicable')",-0.24885292,-0.8430695,-0.8418029,-1.5591588,0.7173559
8,-1.4002749,-1.9728572,"('unaffectionate', 'affectionate')",1.1376003,0.64142966,-0.1313373,-0.6657138,0.5343765
86,-1.3526676,-1.1480987,"('uninfluential', 'influential')",-0.32892698,-0.16900215,-0.8407973,-0.6585504,-0.1822469
57,-1.3358505,-1.1884546,"('unimaginative', 'imaginative')",-3.5414617,-3.3124359,-2.4386561,-2.2504454,-0.1882107
9,-1.1775115,-1.7951148,"('unaffectionate', 'caring')",1.597946,1.2677362,0.2102173,-0.2636893,0.4739066
69,1.1675055,0.6133767,"('lazy', 'industrious')",-0.59398204,-1.3765044,0.2867617,-0.3815639,0.6683256
10,-1.1239092,-0.43517697,"('unsympathetic', 'sympathetic')",-0.32134116,0.42877668,-0.7226252,-0.0032001,-0.7194251
44,1.079206,1.033939,"('prejudiced', 'unprejudiced')",-1.3159148,-1.236585,-0.1183544,-0.101323,-0.0170314
35,-1.0084101,-1.6712792,"('corrupt', 'incorrupt')",-0.5390202,-1.1271796,-0.7737151,-1.3992294,0.6255143
22,-0.99779695,-0.748186,"('untrustworthy', 'trustworthy')",-1.3149348,-0.89352566,-1.1563659,-0.8208559,-0.33551
73,0.9781595,0.5655645,"('helpless', 'self-reliant')",-3.1297483,-3.4100544,-1.0757945,-1.422245,0.3464505
28,-0.9622009,-0.7720769,"('disloyal', 'loyal')",0.89058757,0.91561925,-0.0358067,0.0717712,-0.1075779
80,0.95390075,1.7428126,"('dominated', 'dominating')",-1.0911101,-0.48587006,-0.0686047,0.6284713,-0.697076
56,0.942464,1.4704196,"('impractical', 'practical')",-0.7000476,-0.118646435,0.1212082,0.6758866,-0.5546784
52,-0.93682534,-1.5920916,"('irrational', 'rational')",0.034462184,-0.47293562,-0.4511816,-1.0325136,0.581332
67,0.9310985,1.0314316,"('doubtful', 'determined')",-0.56170034,-0.5760849,0.1846991,0.2276733,-0.0429742
17,-0.92083395,-0.90817994,"('nasty', 'nice')",-0.8055143,-0.790204,-0.8631741,-0.849192,-0.0139821
25,-0.91499984,-1.3113102,"('egoistic', 'altruistic')",1.0557303,0.6358538,0.0703653,-0.3377282,0.4080935
85,-0.90112454,-2.0719619,"('insignificant', 'prestigious')",-0.07632102,-1.1534745,-0.4887228,-1.6127181,1.1239953
60,0.85661304,1.6172417,"('inefficient', 'efficient')",0.11131832,0.7201721,0.4839657,1.1687069,-0.6847412
54,-0.8550298,-1.3070571,"('incapable', 'capable')",1.0219152,0.9262396,0.0834427,-0.1904088,0.2738515
45,-0.83460146,-0.2890397,"('incompetent', 'competent')",-0.17326276,0.09759446,-0.5039321,-0.0957226,-0.4082095
16,-0.8277001,-1.1162344,"('unpopular', 'popular')",0.32576644,0.041391432,-0.2509668,-0.5374215,0.2864547
19,-0.8264771,-1.2857649,"('inhospitable', 'hospitable')",-0.1960947,-0.66411877,-0.5112859,-0.9749418,0.4636559
58,-0.81099546,-0.8390015,"('undiscriminating', 'discriminating')",-0.06204389,-0.14045042,-0.4365197,-0.4897259,0.0532062
72,-0.8085794,-0.89748275,"('unambitious', 'ambitious')",0.07202332,0.39079627,-0.368278,-0.2533432,-0.1149348
87,0.7372498,0.87992346,"('unsuccessful', 'successful')",0.81657124,0.83758444,0.7769105,0.8587539,-0.0818434
79,-0.72270024,-1.2249633,"('wavering', 'unwavering')",-0.27262872,-0.552762,-0.4976645,-0.8888626,0.3911981
40,-0.6690128,-0.70405704,"('stingy', 'generous')",-2.2873037,-2.620496,-1.4781582,-1.6622765,0.1841183
29,-0.63850546,-0.48932895,"('unfair', 'fair')",-0.5754229,-0.68083864,-0.6069642,-0.5850838,-0.0218804
3,-0.62324995,-0.3764382,"('repellent', 'pleasant')",0.697243,0.964784,0.0369965,0.2941729,-0.2571764
32,-0.62180346,-0.4673747,"('unkind', 'kind')",0.7044182,0.7221011,0.0413074,0.1273632,-0.0860558
34,0.6162817,0.620298,"('mean', 'honorable')",5.692512,5.755525,3.1543968,3.1879115,-0.0335147
81,0.6134459,1.4828604,"('submissive', 'aggressive')",-0.89269316,-0.26857612,-0.1396236,0.6071422,-0.7467658
27,-0.6083278,-0.7885022,"('hardhearted', 'softhearted')",1.4936653,1.1422402,0.4426688,0.176869,0.2657998
5,0.59477997,-0.1772931,"('distant', 'outgoing')",-0.18473017,-0.8492005,0.2050249,-0.5132468,0.7182717
11,0.57871765,0.7901748,"('unhelpful', 'helpful')",1.6487831,1.8573084,1.1137503,1.3237416,-0.2099913
65,-0.54544085,0.15382747,"('insecure', 'secure')",-0.47727105,0.28892738,-0.5113559,0.2213774,-0.7327333
41,-0.53902566,-0.5601419,"('unforgiving', 'forgiving')",-0.28087106,-0.47237393,-0.4099483,-0.5162579,0.1063096
0,-0.52139664,-0.13292982,"('unsociable', 'sociable')",-0.43203783,-0.1019955,-0.4767172,-0.1174627,-0.3592545
82,-0.50222147,-0.221099,"('poor', 'rich')",6.9986367,7.2720675,3.2482076,3.5254843,-0.2772767
24,-0.48719627,-0.42373055,"('dishonest', 'honest')",0.5378948,0.627658,0.0253493,0.1019637,-0.0766144
4,-0.45657435,-0.8414072,"('disliked', 'liked')",-7.629252,-8.282388,-4.042913,-4.5618973,0.5189843
61,-0.44071743,-0.42944145,"('illogical', 'logical')",0.40961066,0.43739638,-0.0155534,0.0039775,-0.0195309
88,-0.43678573,-0.4830747,"('low', 'eminent')",-0.3081039,-0.42902505,-0.3724448,-0.4560499,0.0836051
18,-0.43673426,-0.5837809,"('disagreeable', 'welcoming')",-0.3648301,-0.63675773,-0.4007822,-0.6102693,0.2094871
33,0.42711705,-0.11481993,"('wrong', 'right')",-0.61867297,-0.94778466,-0.095778,-0.5313023,0.4355243
51,-0.42442468,-0.18037294,"('uneducated', 'educated')",-0.037593305,0.032896783,-0.231009,-0.0737381,-0.1572709
6,0.41396764,-0.3716315,"('distant', 'open')",-0.00033181626,-0.5978189,0.2068179,-0.4847252,0.6915431
42,0.37756234,0.5957195,"('unreliable', 'reliable')",-3.1214345,-2.811529,-1.3719361,-1.1079047,-0.2640314
7,-0.34396124,0.025075678,"('insensitive', 'sensitive')",0.31051794,0.51994294,-0.0167217,0.2725093,-0.289231
46,-0.29806626,0.40499687,"('uncompetitive', 'competitive')",-1.1009433,-0.48571846,-0.6995048,-0.0403608,-0.659144
71,0.29745775,-0.14199284,"('diffident', 'self-confident')",0.57289225,0.3544102,0.435175,0.1062087,0.3289663
63,0.28133175,0.3938332,"('unperceptive', 'insightful')",0.67963266,0.8584827,0.4804822,0.6261579,-0.1456757
48,-0.28029248,0.16250736,"('unintelligent', 'intelligent')",0.6317824,0.95131135,0.175745,0.5569093,-0.3811643
76,0.26759303,0.90840787,"('anxious', 'daring')",-0.29940832,0.29571864,-0.0159076,0.6020632,-0.6179708
68,-0.26087412,-0.14692864,"('dependent', 'independent')",-0.8637417,-0.7568855,-0.5623079,-0.4519071,-0.1104008
43,0.25341684,0.57572174,"('irresponsible', 'responsible')",0.5110777,0.89076805,0.3822473,0.7332449,-0.3509976
62,0.24665818,0.76210916,"('incompetent', 'brilliant')",0.5553293,1.0471667,0.4009938,0.9046379,-0.5036441
75,-0.24164228,-0.57906246,"('meek', 'impulsive')",-0.5584794,-0.7206177,-0.4000609,-0.6498401,0.2497792
21,-0.22219466,0.32949662,"('immoral', 'moral')",-0.63534963,-0.037275456,-0.4287722,0.1461106,-0.5748828
78,0.21049157,0.298652,"('nonresilient', 'resilient')",0.24031101,0.36537582,0.2254013,0.3320139,-0.1066126
26,-0.20936212,-0.33987826,"('hardhearted', 'benevolent')",1.3140936,0.89166117,0.5523657,0.2758915,0.2764742
23,-0.20075276,-0.09742938,"('insincere', 'sincere')",6.041878,6.452919,2.9205627,3.1777449,-0.2571822
70,-0.19772266,0.2349554,"('lethargic', 'energetic')",0.16995709,0.6448699,-0.0138828,0.4399127,-0.4537955
59,-0.19226238,-0.88077056,"('foolish', 'wise')",0.2869608,-0.15888818,0.0473492,-0.5198294,0.5671786
66,0.18933728,-0.14869577,"('inactive', 'active')",0.68779504,0.31690857,0.4385661,0.0841064,0.3544597
49,-0.18402931,-0.1329079,"('unable', 'able')",-0.05989656,0.20898458,-0.1219629,0.0380383,-0.1600012
77,-0.17461738,-0.0057054497,"('unmotivated', 'motivated')",-1.1927817,-0.9654174,-0.6836995,-0.4855614,-0.1981381
13,-0.16633032,0.29791984,"('impolite', 'polite')",-0.6963532,-0.15577158,-0.4313418,0.0710741,-0.5024159
47,-0.16044845,-0.1343916,"('stupid', 'smart')",5.6841373,5.911915,2.7618444,2.8887615,-0.1269171
55,-0.15240386,0.67980546,"('incompetent', 'clever')",0.06156896,0.6566104,-0.0454175,0.6682079,-0.7136254
12,0.13169181,-0.024658855,"('unsupportive', 'supportive')",-2.034995,-2.0876238,-0.9516516,-1.0561414,0.1044898
20,-0.12778796,0.11442875,"('rough', 'thoughtful')",0.71050847,0.783707,0.2913603,0.4490679,-0.1577076
74,-0.12616779,-0.07805248,"('undedicated', 'dedicated')",-0.49134126,-0.68236923,-0.3087545,-0.3802108,0.0714563
50,0.11884202,-0.14050116,"('clumsy', 'skillful')",0.4693808,0.35594243,0.2941114,0.1077206,0.1863908
2,0.11312947,-0.12024045,"('unlikable', 'likable')",0.6500977,0.4035466,0.3816136,0.1416531,0.2399605
37,0.111364745,0.33397716,"('fake', 'genuine')",0.21637425,0.2812582,0.1638695,0.3076177,-0.1437482
83,0.106075935,0.20383595,"('powerless', 'powerful')",-1.1267176,-0.87635523,-0.5103208,-0.3362596,-0.1740612
39,-0.078485996,-0.11124355,"('exploitative', 'cooperative')",-0.054691575,0.05938475,-0.0665888,-0.0259294,-0.0406594
64,-0.06598248,0.02387885,"('shy', 'confident')",-6.82024,-6.654504,-3.4431112,-3.3153124,-0.1277988
15,-0.05512625,-0.011150779,"('boring', 'funny')",-0.32974568,-0.26957515,-0.192436,-0.140363,-0.052073
38,0.05092714,-0.19289707,"('untruthful', 'truthful')",-0.21770403,-0.5203987,-0.0833884,-0.3566479,0.2732595
14,-0.010430988,0.6481089,"('antisocial', 'social')",-0.72838515,-0.34824863,-0.3694081,0.1499301,-0.5193382
84,0.00891443,0.26542,"('inferior', 'superior')",0.7068506,0.5839647,0.3578825,0.4246923,-0.0668098
30,-0.005284488,0.27074435,"('intolerant', 'tolerant')",0.5079536,0.5767161,0.2513345,0.4237303,-0.1723958
