,sun_male,sun_female,tuple,microsystems_male,microsystems_female,inc_male,inc_female,average_male,average_female,male-female
70,-2.783454,-2.6067681,"('lethargic', 'energetic')",-2.337156,-2.1975453,0.25605482,0.6342349,-1.6215185,-1.3900263,-0.2314922
85,2.7393074,2.5285392,"('insignificant', 'prestigious')",3.0197852,2.6538122,0.45004052,0.14140306,2.0697109,1.7745848,0.2951261
81,-2.6142406,-2.7032447,"('submissive', 'aggressive')",-2.8727074,-2.7210655,-1.0513862,-0.76770306,-2.1794448,-2.0640044,-0.1154404
45,-2.2206306,-2.6308863,"('incompetent', 'competent')",-2.4357915,-2.596401,-0.5607124,-0.5595273,-1.7390448,-1.9289382,0.1898934
42,-2.1731663,-2.0589318,"('unreliable', 'reliable')",-1.9111606,-1.8437749,-3.3142378,-3.0717204,-2.4661881,-2.3248091,-0.141379
56,-2.138211,-2.0226023,"('impractical', 'practical')",-2.8737903,-2.548296,-0.90567046,-0.565321,-1.9725572,-1.712073,-0.2604842
76,-2.078061,-1.887812,"('anxious', 'daring')",-1.9918417,-1.8460287,-0.10009499,0.24274607,-1.3899992,-1.1636982,-0.226301
64,-2.037985,-2.2520037,"('shy', 'confident')",-1.4600067,-1.51835,-6.85837,-6.7598314,-3.4521205,-3.5100619,0.0579414
43,-1.978533,-2.0264163,"('irresponsible', 'responsible')",-3.569561,-3.384823,-0.56493205,-0.30943552,-2.0376752,-1.9068917,-0.1307835
63,-1.7615824,-1.8581072,"('unperceptive', 'insightful')",-2.1019852,-2.077306,0.54376775,0.79280204,-1.1066,-1.0475371,-0.0590629
46,-1.7327508,-2.2567878,"('uncompetitive', 'competitive')",-2.442368,-2.6160712,-0.68875855,-0.7656543,-1.6212924,-1.8795045,0.2582121
82,-1.6710801,-1.7269922,"('poor', 'rich')",-1.2009642,-1.1485801,5.581839,5.909668,0.9032649,1.0113653,-0.1081004
68,-1.6478423,-2.0485263,"('dependent', 'independent')",-1.2757574,-1.4781345,-0.63803136,-0.7955725,-1.1872104,-1.4407444,0.253534
51,-1.5731736,-1.5666353,"('uneducated', 'educated')",-0.75003487,-0.7416901,0.7057131,0.7799114,-0.5391652,-0.5094713,-0.0296939
10,-1.5702608,-1.8665222,"('unsympathetic', 'sympathetic')",-3.7543576,-3.8227565,-0.413321,-0.46976155,-1.9126465,-2.0530133,0.1403668
60,-1.5682747,-1.7878886,"('inefficient', 'efficient')",-2.2952588,-2.0675251,-0.400043,0.033169832,-1.4211922,-1.2740814,-0.1471108
14,-1.5366589,-1.6092478,"('antisocial', 'social')",-1.52539,-1.3946624,-0.44236246,-0.49674323,-1.1681372,-1.1668844,-0.0012528
13,-1.5179268,-1.705405,"('impolite', 'polite')",-1.9453622,-1.9278274,-0.22861099,-0.07430778,-1.2306333,-1.2358467,0.0052134
55,-1.4845885,-1.8868688,"('incompetent', 'clever')",-2.4374065,-2.4574037,0.04809856,0.09839665,-1.2912989,-1.4152919,0.123993
71,1.4643517,1.3870229,"('diffident', 'self-confident')",1.3579552,1.2606872,0.63495696,0.41609663,1.1524213,1.0212689,0.1311524
9,1.4620631,1.1464176,"('unaffectionate', 'caring')",0.69276285,0.5676056,1.116237,0.99316585,1.0903543,0.9023964,0.1879579
62,-1.4129971,-1.3204328,"('incompetent', 'brilliant')",-1.968843,-1.6711838,-0.55293405,0.08761092,-1.3115915,-0.9680019,-0.3435896
25,1.3392528,1.0377066,"('egoistic', 'altruistic')",2.018508,1.8240204,1.9013139,1.6546036,1.7530249,1.5054436,0.2475813
33,1.3383374,1.0701648,"('wrong', 'right')",1.4641523,1.2072177,-0.1813326,-0.48472202,0.8737191,0.5975535,0.2761656
80,-1.3311412,-1.3269823,"('dominated', 'dominating')",-1.4195349,-1.2490116,-0.97938573,-0.9584167,-1.243354,-1.1781369,-0.0652171
24,-1.3168013,-1.5251409,"('dishonest', 'honest')",-3.4787507,-3.4177117,0.35645357,0.5083886,-1.4796996,-1.4781547,-0.0015449
