,microsoft_male,microsoft_female,tuple,corp_male,corp_female,average_male,average_female,male-female
39,2.4466941,2.2324445,"('exploitative', 'cooperative')",0.3500419,0.24215709,1.398368,1.2373008,0.1610672
61,2.0011306,1.8170253,"('illogical', 'logical')",0.8631056,0.82724285,1.4321181,1.322134,0.1099841
23,1.8503551,1.7812728,"('insincere', 'sincere')",5.786159,5.7010794,3.8182571,3.7411761,0.077081
54,1.8204768,1.5774347,"('incapable', 'capable')",1.042036,0.99005514,1.4312564,1.2837449,0.1475115
53,1.7813401,1.6103672,"('uncreative', 'creative')",0.48942256,0.38003248,1.1353813,0.9951998,0.1401815
9,1.5076106,1.4322978,"('unaffectionate', 'caring')",0.34907982,0.48968136,0.9283452,0.9609896,-0.0326444
4,-1.4836457,-1.3981208,"('disliked', 'liked')",-6.519027,-6.662073,-4.0013366,-4.030097,0.0287604
85,1.4518889,1.1369607,"('insignificant', 'prestigious')",-0.35409775,-0.48719734,0.5488956,0.3248817,0.2240139
26,1.3839451,1.2916052,"('hardhearted', 'benevolent')",0.86966497,1.0258634,1.1268051,1.1587343,-0.0319292
84,1.3309306,1.2008854,"('inferior', 'superior')",1.3483858,1.3594118,1.3396583,1.2801486,0.0595097
81,-1.2728429,-1.0460881,"('submissive', 'aggressive')",-0.25440887,-0.24318236,-0.7636259,-0.6446352,-0.1189907
62,1.1974682,1.384785,"('incompetent', 'brilliant')",0.7545201,0.9314716,0.9759941,1.1581283,-0.1821342
1,1.1820188,1.2176635,"('unfriendly', 'friendly')",0.5366578,0.6617418,0.8593383,0.9397026,-0.0803643
71,1.1455077,1.081629,"('diffident', 'self-confident')",0.073526025,0.25650007,0.6095169,0.6690645,-0.0595476
8,1.1311536,0.85032713,"('unaffectionate', 'affectionate')",-0.42182487,-0.3095664,0.3546644,0.2703804,0.084284
14,-1.1301816,-0.71008027,"('antisocial', 'social')",-0.2240156,-0.09613064,-0.6770986,-0.4031054,-0.2739932
6,1.104318,1.0581666,"('distant', 'open')",-1.2322335,-1.0127157,-0.0639578,0.0227255,-0.0866833
24,1.0935758,1.1255654,"('dishonest', 'honest')",0.72445554,0.9937946,0.9090157,1.05968,-0.1506643
0,-1.055516,-1.1193669,"('unsociable', 'sociable')",-0.08027151,-0.17044318,-0.5678937,-0.644905,0.0770113
45,-1.0322578,-0.6888732,"('incompetent', 'competent')",-0.32277164,-0.24066357,-0.6775147,-0.4647684,-0.2127463
57,-1.0286667,-0.857306,"('unimaginative', 'imaginative')",-2.9723434,-3.0459034,-2.000505,-1.9516047,-0.0489003
44,-1.017187,-0.96151704,"('prejudiced', 'unprejudiced')",-1.1469419,-1.1383934,-1.0820644,-1.0499552,-0.0321092
2,0.9545724,0.77701473,"('unlikable', 'likable')",0.6169224,0.6102723,0.7857474,0.6936435,0.0921039
5,0.9379575,0.8803643,"('distant', 'outgoing')",-1.2804135,-0.9702143,-0.171228,-0.044925,-0.126303
74,0.920721,1.0187877,"('undedicated', 'dedicated')",0.08144765,0.09506561,0.5010843,0.5569267,-0.0558424
25,0.9128231,0.6745338,"('egoistic', 'altruistic')",1.0696458,0.96377605,0.9912344,0.8191549,0.1720795
12,0.90683264,1.1328168,"('unsupportive', 'supportive')",-2.0654666,-1.7726258,-0.579317,-0.3199045,-0.2594125
11,0.8941566,0.70187175,"('unhelpful', 'helpful')",2.4501498,2.3648868,1.6721532,1.5333793,0.1387739
29,-0.84910166,-0.5960042,"('unfair', 'fair')",-0.7457031,-0.46201175,-0.7974024,-0.529008,-0.2683944
33,0.84109676,0.7495633,"('wrong', 'right')",-0.8159444,-0.7626256,0.0125762,-0.0065311,0.0191073
56,0.8130414,0.77143544,"('impractical', 'practical')",0.049086466,0.022194674,0.4310639,0.3968151,0.0342488
87,0.7936499,0.53191423,"('unsuccessful', 'successful')",1.247152,1.2804327,1.020401,0.9061735,0.1142275
83,0.7680216,0.77347994,"('powerless', 'powerful')",-0.37858,-0.3420002,0.1947208,0.2157399,-0.0210191
59,0.734756,0.37137973,"('foolish', 'wise')",-0.44408092,-0.52357906,0.1453375,-0.0760997,0.2214372
47,0.72774553,0.6525599,"('stupid', 'smart')",4.683755,4.886993,2.7057502,2.7697763,-0.0640261
42,-0.72514826,-0.63268954,"('unreliable', 'reliable')",-2.472281,-2.4408586,-1.5987146,-1.536774,-0.0619406
64,-0.6965992,-0.49768522,"('shy', 'confident')",-5.7069697,-5.411374,-3.2017844,-2.9545298,-0.2472546
73,0.6903401,0.45206016,"('helpless', 'self-reliant')",-3.1923096,-3.2472193,-1.2509848,-1.3975796,0.1465948
60,0.67158747,0.93322754,"('inefficient', 'efficient')",0.27455035,0.48914206,0.4730689,0.7111848,-0.2381159
