,altera_male,altera_female,tuple,corp_male,corp_female,average_male,average_female,male-female
19,-1.6605213,-1.7549896,"('inhospitable', 'hospitable')",-0.4379385,-0.51456076,-1.0492299,-1.1347752,0.0855453
79,-1.6548501,-1.4847418,"('wavering', 'unwavering')",-0.43081644,-0.30993018,-1.0428333,-0.897336,-0.1454973
31,-1.6320968,-1.0361274,"('evil', 'good')",-0.691912,-0.5863137,-1.1620044,-0.8112206,-0.3507838
53,-1.5138971,-1.1716001,"('uncreative', 'creative')",0.45609477,0.26498684,-0.5289012,-0.4533066,-0.0755946
24,-1.5010117,-1.7134907,"('dishonest', 'honest')",0.5277825,0.4956305,-0.4866146,-0.6089301,0.1223155
13,-1.4435774,-1.7501903,"('impolite', 'polite')",-1.0333927,-1.1749828,-1.2384851,-1.4625865,0.2241014
17,-1.3999188,-1.3986607,"('nasty', 'nice')",-0.53786254,-0.46598166,-0.9688907,-0.9323212,-0.0365695
1,-1.3717705,-1.2818476,"('unfriendly', 'friendly')",1.0786119,0.8633655,-0.1465793,-0.2092411,0.0626618
61,-1.2979114,-1.2900923,"('illogical', 'logical')",0.09885613,0.028696693,-0.5995277,-0.6306978,0.0311701
66,-1.2136687,-0.9145933,"('inactive', 'active')",0.16159174,0.23369853,-0.5260385,-0.3404474,-0.1855911
10,-1.2123859,-1.5777053,"('unsympathetic', 'sympathetic')",-1.1057619,-1.1999065,-1.1590738,-1.3888059,0.2297321
0,-1.1351963,-1.5667582,"('unsociable', 'sociable')",-0.65063137,-0.93670064,-0.8929138,-1.2517294,0.3588156
45,-1.1277363,-1.3167393,"('incompetent', 'competent')",-0.27698255,-0.70681584,-0.7023594,-1.0117776,0.3094182
52,-1.0856909,-0.83176565,"('irrational', 'rational')",0.15681458,0.3393522,-0.4644381,-0.2462067,-0.2182314
36,-1.0092008,-0.55763716,"('hostile', 'amicable')",-0.2111066,-0.11292465,-0.6101537,-0.3352809,-0.2748728
86,-0.9795949,-1.3426374,"('uninfluential', 'influential')",-0.7311541,-1.1496449,-0.8553745,-1.2461412,0.3907667
85,-0.9711359,-0.9913927,"('insignificant', 'prestigious')",-0.18338141,-0.35669643,-0.5772586,-0.6740445,0.0967859
57,-0.96120214,-1.0374852,"('unimaginative', 'imaginative')",-3.2076979,-3.632592,-2.08445,-2.3350387,0.2505887
16,-0.9563765,-0.87045264,"('unpopular', 'popular')",0.5000701,0.40021497,-0.2281532,-0.2351188,0.0069656
87,-0.8605851,-0.9265886,"('unsuccessful', 'successful')",0.88790375,0.9824785,0.0136593,0.027945,-0.0142857
47,-0.834934,-0.56895953,"('stupid', 'smart')",4.672878,4.779777,1.9189719,2.1054087,-0.1864368
23,-0.82523525,-1.0726217,"('insincere', 'sincere')",5.056733,5.0748405,2.1157489,2.0011094,0.1146395
9,-0.808103,-0.8004496,"('unaffectionate', 'caring')",0.767614,0.83854663,-0.0202445,0.0190485,-0.039293
28,-0.7591282,-0.84357995,"('disloyal', 'loyal')",0.88844544,0.7552674,0.0646586,-0.0441563,0.1088149
6,-0.74080384,-0.54949725,"('distant', 'open')",-0.50100195,-0.45600104,-0.6209029,-0.5027491,-0.1181538
22,-0.7241601,-0.6291748,"('untrustworthy', 'trustworthy')",-1.4152269,-1.3673812,-1.0696936,-0.998278,-0.0714156
72,0.72183114,0.44787613,"('unambitious', 'ambitious')",-0.038598455,-0.063437805,0.3416163,0.1922192,0.1493971
77,-0.6772738,-0.86845905,"('unmotivated', 'motivated')",-0.6449431,-0.747989,-0.6611085,-0.808224,0.1471155
82,-0.67548627,-0.80904824,"('poor', 'rich')",5.874368,5.7076216,2.5994411,2.4492867,0.1501544
67,0.67542255,0.4152307,"('doubtful', 'determined')",-0.41225213,-0.54297096,0.1315852,-0.0638701,0.1954553
15,-0.6605336,-0.63287157,"('boring', 'funny')",0.048630837,0.11903794,-0.3059514,-0.2569168,-0.0490346
5,-0.6564676,-0.6342209,"('distant', 'outgoing')",-0.21380267,-0.19957441,-0.4351351,-0.4168977,-0.0182374
39,-0.6531997,-0.69410765,"('exploitative', 'cooperative')",-0.16953515,-0.13421251,-0.4113674,-0.4141601,0.0027927
32,-0.645521,-0.83175516,"('unkind', 'kind')",0.39617673,0.15925595,-0.1246721,-0.3362496,0.2115775
73,0.6288547,0.7293244,"('helpless', 'self-reliant')",-2.7380831,-2.833198,-1.0546142,-1.0519369,-0.0026773
7,-0.6096797,-0.5969284,"('insensitive', 'sensitive')",-0.093474776,-0.24872088,-0.3515772,-0.4228247,0.0712475
46,-0.5463741,-0.9044318,"('uncompetitive', 'competitive')",-1.2224468,-1.5196285,-0.8844104,-1.2120302,0.3276198
34,-0.5432384,-0.47174656,"('mean', 'honorable')",5.177585,5.229808,2.3171735,2.3790307,-0.0618572
8,-0.54186213,-0.51498103,"('unaffectionate', 'affectionate')",0.1290513,0.25784987,-0.2064054,-0.1285656,-0.0778398
65,-0.5412446,-0.72092426,"('insecure', 'secure')",-0.4608092,-0.3856585,-0.5010269,-0.5532914,0.0522645
84,0.5364405,0.49043712,"('inferior', 'superior')",0.9305845,0.8663929,0.7335125,0.678415,0.0550975
55,-0.5323918,-0.71957135,"('incompetent', 'clever')",0.067590274,-0.16508208,-0.2324008,-0.4423267,0.2099259
