,becton_male,becton_female,tuple,dickinson_male,dickinson_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
8,-2.3584933,-2.604439,"('unaffectionate', 'affectionate')",0.5596956,0.3167964,0.65891016,0.66662735,0.86089116,0.77045494,-0.0697491,-0.2126401,0.142891
1,-2.2539508,-2.2177386,"('unfriendly', 'friendly')",-0.5996568,-0.6683892,0.3927948,0.58341384,1.0191017,1.1338068,-0.3604278,-0.2922268,-0.068201
9,-2.0255227,-2.1383052,"('unaffectionate', 'caring')",0.7647949,0.5134626,0.621038,0.64361066,1.0955446,1.0542102,0.1139637,0.0182445,0.0957192
53,-1.9945185,-1.9980537,"('uncreative', 'creative')",0.3710332,0.10294098,0.62539965,0.5851198,0.93463725,1.0788788,-0.0158621,-0.0577786,0.0419165
44,1.7539012,1.5185179,"('prejudiced', 'unprejudiced')",-1.925907,-2.2073252,-1.6548692,-1.717454,-1.6610126,-1.7003943,-0.8719719,-1.0266639,0.154692
28,-1.7218884,-1.5219539,"('disloyal', 'loyal')",-0.12542829,-0.073943496,-0.039080102,-0.093361884,0.11070722,0.058356274,-0.4439224,-0.4077258,-0.0361966
48,-1.5105188,-1.3656502,"('unintelligent', 'intelligent')",0.5475941,0.34600475,-0.32572412,-0.31403843,-1.1762469,-1.0883752,-0.6162239,-0.6055148,-0.0107091
25,-1.4680074,-1.4416984,"('egoistic', 'altruistic')",-0.6047588,-0.7270734,0.08562228,0.2883137,0.757004,0.9160179,-0.307535,-0.2411101,-0.0664249
32,-1.4440812,-1.2627853,"('unkind', 'kind')",-0.36810762,-0.32824925,0.1366232,0.24861726,0.19194277,0.33372408,-0.3709057,-0.2521733,-0.1187324
57,-1.4288518,-1.4121184,"('unimaginative', 'imaginative')",0.7265531,0.38271597,0.27129602,0.08979022,-2.1687121,-2.2984676,-0.6499287,-0.80952,0.1595913
23,-1.3492732,-1.1806678,"('insincere', 'sincere')",0.4482878,0.48727125,-0.35890588,-0.36672303,4.039565,4.3074565,0.6949185,0.8118342,-0.1169157
77,-1.2354747,-1.0944492,"('unmotivated', 'motivated')",0.08468528,-0.038663454,-0.1792677,-0.12014943,-0.27990946,-0.29446533,-0.4024917,-0.3869318,-0.0155599
0,-1.1878496,-0.8687619,"('unsociable', 'sociable')",0.8940981,0.8772928,0.854313,0.83620065,0.2567441,0.28327638,0.2043264,0.282002,-0.0776756
85,-1.1863427,-1.3531348,"('insignificant', 'prestigious')",-1.4124421,-1.4701184,0.79164183,1.0515945,-0.0032323897,0.10305885,-0.4525939,-0.41715,-0.0354439
18,-1.1811032,-1.1103245,"('disagreeable', 'welcoming')",-0.47190434,-0.49318802,0.34509182,0.54315305,-1.2693936,-1.1029817,-0.6443273,-0.5408353,-0.103492
73,1.1753744,1.1762892,"('helpless', 'self-reliant')",1.2071922,1.0713685,-0.543907,-0.44905463,-3.0783389,-3.191631,-0.3099198,-0.348257,0.0383372
52,-1.0446279,-1.1273963,"('irrational', 'rational')",-1.1365423,-1.1399585,0.114946246,0.31097934,-0.4459817,-0.2959882,-0.6280515,-0.5630909,-0.0649606
72,-1.0366344,-0.9256132,"('unambitious', 'ambitious')",0.7873537,0.7048345,-0.5481371,-0.3947279,-1.4497771,-1.4023433,-0.5617988,-0.5044625,-0.0573363
67,0.9380335,0.98409873,"('doubtful', 'determined')",0.11466204,0.28722942,0.6008918,0.6107465,-0.123032376,-0.16954693,0.3826388,0.4281319,-0.0454931
41,-0.9270373,-0.8033845,"('unforgiving', 'forgiving')",0.25761014,0.2655689,0.08745903,0.0655379,-0.09902094,-0.23225284,-0.1702473,-0.1761326,0.0058853
16,-0.89036304,-0.97935426,"('unpopular', 'popular')",-2.1706195,-2.216964,-0.1448336,-0.06938458,0.20562865,0.34555626,-0.7500468,-0.7300366,-0.0200102
86,-0.886718,-0.7001624,"('uninfluential', 'influential')",1.7916299,1.8969367,0.65649253,0.58097047,-0.4477789,-0.4960457,0.2784064,0.3204248,-0.0420184
26,-0.8808742,-0.80577725,"('hardhearted', 'benevolent')",0.4913923,0.63679826,2.9378116,3.0034356,1.5776318,1.602369,1.0314904,1.1092064,-0.077716
64,0.8794723,0.9820051,"('shy', 'confident')",0.53159875,0.58005893,-0.05829011,0.057209924,-4.918847,-5.180264,-0.8915166,-0.8902475,-0.0012691
80,0.8607675,0.9777665,"('dominated', 'dominating')",1.043269,1.0548831,0.38097483,0.23344424,-0.72846913,-0.7916713,0.3891355,0.3686056,0.0205299
61,-0.85565656,-0.6710186,"('illogical', 'logical')",0.20150316,0.16716707,0.73908645,0.71147645,-0.15027504,-0.19188818,-0.0163355,0.0039342,-0.0202697
6,-0.84418845,-0.87855375,"('distant', 'open')",-0.92831457,-0.6933584,0.120256335,0.26561505,-0.05683756,0.07100992,-0.4272711,-0.3088218,-0.1184493
