,bank_male,bank_female,tuple,of_male,of_female,new_male,new_female,york_male,york_female,mellon_male,mellon_female,corp_male,corp_female,average_male,average_female,male-female
71,1.8118773,1.8917841,"('diffident', 'self-confident')",-0.17626172,0.03833658,0.28805822,0.20695668,0.53870744,0.64050037,1.9390548,2.0584335,0.21247868,0.3149893,0.7689858,0.8585,-0.0895142
2,1.8041557,2.0865676,"('unlikable', 'likable')",0.7559565,1.0978708,0.44619823,0.7061347,1.5198914,1.8671273,1.5440631,1.8774831,0.49850747,0.56510156,1.0947954,1.3667142,-0.2719188
34,1.651496,1.8611543,"('mean', 'honorable')",0.5618407,0.8032035,-0.91690665,-0.5612723,-0.07381037,0.33044636,0.58461404,0.7660867,5.258338,5.679697,1.1775953,1.4798859,-0.3022906
83,1.5062683,1.4570236,"('powerless', 'powerful')",0.5511415,0.43414485,-0.30212533,-0.5041624,0.04014119,-0.17704707,0.62539184,0.51260734,-0.7226444,-0.91553956,0.2830288,0.1345045,0.1485243
68,-1.452966,-1.5879027,"('dependent', 'independent')",0.2019631,0.1594081,-1.1543587,-1.0374135,-1.0290539,-0.9268109,-1.9352417,-2.1891413,-1.5501473,-1.6104944,-1.1533008,-1.1987259,0.0454251
9,1.3930086,1.4971832,"('unaffectionate', 'caring')",-1.0249983,-0.9672346,-0.36888927,-0.3367599,0.06173312,0.15108858,3.4868543,3.4987743,1.5945897,1.6749177,0.8570497,0.9196615,-0.0626118
87,1.376239,1.004534,"('unsuccessful', 'successful')",0.3685295,-0.06955047,-0.040702187,-0.34561142,0.21055102,-0.29469517,0.24715161,0.055774495,0.65892625,0.23131925,0.4701159,0.0969618,0.3731541
62,1.2693458,1.4742123,"('incompetent', 'brilliant')",-0.6921559,-0.34491903,-1.0162182,-0.7507862,-0.15639113,-0.12874189,-1.0096055,-0.78099114,0.35874364,0.37973216,-0.2077136,-0.025249,-0.1824646
15,1.2386383,1.1578028,"('boring', 'funny')",0.8615323,0.42753172,0.9876201,0.5261022,0.51695144,0.11460815,1.4208397,1.4645736,-0.0015472043,-0.083586074,0.8373391,0.6011721,0.236167
63,1.2229471,1.4729373,"('unperceptive', 'insightful')",0.19738433,0.55853134,-1.3752726,-1.3426433,0.1815828,0.14973778,-0.041280296,0.012222752,0.6632024,0.5026221,0.1414273,0.225568,-0.0841407
37,-1.1110373,-0.99533314,"('fake', 'genuine')",0.11205186,0.14978084,-1.6401939,-1.425833,-0.5687078,-0.52981305,0.004064223,-0.06567511,0.5769546,0.57060206,-0.4378114,-0.3827119,-0.0550995
1,1.1088626,1.1775457,"('unfriendly', 'friendly')",-1.0371238,-1.0577102,-0.59158367,-1.017448,-0.72627544,-0.9068841,2.592007,2.373671,1.7104665,1.7798079,0.5093922,0.3914971,0.1178951
