,pitney_male,pitney_female,tuple,bowes_male,bowes_female,inc_male,inc_female,average_male,average_female,male-female
69,2.5830286,2.0671954,"('lazy', 'industrious')",1.1857738,0.84746844,-0.2274608,0.002231121,1.1804472,0.9722983,0.2081489
10,-2.2342877,-1.5642496,"('unsympathetic', 'sympathetic')",-1.7513182,-1.3687131,0.21258435,0.18758065,-1.2576739,-0.9151274,-0.3425465
86,-2.0480642,-1.5415144,"('uninfluential', 'influential')",-1.8147037,-1.357604,-0.3926435,-0.36172083,-1.4184705,-1.0869464,-0.3315241
21,-1.8943069,-1.3458866,"('immoral', 'moral')",-0.78356117,-0.4987835,-1.0176398,-1.0112762,-1.231836,-0.9519821,-0.2798539
1,-1.8679684,-1.59395,"('unfriendly', 'friendly')",-1.6906244,-1.3849794,1.6091847,1.8502934,-0.6498027,-0.376212,-0.2735907
43,-1.6385579,-1.2047743,"('irresponsible', 'responsible')",-1.111084,-0.75189614,0.74829906,0.7872006,-0.6671143,-0.3898233,-0.277291
32,-1.5713328,-1.2300245,"('unkind', 'kind')",-0.89073193,-0.6484948,0.7393794,0.8123607,-0.5742284,-0.3553862,-0.2188422
35,1.5295312,1.1081722,"('corrupt', 'incorrupt')",0.9738193,0.76447093,-0.31530008,0.013624946,0.7293502,0.628756,0.1005942
65,-1.5142525,-1.3426932,"('insecure', 'secure')",-0.31814295,-0.38784257,-0.35199708,-0.6876346,-0.7281309,-0.8060568,0.0779259
57,-1.4920325,-1.1946151,"('unimaginative', 'imaginative')",-1.3585303,-1.0891447,-2.2586188,-2.3253655,-1.7030605,-1.536375,-0.1666855
23,-1.4338764,-1.107863,"('insincere', 'sincere')",-1.187996,-0.9707518,5.520896,5.2283063,0.9663412,1.0498972,-0.083556
48,-1.4075983,-1.1010888,"('unintelligent', 'intelligent')",-1.3843584,-1.1937001,0.4418244,0.3947064,-0.7833774,-0.6333608,-0.1500166
22,-1.3178396,-1.0110648,"('untrustworthy', 'trustworthy')",-0.1815613,0.026699597,-0.9267304,-0.838225,-0.8087104,-0.60753,-0.2011804
63,-1.3035485,-0.92473274,"('unperceptive', 'insightful')",-0.7320845,-0.39015332,1.4225264,1.3754883,-0.2043689,0.0202007,-0.2245696
88,-1.2893565,-1.0291367,"('low', 'eminent')",-1.0392131,-0.86039966,0.20658061,0.051940683,-0.7073296,-0.6125319,-0.0947977
11,-1.246833,-0.8930884,"('unhelpful', 'helpful')",-0.6552837,-0.33950472,1.9184322,1.8739625,0.0054385,0.2137898,-0.2083513
30,-1.2390224,-0.7654445,"('intolerant', 'tolerant')",-0.46180695,-0.25417337,1.1010526,1.0649986,-0.1999255,0.0151269,-0.2150524
24,-1.2327958,-0.75323486,"('dishonest', 'honest')",-1.050377,-0.67793643,0.8583144,0.9672172,-0.4749528,-0.1546514,-0.3203014
62,-1.2273315,-0.7140181,"('incompetent', 'brilliant')",-1.0173302,-0.6568889,0.41831866,0.36783975,-0.6087811,-0.3343558,-0.2744253
28,-1.2232987,-0.7806908,"('disloyal', 'loyal')",-1.9142772,-1.52173,0.9204337,0.950575,-0.7390474,-0.4506152,-0.2884322
3,-1.2164557,-1.0986567,"('repellent', 'pleasant')",-1.3034457,-1.2329595,-0.15325268,-0.34199515,-0.8910513,-0.8912038,0.0001525
