,centex_male,centex_female,tuple,corp_male,corp_female,average_male,average_female,male-female
6,-2.3228123,-2.520175,"('distant', 'open')",-0.18931392,-0.17367072,-1.2560631,-1.3469229,0.0908598
5,-2.0798326,-2.2615263,"('distant', 'outgoing')",-0.4539549,-0.39757293,-1.2668937,-1.3295497,0.062656
1,-1.8005991,-2.0962927,"('unfriendly', 'friendly')",1.6469958,1.5085002,-0.0768017,-0.2938963,0.2170946
85,-1.7484938,-1.9426086,"('insignificant', 'prestigious')",0.09634414,-0.06932458,-0.8260748,-1.0059665,0.1798917
19,-1.6893797,-1.7593449,"('inhospitable', 'hospitable')",-0.52924174,-0.51380676,-1.1093107,-1.1365758,0.0272651
79,-1.5960063,-1.7635101,"('wavering', 'unwavering')",-0.59872186,-0.5660594,-1.0973641,-1.1647848,0.0674207
31,-1.5698786,-1.6777372,"('evil', 'good')",-0.67848694,-0.79659116,-1.1241827,-1.2371643,0.1129816
86,-1.5626754,-1.5948162,"('uninfluential', 'influential')",-0.4359824,-0.4399641,-0.9993289,-1.0173901,0.0180612
52,-1.4906331,-1.7218883,"('irrational', 'rational')",0.09221881,-0.059243247,-0.6992072,-0.8905658,0.1913586
39,1.4563866,1.4175305,"('exploitative', 'cooperative')",0.057578743,0.14065076,0.7569827,0.7790906,-0.0221079
9,-1.4375485,-1.7767024,"('unaffectionate', 'caring')",1.1700044,1.1537384,-0.1337721,-0.311482,0.1777099
36,-1.4375077,-1.5918491,"('hostile', 'amicable')",-0.023809409,-0.1698343,-0.7306586,-0.8808417,0.1501831
59,-1.3987708,-1.6181762,"('foolish', 'wise')",0.17031942,0.15877438,-0.6142257,-0.7297009,0.1154752
8,-1.3950839,-1.6627874,"('unaffectionate', 'affectionate')",0.89909303,0.8353524,-0.2479954,-0.4137175,0.1657221
53,-1.3572322,-1.554628,"('uncreative', 'creative')",0.4702979,0.2943413,-0.4434671,-0.6301433,0.1866762
76,1.233975,1.4679347,"('anxious', 'daring')",-0.26485687,-0.20475395,0.4845591,0.6315904,-0.1470313
18,-1.1089718,-1.1604317,"('disagreeable', 'welcoming')",-0.4985509,-0.5398993,-0.8037614,-0.8501655,0.0464041
54,-1.0783539,-1.1607122,"('incapable', 'capable')",0.7060704,0.83649224,-0.1861417,-0.16211,-0.0240317
57,-1.0552751,-0.9056561,"('unimaginative', 'imaginative')",-3.205191,-3.3019722,-2.130233,-2.1038141,-0.0264189
38,-1.0444798,-1.1934282,"('untruthful', 'truthful')",-0.08465272,0.017992709,-0.5645663,-0.5877177,0.0231514
88,-0.9411479,-0.9101292,"('low', 'eminent')",-0.49318904,-0.48189738,-0.7171685,-0.6960133,-0.0211552
35,-0.9330743,-0.9724979,"('corrupt', 'incorrupt')",-0.525387,-0.563344,-0.7292306,-0.767921,0.0386904
66,-0.9224895,-1.080833,"('inactive', 'active')",0.38196707,0.3435096,-0.2702612,-0.3686617,0.0984005
73,0.9119376,0.78728795,"('helpless', 'self-reliant')",-3.2219858,-3.442039,-1.1550241,-1.3273755,0.1723514
12,-0.8188056,-0.9050014,"('unsupportive', 'supportive')",-2.2043848,-2.2795372,-1.5115952,-1.5922693,0.0806741
45,-0.81824005,-0.698424,"('incompetent', 'competent')",0.024557522,-0.028581964,-0.3968413,-0.363503,-0.0333383
