,campbell_male,campbell_female,tuple,soup_male,soup_female,co_male,co_female,average_male,average_female,male-female
73,2.0741982,2.378519,"('helpless', 'self-reliant')",-0.08467214,0.05021549,-3.7839603,-3.538066,-0.5981447,-0.3697771,-0.2283676
65,-1.8723989,-1.9697535,"('insecure', 'secure')",-1.891654,-1.9342649,-0.26475134,-0.34515733,-1.3429348,-1.4163918,0.073457
69,1.6815134,1.851856,"('lazy', 'industrious')",1.3865497,1.4226974,-0.93436706,-0.71286225,0.711232,0.853897,-0.142665
46,-1.6075662,-1.7198541,"('uncompetitive', 'competitive')",-1.146641,-1.0204104,-1.4356964,-1.417796,-1.3966344,-1.3860202,-0.0106142
17,-1.5090507,-1.9152673,"('nasty', 'nice')",-0.6725356,-0.821581,-0.59066564,-0.6444786,-0.9240839,-1.127109,0.2030251
35,1.3713933,1.4805781,"('corrupt', 'incorrupt')",0.6358161,0.5327249,-0.61592484,-0.42270154,0.4637615,0.5302005,-0.066439
16,-1.3190833,-1.3853298,"('unpopular', 'popular')",-0.92808396,-0.74813884,0.008890994,0.056273296,-0.7460921,-0.6923985,-0.0536936
6,1.3129606,1.4851602,"('distant', 'open')",1.5549841,1.7496676,0.33531502,0.59577316,1.0677532,1.2768671,-0.2091139
33,1.271251,1.564828,"('wrong', 'right')",0.6133714,0.64730924,-0.33414996,-0.23213673,0.5168241,0.6600002,-0.1431761
5,1.2088412,1.3581481,"('distant', 'outgoing')",1.140623,1.3315926,0.26691025,0.5141671,0.8721248,1.0679692,-0.1958444
47,-1.200273,-1.0572606,"('stupid', 'smart')",0.014983747,0.05480045,5.668773,5.8049784,1.4944946,1.6008393,-0.1063447
85,1.1757327,1.1970118,"('insignificant', 'prestigious')",1.0290796,1.1551569,-0.30387235,-0.070312455,0.6336466,0.7606187,-0.1269721
9,1.1375593,1.1602588,"('unaffectionate', 'caring')",0.8872397,0.9877292,1.3659178,1.5691288,1.1302389,1.2390389,-0.1088
18,-1.1231371,-0.9607458,"('disagreeable', 'welcoming')",-0.28661528,-0.18074602,-0.8608669,-0.673553,-0.7568731,-0.605015,-0.1518581
55,-1.0431585,-1.0311478,"('incompetent', 'clever')",-0.62965906,-0.5522613,-0.29954904,-0.12392819,-0.6574555,-0.5691124,-0.0883431
11,-1.0066701,-1.2265514,"('unhelpful', 'helpful')",-0.31173533,-0.36158264,2.2444975,2.1992183,0.3086974,0.2036947,0.1050027
57,-0.99876624,-1.1965588,"('unimaginative', 'imaginative')",-1.5810633,-1.4690197,-4.2903895,-4.2122293,-2.2900731,-2.2926025,0.0025294
71,0.9947219,1.2492173,"('diffident', 'self-confident')",1.7537009,1.9739156,0.6028263,0.868263,1.117083,1.3637986,-0.2467156
44,-0.98940265,-0.79295677,"('prejudiced', 'unprejudiced')",-1.104137,-1.1434996,-1.4397728,-1.4244051,-1.1777709,-1.1202872,-0.0574837
56,0.9615391,0.9472377,"('impractical', 'practical')",0.49810144,0.34324607,-0.69906133,-0.74460185,0.2535264,0.1819606,0.0715658
37,0.95486885,1.0856177,"('fake', 'genuine')",0.27776808,0.3176213,0.2629786,0.38846168,0.4985385,0.5972336,-0.0986951
87,-0.95434564,-1.0503006,"('unsuccessful', 'successful')",-0.08581613,-0.03620381,-0.0012712665,0.22621222,-0.3471443,-0.2867641,-0.0603802
