,weatherford_male,weatherford_female,tuple,international_male,international_female,plc_male,plc_female,average_male,average_female,male-female
1,-2.3679354,-2.239093,"('unfriendly', 'friendly')",-0.31132373,-0.0756095,1.6240047,1.868697,-0.3517514,-0.1486685,-0.2030829
53,-1.856255,-1.6446282,"('uncreative', 'creative')",-0.7600779,-0.6977114,1.0789791,1.2103482,-0.5124513,-0.3773304,-0.1351209
9,-1.707534,-1.5470359,"('unaffectionate', 'caring')",-0.43539822,-0.34129044,0.8581615,1.0687969,-0.4282569,-0.2731765,-0.1550804
8,-1.6977805,-1.6582088,"('unaffectionate', 'affectionate')",-0.95355517,-0.80780935,0.28101477,0.5460045,-0.790107,-0.6400046,-0.1501024
18,-1.5527194,-1.4591094,"('disagreeable', 'welcoming')",0.39850888,0.40298283,-1.3036691,-1.3984132,-0.8192932,-0.8181799,-0.0011133
25,-1.4998986,-1.6067044,"('egoistic', 'altruistic')",-0.16240992,-0.17560382,1.0000521,1.0267888,-0.2207521,-0.2518398,0.0310877
6,-1.4859643,-1.5706966,"('distant', 'open')",-0.307778,-0.18942565,0.04071737,0.26844063,-0.5843416,-0.4972272,-0.0871144
36,-1.4551659,-1.7364646,"('hostile', 'amicable')",0.27442867,0.20793077,0.9489806,1.0865921,-0.0772522,-0.1473139,0.0700617
77,-1.4373202,-1.4117475,"('unmotivated', 'motivated')",-0.23472068,-0.24758027,-1.0856298,-1.2915176,-0.9192236,-0.9836151,0.0643915
41,-1.2745752,-1.0364784,"('unforgiving', 'forgiving')",-0.15555897,-0.05755221,0.35690522,0.45863557,-0.357743,-0.2117984,-0.1459446
52,-1.1979767,-1.3703123,"('irrational', 'rational')",-1.0341182,-1.0405707,-0.13979447,0.12152389,-0.7906297,-0.7631197,-0.02751
86,-1.1229798,-0.8768673,"('uninfluential', 'influential')",-0.2461232,-0.07949163,0.097074024,0.1669468,-0.4240096,-0.2631374,-0.1608722
57,-1.1110148,-0.7052145,"('unimaginative', 'imaginative')",-0.024070598,0.16714644,-1.0203667,-1.0988008,-0.7184841,-0.5456229,-0.1728612
10,-1.1078743,-0.5659112,"('unsympathetic', 'sympathetic')",-1.3521637,-1.1961051,-0.78278977,-0.7207499,-1.0809426,-0.8275887,-0.2533539
32,-1.1044005,-0.89999306,"('unkind', 'kind')",-0.9414579,-0.80406594,-0.034257542,0.1547863,-0.693372,-0.5164242,-0.1769478
28,-1.0890998,-0.9916846,"('disloyal', 'loyal')",-0.75013417,-0.6945154,0.7661273,0.98901635,-0.3577022,-0.2323946,-0.1253076
