,moodys_male,moodys_female,tuple,corp_male,corp_female,average_male,average_female,male-female
26,2.338399,2.3595893,"('hardhearted', 'benevolent')",2.4497297,2.5323625,2.3940644,2.4459758,-0.0519114
68,-1.3641795,-1.353391,"('dependent', 'independent')",-0.90046775,-1.1184876,-1.1323236,-1.2359393,0.1036157
44,-1.3552552,-1.2400873,"('prejudiced', 'unprejudiced')",-1.5336088,-1.478894,-1.444432,-1.3594906,-0.0849414
82,-1.3051598,-1.5410199,"('poor', 'rich')",6.175338,5.8351126,2.4350891,2.1470463,0.2880428
41,1.2841569,1.1678607,"('unforgiving', 'forgiving')",0.24294898,0.23448563,0.763553,0.7011732,0.0623798
2,1.2685937,1.226641,"('unlikable', 'likable')",0.3661491,0.3433093,0.8173714,0.7849752,0.0323962
88,-1.2254914,-1.2254248,"('low', 'eminent')",-0.6281411,-0.6698432,-0.9268162,-0.947634,0.0208178
39,1.1494861,1.4021451,"('exploitative', 'cooperative')",0.5334588,0.6735816,0.8414724,1.0378634,-0.196391
16,-1.0312197,-1.0883361,"('unpopular', 'popular')",0.19647469,0.12714852,-0.4173725,-0.4805938,0.0632213
56,1.005596,0.9259805,"('impractical', 'practical')",-0.3180016,-0.48804006,0.3437972,0.2189702,0.124827
48,-1.0017753,-1.027378,"('unintelligent', 'intelligent')",0.58340603,0.61709666,-0.2091846,-0.2051407,-0.0040439
14,0.92382556,0.900581,"('antisocial', 'social')",0.16389275,0.16640243,0.5438591,0.5334917,0.0103674
45,-0.890757,-0.9822701,"('incompetent', 'competent')",0.09728324,0.095202714,-0.3967369,-0.4435337,0.0467968
29,-0.873127,-0.9230134,"('unfair', 'fair')",-0.67893684,-0.7097909,-0.7760319,-0.8164021,0.0403702
12,0.87286097,0.91222,"('unsupportive', 'supportive')",-2.1910255,-2.0700865,-0.6590823,-0.5789332,-0.0801491
85,0.8558615,0.87251294,"('insignificant', 'prestigious')",-0.035569247,0.053326115,0.4101461,0.4629195,-0.0527734
9,0.8474642,0.80419576,"('unaffectionate', 'caring')",1.1990482,1.1986034,1.0232562,1.0013995,0.0218567
33,0.7540739,0.87159324,"('wrong', 'right')",-0.6786454,-0.6512845,0.0377143,0.1101544,-0.0724401
51,-0.7523366,-0.92893124,"('uneducated', 'educated')",0.35013837,0.28504872,-0.2010991,-0.3219413,0.1208422
75,-0.7179502,-0.7153746,"('meek', 'impulsive')",-0.5699208,-0.5956023,-0.6439355,-0.6554884,0.0115529
