,zimmer_male,zimmer_female,tuple,biomet_male,biomet_female,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,male-female
57,-1.9435855,-2.4431183,"('unimaginative', 'imaginative')",-1.4155657,-1.4423534,-0.48234802,-0.7993392,-1.5855212,-2.0943332,-1.3567551,-1.6947861,0.338031
28,-1.7303553,-1.5792074,"('disloyal', 'loyal')",-0.087230235,0.012661242,-0.39373532,-0.22062619,1.2989976,1.5592842,-0.2280808,-0.0569721,-0.1711087
1,-1.7166314,-1.4707646,"('unfriendly', 'friendly')",-0.5779828,-0.23545474,-0.34505564,0.3455119,1.2891198,1.8535997,-0.3376375,0.123223,-0.4608605
73,1.7131385,1.9825076,"('helpless', 'self-reliant')",0.8312874,0.86043316,-0.5870221,-0.2542681,-3.1769059,-3.3088799,-0.3048755,-0.1800518,-0.1248237
0,-1.4968565,-1.736397,"('unsociable', 'sociable')",-0.3550117,-0.4804556,0.53287256,0.13675332,-0.14904633,-0.24706009,-0.3670105,-0.5817899,0.2147794
10,-1.4822699,-2.0678067,"('unsympathetic', 'sympathetic')",-1.4124255,-1.5901968,-0.0056655724,-0.39072964,0.45185933,0.18593991,-0.6121254,-0.9656984,0.353573
48,-1.4625453,-1.7395679,"('unintelligent', 'intelligent')",0.24924046,0.3081187,-0.34550834,-0.48782927,0.43518454,0.35553053,-0.2809072,-0.390937,0.1100298
3,-1.451339,-1.5120795,"('repellent', 'pleasant')",-1.5731181,-1.5696094,0.49584174,0.4166489,0.42250663,0.07254013,-0.5265272,-0.648125,0.1215978
41,-1.4317039,-1.6111066,"('unforgiving', 'forgiving')",-0.027062587,-0.001002783,-0.21533388,0.030989569,0.14291751,0.28605586,-0.3827957,-0.323766,-0.0590297
12,-1.405067,-1.4468817,"('unsupportive', 'supportive')",0.05566573,0.15595931,-0.22804879,0.08395165,-1.2780557,-1.240119,-0.7138764,-0.6117724,-0.102104
11,-1.3833475,-1.7790781,"('unhelpful', 'helpful')",-0.86118174,-0.97298265,-1.0330702,-1.039076,2.0067995,1.9495516,-0.3177,-0.4603963,0.1426963
72,-1.3541203,-1.244737,"('unambitious', 'ambitious')",-0.44651416,-0.2982446,-0.3712341,-0.3545435,-1.2863672,-1.0850081,-0.8645589,-0.7456333,-0.1189256
8,-1.3339041,-1.1100363,"('unaffectionate', 'affectionate')",-0.51338667,-0.39376318,-1.0441614,-0.5127105,0.06177336,0.6711228,-0.7074198,-0.3363468,-0.371073
86,-1.3276225,-1.7666404,"('uninfluential', 'influential')",-0.7395224,-0.7025388,-0.010239989,-0.22245926,0.14219862,0.009314705,-0.4837966,-0.6705809,0.1867843
50,1.3247133,1.41135,"('clumsy', 'skillful')",0.62806,0.6234523,0.25366843,0.50461924,0.48575026,0.43241858,0.673048,0.74296,-0.069912
63,-1.2943357,-1.657212,"('unperceptive', 'insightful')",-0.6639434,-0.6751476,1.7927171,1.4758861,1.532824,1.2850507,0.3418155,0.1071443,0.2346712
35,1.2496065,1.8738812,"('corrupt', 'incorrupt')",0.3126584,0.42462283,-1.3862673,-0.94087833,-0.32801673,-0.13797247,-0.0380048,0.3049133,-0.3429181
45,-1.2093711,-1.4776562,"('incompetent', 'competent')",-0.53942215,-0.6917769,0.37063235,0.15946591,-0.08457906,-0.14481078,-0.365685,-0.5386945,0.1730095
24,-1.2092515,-1.2187827,"('dishonest', 'honest')",-0.16119124,0.012103714,-1.1008853,-0.6240885,0.561431,0.92476165,-0.4774743,-0.2265015,-0.2509728
21,-1.1943645,-1.6288124,"('immoral', 'moral')",-0.023713995,-0.12982409,0.6140286,0.3604165,-0.48524803,-0.6335107,-0.2723245,-0.5079327,0.2356082
23,-1.1871483,-1.415649,"('insincere', 'sincere')",-0.21630965,-0.18998607,-0.54093254,-0.49152032,4.7879725,5.1756887,0.7108955,0.7696333,-0.0587378
