,constellation_male,constellation_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
39,3.6192083,3.7610571,"('exploitative', 'cooperative')",1.5602001,1.5448014,0.0067312196,-0.020884307,1.7287132,1.761658,-0.0329448
60,2.491546,2.466358,"('inefficient', 'efficient')",2.7763293,2.4594815,0.79702455,0.6955658,2.0216333,1.8738017,0.1478316
6,-2.3809972,-2.1827276,"('distant', 'open')",-1.6871556,-1.1948749,-0.36873215,-0.026750991,-1.4789616,-1.1347845,-0.3441771
76,2.2387161,1.8497615,"('anxious', 'daring')",1.8888763,1.4450543,1.5309426,0.9788241,1.8861783,1.4245466,0.4616317
31,-2.2207415,-1.7769647,"('evil', 'good')",-2.4677968,-2.044227,-2.2039173,-1.7567772,-2.2974854,-1.8593229,-0.4381625
23,2.1225572,2.2189786,"('insincere', 'sincere')",1.2938108,1.3553197,4.8172054,5.2012463,2.7445246,2.9251817,-0.1806571
4,-2.0194924,-1.9461827,"('disliked', 'liked')",-0.55383146,-0.5145341,-4.936166,-5.435977,-2.5031632,-2.6322312,0.129068
16,-1.9997541,-2.0500803,"('unpopular', 'popular')",-0.5178107,-0.58178663,0.37384146,0.26167524,-0.7145744,-0.7900639,0.0754895
56,1.9741634,1.9828984,"('impractical', 'practical')",2.339311,2.2080963,1.0642312,0.71607405,1.7925685,1.6356896,0.1568789
20,1.8808852,1.5865327,"('rough', 'thoughtful')",0.6801294,0.5949007,0.45351362,0.5118254,1.0048428,0.8977529,0.1070899
65,1.7617042,1.6124345,"('insecure', 'secure')",1.1529443,0.7325473,0.34920922,0.14975917,1.0879526,0.8315803,0.2563723
52,-1.7023513,-1.6093965,"('irrational', 'rational')",-1.6397605,-1.3817743,-1.0043292,-0.9054305,-1.4488138,-1.2988671,-0.1499467
36,-1.6358204,-1.8341358,"('hostile', 'amicable')",-2.6153746,-2.4167345,-0.9428057,-0.79948956,-1.7313336,-1.6834532,-0.0478804
84,1.57482,1.3318044,"('inferior', 'superior')",0.34473014,0.22337277,1.0209595,0.82397914,0.9801699,0.7930521,0.1871178
5,-1.5573605,-1.547245,"('distant', 'outgoing')",-0.93375874,-0.51579404,-0.6459522,-0.33297992,-1.0456905,-0.798673,-0.2470175
70,1.5370352,1.5083793,"('lethargic', 'energetic')",1.2608196,1.0652212,1.3706383,1.3031996,1.3894978,1.2922667,0.0972311
74,1.526266,1.341857,"('undedicated', 'dedicated')",1.1150343,0.99232185,0.8573469,0.61407864,1.1662157,0.9827525,0.1834632
62,1.5205903,1.5828158,"('incompetent', 'brilliant')",1.7643672,1.670805,0.5729692,0.55859864,1.2859755,1.2707397,0.0152358
43,1.4918611,1.4063387,"('irresponsible', 'responsible')",1.9529803,1.9487133,1.032565,0.8617211,1.4924688,1.405591,0.0868778
67,1.4462789,1.0125614,"('doubtful', 'determined')",0.48441523,0.0932418,0.30648336,-0.080393925,0.7457258,0.3418031,0.4039227
69,-1.412626,-1.6721065,"('lazy', 'industrious')",-0.28861803,-0.19001916,-0.95791394,-0.68872553,-0.886386,-0.8502837,-0.0361023
59,-1.3638192,-1.0656255,"('foolish', 'wise')",-0.325429,-0.10443056,-0.29923108,-0.11570923,-0.6628264,-0.4285884,-0.234238
29,-1.3537891,-1.5016425,"('unfair', 'fair')",-1.2819506,-1.3283278,-1.1417241,-1.0929886,-1.2591546,-1.307653,0.0484984
72,1.3230479,1.2608953,"('unambitious', 'ambitious')",-0.5311412,-0.50913835,-1.059271,-1.0430714,-0.0891214,-0.0971048,0.0079834
46,1.290977,1.3192136,"('uncompetitive', 'competitive')",2.4117544,2.1703596,0.8118199,0.37576756,1.5048504,1.2884469,0.2164035
10,1.2508748,1.3801328,"('unsympathetic', 'sympathetic')",0.8848251,0.74995923,0.08044332,0.02464817,0.7387144,0.7182468,0.0204676
11,1.1783665,1.2009888,"('unhelpful', 'helpful')",1.0360221,1.0164123,2.5619686,2.4734516,1.5921191,1.5636175,0.0285016
85,-1.0985122,-1.1876528,"('insignificant', 'prestigious')",-1.0750927,-0.8208608,-0.20444576,-0.28038135,-0.7926836,-0.762965,-0.0297186
30,1.0678464,1.2687329,"('intolerant', 'tolerant')",2.1670895,1.9670424,1.3606194,1.2627051,1.5318518,1.4994936,0.0323582
35,-1.0257999,-1.3984692,"('corrupt', 'incorrupt')",-2.7392244,-2.6815484,-1.0111151,-1.085003,-1.5920464,-1.7216735,0.1296271
25,-0.95532423,-0.6696724,"('egoistic', 'altruistic')",-1.0209522,-0.62291014,0.7393396,0.9127532,-0.4123123,-0.1266098,-0.2857025
40,-0.9393911,-0.5558014,"('stingy', 'generous')",-0.819366,-0.5207118,-1.6159413,-1.5113797,-1.1248995,-0.862631,-0.2622685
75,-0.92855155,-1.1418952,"('meek', 'impulsive')",-1.5122191,-1.4170815,-0.27551007,-0.3958346,-0.9054269,-0.9849371,0.0795102
71,0.9040048,1.0473492,"('diffident', 'self-confident')",1.8695738,2.0996268,0.24851681,0.4697381,1.0073651,1.2055713,-0.1982062
17,-0.90088093,-0.89911985,"('nasty', 'nice')",-1.0880356,-1.0419291,-1.0678023,-1.029267,-1.0189063,-0.9901053,-0.028801
57,-0.8864804,-0.6584107,"('unimaginative', 'imaginative')",-0.18246326,-0.23328744,-1.6494589,-1.9198024,-0.9061341,-0.9371668,0.0310327
19,-0.81035304,-0.6708403,"('inhospitable', 'hospitable')",-0.7780188,-0.541077,-0.38573775,-0.20949084,-0.6580365,-0.4738027,-0.1842338
1,-0.80647695,-0.33584955,"('unfriendly', 'friendly')",-0.053774524,0.49683726,0.6035679,1.0485655,-0.0855612,0.4031844,-0.4887456
24,0.79815364,0.92623305,"('dishonest', 'honest')",-0.21981831,-0.06086759,0.57364225,0.675025,0.3839925,0.5134635,-0.129471
54,0.79200006,0.6833076,"('incapable', 'capable')",0.8657603,0.9449268,0.87841207,1.0360237,0.8453908,0.888086,-0.0426952
58,0.76993686,0.67079085,"('undiscriminating', 'discriminating')",0.99866134,0.83311766,0.04160013,0.108944096,0.6033994,0.5376175,0.0657819
66,-0.76664805,-1.1285759,"('inactive', 'active')",-0.7591064,-0.87091786,0.5931484,0.5908403,-0.3108687,-0.4695512,0.1586825
7,0.72236484,1.0867705,"('insensitive', 'sensitive')",1.0384811,1.0827612,0.15410079,0.5357096,0.6383156,0.9017471,-0.2634315
63,0.7193843,1.0138892,"('unperceptive', 'insightful')",1.2812676,1.4395411,1.5473514,1.6482664,1.1826677,1.3672322,-0.1845645
77,0.70667696,0.5717471,"('unmotivated', 'motivated')",0.52115256,0.3408797,-0.76806575,-0.9260916,0.1532546,-0.0044882,0.1577428
21,0.6843431,0.7500073,"('immoral', 'moral')",1.2969936,1.094726,-0.35824543,-0.5678327,0.5410304,0.4256335,0.1153969
3,-0.6780855,-0.53614575,"('repellent', 'pleasant')",-0.47972012,-0.57223547,-0.43925917,-0.32068998,-0.532355,-0.4763571,-0.0559979
88,0.66586536,0.36136523,"('low', 'eminent')",0.7898744,0.443278,0.8233005,0.25384212,0.7596801,0.3528285,0.4068516
8,-0.6645338,-0.4001594,"('unaffectionate', 'affectionate')",-1.0003964,-0.56200427,-0.33626354,0.06953712,-0.6670645,-0.2975422,-0.3695223
45,-0.6353104,-0.41006207,"('incompetent', 'competent')",0.8296621,0.75636065,0.018962756,0.090555415,0.0711048,0.145618,-0.0745132
15,0.56592816,0.47162277,"('boring', 'funny')",0.3726437,0.36008212,0.6843411,0.47441646,0.540971,0.4353738,0.1055972
50,-0.55741704,-0.40683302,"('clumsy', 'skillful')",0.12705843,0.14523071,0.35301745,0.289574,-0.0257804,0.0093239,-0.0351043
78,0.5321397,0.6233287,"('nonresilient', 'resilient')",1.1140833,1.2816203,0.58406067,0.48286805,0.7434279,0.795939,-0.0525111
47,-0.5188305,-0.34329793,"('stupid', 'smart')",1.4559646,1.397244,4.4351764,4.9799848,1.7907702,2.0113103,-0.2205401
55,0.51509714,0.5788818,"('incompetent', 'clever')",1.675316,1.3436697,0.40456685,0.23902431,0.8649933,0.7205253,0.144468
