,kraft_male,kraft_female,tuple,heinz_male,heinz_female,co_male,co_female,average_male,average_female,male-female
71,1.917873,1.798969,"('diffident', 'self-confident')",1.9119632,2.1073093,0.34521508,0.32801402,1.3916839,1.4114308,-0.0197469
17,-1.7512983,-1.5015558,"('nasty', 'nice')",-0.3785504,-0.07810513,-0.7811698,-0.62770796,-0.9703395,-0.7357896,-0.2345499
3,-1.6216822,-1.4833053,"('repellent', 'pleasant')",-2.0501678,-2.0109353,0.6270999,0.51796913,-1.0149167,-0.9920905,-0.0228262
53,1.3912828,1.206757,"('uncreative', 'creative')",0.9500482,0.72202605,0.6813155,0.36502928,1.0075488,0.7646041,0.2429447
67,1.3835522,1.3596723,"('doubtful', 'determined')",0.8721304,0.86135554,0.33085522,0.24159019,0.8621792,0.8208727,0.0413065
9,1.3733854,1.2824788,"('unaffectionate', 'caring')",2.0030236,2.100726,0.6537557,0.61067,1.3433882,1.3312915,0.0120967
39,1.3554728,1.5658268,"('exploitative', 'cooperative')",1.4019731,1.4729683,0.4000368,0.6202047,1.0524942,1.2196666,-0.1671724
68,-1.3358375,-1.6112822,"('dependent', 'independent')",-1.7312615,-1.8593225,-1.6481223,-1.8844522,-1.5717405,-1.7850191,0.2132786
33,1.2617265,1.2920415,"('wrong', 'right')",1.6205187,1.6432854,-0.8508532,-0.76402265,0.6771306,0.7237682,-0.0466376
25,1.252444,1.1794336,"('egoistic', 'altruistic')",1.8755354,1.6670494,0.8855791,0.84029835,1.3378528,1.2289271,0.1089257
1,1.2403569,1.0929563,"('unfriendly', 'friendly')",2.0152044,2.0790637,1.1208596,0.9709783,1.458807,1.3809994,0.0778076
56,1.1810687,1.1447996,"('impractical', 'practical')",0.87937033,0.9620112,0.2989903,0.4039727,0.7864765,0.8369278,-0.0504513
57,-1.1385721,-1.0652803,"('unimaginative', 'imaginative')",-1.0423949,-1.1215065,-3.4192097,-3.4853535,-1.8667256,-1.8907134,0.0239878
45,-1.067203,-1.0854003,"('incompetent', 'competent')",-0.7562562,-0.815212,-0.38366354,-0.5062203,-0.7357076,-0.8022776,0.06657
