,ppl_male,ppl_female,tuple,corp_male,corp_female,average_male,average_female,male-female
36,-1.74542,-1.8431356,"('hostile', 'amicable')",-0.2828635,-0.51787424,-1.0141418,-1.1805049,0.1663631
60,1.6186552,1.8551289,"('inefficient', 'efficient')",-0.04514964,0.26635176,0.7867528,1.0607404,-0.2739876
14,1.4986556,1.6577083,"('antisocial', 'social')",0.23360346,0.3268362,0.8661295,0.9922723,-0.1261428
87,1.4364417,1.3185003,"('unsuccessful', 'successful')",1.2493701,1.1129321,1.3429059,1.2157161,0.1271898
79,-1.4005216,-1.6536173,"('wavering', 'unwavering')",-0.72881526,-0.99306476,-1.0646684,-1.323341,0.2586726
62,1.3007859,1.4703624,"('incompetent', 'brilliant')",0.35930327,0.6263571,0.8300446,1.0483598,-0.2183152
31,-1.2750382,-1.5691094,"('evil', 'good')",-0.8687498,-1.2210678,-1.071894,-1.3950887,0.3231947
61,1.193375,1.1631604,"('illogical', 'logical')",0.8494253,0.7786224,1.0214002,0.9708914,0.0505088
80,1.1489981,1.2509246,"('dominated', 'dominating')",-0.5642748,-0.36984313,0.2923617,0.4405407,-0.148179
56,1.1375246,1.2762731,"('impractical', 'practical')",-1.0710031,-0.80205077,0.0332608,0.2371112,-0.2038504
18,-1.1122714,-1.056572,"('disagreeable', 'welcoming')",-0.45480317,-0.503417,-0.7835373,-0.7799945,-0.0035428
6,-1.1039112,-1.383816,"('distant', 'open')",-0.554844,-0.7267436,-0.8293776,-1.0552797,0.2259021
39,1.0579418,1.5021615,"('exploitative', 'cooperative')",0.025405075,0.39222956,0.5416734,0.9471955,-0.4055221
35,-1.0393593,-1.1839685,"('corrupt', 'incorrupt')",-0.7207782,-0.7685329,-0.8800688,-0.9762507,0.0961819
42,1.0047755,0.92665595,"('unreliable', 'reliable')",-3.4392111,-3.6061106,-1.2172178,-1.3397273,0.1225095
88,-0.92862,-1.0293659,"('low', 'eminent')",-0.35556048,-0.4444889,-0.6420902,-0.7369274,0.0948372
16,-0.89707696,-0.98341095,"('unpopular', 'popular')",-0.0818429,-0.36765808,-0.4894599,-0.6755345,0.1860746
45,0.8866775,0.7137808,"('incompetent', 'competent')",0.097206086,0.0072738174,0.4919418,0.3605273,0.1314145
37,0.88538724,0.8063782,"('fake', 'genuine')",0.36245623,0.35626197,0.6239218,0.58132,0.0426018
3,0.879592,0.9784921,"('repellent', 'pleasant')",1.1695677,1.2347355,1.0245799,1.1066138,-0.0820339
8,-0.8634018,-1.0004275,"('unaffectionate', 'affectionate')",0.9223604,0.72578627,0.0294793,-0.1373206,0.1667999
76,0.8271327,1.1409832,"('anxious', 'daring')",-0.5189335,-0.23989111,0.1540996,0.4505461,-0.2964465
52,-0.8135218,-0.94546926,"('irrational', 'rational')",-0.19412518,-0.39276233,-0.5038235,-0.6691158,0.1652923
1,-0.7895087,-1.0282451,"('unfriendly', 'friendly')",1.4294394,1.2538676,0.3199654,0.1128113,0.2071541
2,0.78899866,0.7987086,"('unlikable', 'likable')",0.38790146,0.36165106,0.5884501,0.5801798,0.0082703
