,keycorp_male,keycorp_female,tuple,average_male,average_female,male-female
4,-4.3319163,-4.3709016,"('disliked', 'liked')",-4.3319163,-4.3709016,0.0389853
23,3.5364158,3.6843503,"('insincere', 'sincere')",3.5364158,3.6843503,-0.1479345
64,-3.4043236,-3.5026176,"('shy', 'confident')",-3.4043236,-3.5026176,0.098294
47,2.9000924,2.9147394,"('stupid', 'smart')",2.9000924,2.9147394,-0.014647
82,2.7951312,3.2962253,"('poor', 'rich')",2.7951312,3.2962253,-0.5010941
34,2.5858567,2.6241434,"('mean', 'honorable')",2.5858567,2.6241434,-0.0382867
31,-1.6310126,-2.0347745,"('evil', 'good')",-1.6310126,-2.0347745,0.4037619
11,1.6183163,1.9583968,"('unhelpful', 'helpful')",1.6183163,1.9583968,-0.3400805
73,-1.4370828,-1.3478634,"('helpless', 'self-reliant')",-1.4370828,-1.3478634,-0.0892194
35,-1.377302,-1.6358795,"('corrupt', 'incorrupt')",-1.3773021,-1.6358795,0.2585774
57,-1.265607,-1.1609229,"('unimaginative', 'imaginative')",-1.265607,-1.1609229,-0.1046841
42,-1.2176279,-1.1770732,"('unreliable', 'reliable')",-1.2176279,-1.1770732,-0.0405547
9,1.0712239,0.8002627,"('unaffectionate', 'caring')",1.0712239,0.8002627,0.2709612
2,1.0556082,0.9934931,"('unlikable', 'likable')",1.0556082,0.9934931,0.0621151
17,-1.0262742,-0.9219618,"('nasty', 'nice')",-1.0262742,-0.9219618,-0.1043124
1,1.0026041,0.6052765,"('unfriendly', 'friendly')",1.0026041,0.6052765,0.3973276
7,0.99447536,1.1875169,"('insensitive', 'sensitive')",0.9944754,1.1875169,-0.1930415
40,-0.9159229,-1.3587489,"('stingy', 'generous')",-0.9159229,-1.3587489,0.442826
68,-0.8751514,-1.0002741,"('dependent', 'independent')",-0.8751514,-1.0002741,0.1251227
62,0.86648005,1.3920354,"('incompetent', 'brilliant')",0.8664801,1.3920354,-0.5255553
19,-0.8599899,-0.9954032,"('inhospitable', 'hospitable')",-0.8599899,-0.9954032,0.1354133
60,0.8509824,1.0748411,"('inefficient', 'efficient')",0.8509824,1.0748411,-0.2238587
36,-0.84009874,-1.3043525,"('hostile', 'amicable')",-0.8400987,-1.3043525,0.4642538
27,0.82458836,0.50740707,"('hardhearted', 'softhearted')",0.8245884,0.5074071,0.3171813
79,-0.72893894,-0.9071228,"('wavering', 'unwavering')",-0.7289389,-0.9071228,0.1781839
70,0.6963005,0.8937228,"('lethargic', 'energetic')",0.6963005,0.8937228,-0.1974223
71,0.6776891,0.60765356,"('diffident', 'self-confident')",0.6776891,0.6076536,0.0700355
55,0.6410141,0.86533344,"('incompetent', 'clever')",0.6410141,0.8653334,-0.2243193
69,-0.6337179,-0.9688422,"('lazy', 'industrious')",-0.6337179,-0.9688422,0.3351243
33,0.60700417,-0.06252232,"('wrong', 'right')",0.6070042,-0.0625223,0.6695265
84,0.6019496,0.41352075,"('inferior', 'superior')",0.6019496,0.4135208,0.1884288
26,0.5953259,0.26259947,"('hardhearted', 'benevolent')",0.5953259,0.2625995,0.3327264
24,0.58173764,0.37146798,"('dishonest', 'honest')",0.5817376,0.371468,0.2102696
28,0.55395913,0.595028,"('disloyal', 'loyal')",0.5539591,0.595028,-0.0410689
85,-0.5444047,-1.1344373,"('insignificant', 'prestigious')",-0.5444047,-1.1344373,0.5900326
54,0.5331278,0.5281163,"('incapable', 'capable')",0.5331278,0.5281163,0.0050115
51,-0.5316738,-0.5401325,"('uneducated', 'educated')",-0.5316738,-0.5401325,0.0084587
25,0.520602,0.2019648,"('egoistic', 'altruistic')",0.520602,0.2019648,0.3186372
49,-0.5198355,-0.19645636,"('unable', 'able')",-0.5198355,-0.1964564,-0.3233791
43,0.507456,0.6078962,"('irresponsible', 'responsible')",0.507456,0.6078962,-0.1004402
65,0.4889987,0.7155882,"('insecure', 'secure')",0.4889987,0.7155882,-0.2265895
58,0.48514187,0.06931144,"('undiscriminating', 'discriminating')",0.4851419,0.0693114,0.4158305
8,0.4726484,0.17817785,"('unaffectionate', 'affectionate')",0.4726484,0.1781778,0.2944706
3,0.4619019,0.6495289,"('repellent', 'pleasant')",0.4619019,0.6495289,-0.187627
52,-0.4610125,-1.0532413,"('irrational', 'rational')",-0.4610125,-1.0532413,0.5922288
32,0.45865804,0.57511145,"('unkind', 'kind')",0.458658,0.5751114,-0.1164534
76,0.44631347,0.7249535,"('anxious', 'daring')",0.4463135,0.7249535,-0.27864
6,-0.44325954,-0.8201491,"('distant', 'open')",-0.4432595,-0.8201491,0.3768896
44,-0.43015984,-0.3538841,"('prejudiced', 'unprejudiced')",-0.4301598,-0.3538841,-0.0762757
12,-0.3924932,-0.56445706,"('unsupportive', 'supportive')",-0.3924932,-0.5644571,0.1719639
75,-0.38204995,-0.14244957,"('meek', 'impulsive')",-0.3820499,-0.1424496,-0.2396003
87,0.37073734,0.36486736,"('unsuccessful', 'successful')",0.3707373,0.3648674,0.0058699
39,0.36080143,0.28845236,"('exploitative', 'cooperative')",0.3608014,0.2884524,0.072349
13,-0.34891355,-0.14828615,"('impolite', 'polite')",-0.3489136,-0.1482861,-0.2006275
15,0.3378444,0.24359587,"('boring', 'funny')",0.3378444,0.2435959,0.0942485
5,-0.3375352,-0.5684824,"('distant', 'outgoing')",-0.3375352,-0.5684824,0.2309472
30,0.29197913,0.40553573,"('intolerant', 'tolerant')",0.2919791,0.4055357,-0.1135566
14,0.2901777,0.53794616,"('antisocial', 'social')",0.2901777,0.5379462,-0.2477685
0,-0.2870951,-0.29499188,"('unsociable', 'sociable')",-0.2870951,-0.2949919,0.0078968
50,0.26464394,0.19948365,"('clumsy', 'skillful')",0.2646439,0.1994836,0.0651603
59,0.25977162,0.055549834,"('foolish', 'wise')",0.2597716,0.0555498,0.2042218
22,-0.2530189,-0.29035625,"('untrustworthy', 'trustworthy')",-0.2530189,-0.2903562,0.0373373
29,-0.24867944,-0.5351833,"('unfair', 'fair')",-0.2486794,-0.5351833,0.2865039
45,-0.22679698,-0.0077729914,"('incompetent', 'competent')",-0.226797,-0.007773,-0.219024
16,-0.20165122,-0.33158457,"('unpopular', 'popular')",-0.2016512,-0.3315846,0.1299334
61,0.16487275,-0.078732885,"('illogical', 'logical')",0.1648728,-0.0787329,0.2436057
21,-0.16128439,0.08533026,"('immoral', 'moral')",-0.1612844,0.0853303,-0.2466147
48,0.16005912,0.032091133,"('unintelligent', 'intelligent')",0.1600591,0.0320911,0.127968
53,0.15840325,0.10556858,"('uncreative', 'creative')",0.1584032,0.1055686,0.0528346
88,-0.14152965,-0.22945574,"('low', 'eminent')",-0.1415296,-0.2294557,0.0879261
83,0.13462287,0.16630523,"('powerless', 'powerful')",0.1346229,0.1663052,-0.0316823
41,0.13277394,-0.05880506,"('unforgiving', 'forgiving')",0.1327739,-0.0588051,0.191579
37,-0.12846684,-0.08485225,"('fake', 'genuine')",-0.1284668,-0.0848522,-0.0436146
10,-0.1110602,0.0030535199,"('unsympathetic', 'sympathetic')",-0.1110602,0.0030535,-0.1141137
38,-0.08867863,-0.13606323,"('untruthful', 'truthful')",-0.0886786,-0.1360632,0.0473846
56,-0.07782078,0.42609683,"('impractical', 'practical')",-0.0778208,0.4260968,-0.5039176
78,0.076951146,0.0715671,"('nonresilient', 'resilient')",0.0769511,0.0715671,0.005384
20,0.07089575,-0.015991379,"('rough', 'thoughtful')",0.0708957,-0.0159914,0.0868871
63,0.06627731,0.104681216,"('unperceptive', 'insightful')",0.0662773,0.1046812,-0.0384039
72,0.054041952,0.07546913,"('unambitious', 'ambitious')",0.054042,0.0754691,-0.0214271
86,-0.04816343,-0.32116646,"('uninfluential', 'influential')",-0.0481634,-0.3211665,0.2730031
81,0.046636652,0.4385139,"('submissive', 'aggressive')",0.0466367,0.4385139,-0.3918772
77,0.044465095,-0.08241104,"('unmotivated', 'motivated')",0.0444651,-0.082411,0.1268761
80,-0.041369215,0.060082946,"('dominated', 'dominating')",-0.0413692,0.0600829,-0.1014521
46,-0.04063496,0.30579394,"('uncompetitive', 'competitive')",-0.040635,0.3057939,-0.3464289
66,-0.029083297,-0.32816023,"('inactive', 'active')",-0.0290833,-0.3281602,0.2990769
74,-0.008447163,-0.12703311,"('undedicated', 'dedicated')",-0.0084472,-0.1270331,0.1185859
67,0.00439946,-0.04608091,"('doubtful', 'determined')",0.0043995,-0.0460809,0.0504804
18,-0.00013488159,-0.2339556,"('disagreeable', 'welcoming')",-0.0001349,-0.2339556,0.2338207
