,danaher_male,danaher_female,tuple,corp_male,corp_female,average_male,average_female,male-female
36,-2.877937,-2.9641376,"('hostile', 'amicable')",-0.2835678,-0.40243426,-1.5807524,-1.683286,0.1025336
60,2.7819242,2.8045976,"('inefficient', 'efficient')",0.11614214,0.19935806,1.4490331,1.5019778,-0.0529447
6,-2.6146934,-2.5702765,"('distant', 'open')",-0.68283415,-0.68475854,-1.6487638,-1.6275175,-0.0212463
31,-2.5175123,-2.5247836,"('evil', 'good')",-0.8691991,-0.92404294,-1.6933557,-1.7244133,0.0310576
81,2.2275054,2.3787966,"('submissive', 'aggressive')",-0.5192676,-0.46577358,0.8541189,0.9565115,-0.1023926
5,-2.2057507,-2.1040077,"('distant', 'outgoing')",-0.7535154,-0.6987344,-1.4796331,-1.401371,-0.0782621
85,-2.085658,-2.2271287,"('insignificant', 'prestigious')",-0.03378257,-0.13554071,-1.0597203,-1.1813347,0.1216144
8,-2.070564,-2.1581552,"('unaffectionate', 'affectionate')",0.5265335,0.57513154,-0.7720153,-0.7915118,0.0194965
79,-2.0612223,-2.0286856,"('wavering', 'unwavering')",-0.51635605,-0.39017117,-1.2887892,-1.2094283,-0.0793609
62,1.8628546,2.1927085,"('incompetent', 'brilliant')",0.33516085,0.5842054,1.0990077,1.3884569,-0.2894492
46,1.8453517,1.990206,"('uncompetitive', 'competitive')",-0.7089427,-0.6588205,0.5682045,0.6656927,-0.0974882
21,1.8255683,1.8971063,"('immoral', 'moral')",-0.29054502,-0.3123028,0.7675117,0.7924017,-0.02489
39,1.8077815,1.751323,"('exploitative', 'cooperative')",0.37075382,0.3685856,1.0892676,1.0599543,0.0293133
35,-1.8010325,-1.7732342,"('corrupt', 'incorrupt')",-0.4072206,-0.44286838,-1.1041266,-1.1080513,0.0039247
19,-1.7738649,-1.5995095,"('inhospitable', 'hospitable')",-0.6442348,-0.4794272,-1.2090498,-1.0394683,-0.1695815
56,1.7082186,2.0037389,"('impractical', 'practical')",-0.5984489,-0.38173783,0.5548849,0.8110005,-0.2561156
76,1.695544,1.7694839,"('anxious', 'daring')",-0.23183164,-0.20143358,0.7318562,0.7840252,-0.052169
55,1.6861945,1.8271854,"('incompetent', 'clever')",0.31182715,0.36876035,0.9990109,1.0979729,-0.098962
1,-1.6769493,-1.7181977,"('unfriendly', 'friendly')",1.1842747,1.1378222,-0.2463373,-0.2901878,0.0438505
52,-1.5867435,-1.7734004,"('irrational', 'rational')",0.09827738,-0.021955565,-0.7442331,-0.897678,0.1534449
9,-1.5504608,-1.6568784,"('unaffectionate', 'caring')",0.9588277,0.9786,-0.2958166,-0.3391392,0.0433226
80,1.495225,1.7196393,"('dominated', 'dominating')",-0.8064127,-0.7094877,0.3444061,0.5050758,-0.1606697
66,-1.4217618,-1.2601113,"('inactive', 'active')",0.30908385,0.22790004,-0.556339,-0.5161057,-0.0402333
75,-1.3765508,-1.1290916,"('meek', 'impulsive')",-0.97862464,-0.80968386,-1.1775877,-0.9693878,-0.2081999
14,1.2910266,1.5281618,"('antisocial', 'social')",-0.13170801,-0.09789862,0.5796593,0.7151316,-0.1354723
16,-1.2596495,-1.4086932,"('unpopular', 'popular')",0.0778961,0.032237932,-0.5908767,-0.6882277,0.097351
67,1.2427557,1.3226388,"('doubtful', 'determined')",-0.56993145,-0.43922445,0.3364121,0.4417071,-0.105295
70,1.2289444,1.2209797,"('lethargic', 'energetic')",0.12787318,0.14598888,0.6784088,0.6834843,-0.0050755
65,1.1813169,1.1842765,"('insecure', 'secure')",-0.26222205,-0.19308813,0.4595474,0.4955942,-0.0360468
4,-1.1650715,-1.0651686,"('disliked', 'liked')",-6.7197847,-7.0518003,-3.9424281,-4.0584846,0.1160565
53,-1.0515046,-1.0832607,"('uncreative', 'creative')",0.18510032,0.17206785,-0.4332021,-0.4555964,0.0223943
54,-1.0439787,-1.1722255,"('incapable', 'capable')",0.52638495,0.61494833,-0.2587969,-0.2786386,0.0198417
82,-1.0383486,-0.97685623,"('poor', 'rich')",5.455044,5.8077025,2.2083476,2.4154232,-0.2070756
63,1.017828,0.9866753,"('unperceptive', 'insightful')",0.7601693,0.8311113,0.8889986,0.9088933,-0.0198947
37,1.0159781,0.93659645,"('fake', 'genuine')",0.049095705,0.085864134,0.5325369,0.5112303,0.0213066
11,0.99884856,0.98905295,"('unhelpful', 'helpful')",1.500668,1.686717,1.2497582,1.337885,-0.0881268
13,0.99385834,1.1818798,"('impolite', 'polite')",-0.8387208,-0.68724465,0.0775688,0.2473176,-0.1697488
22,0.9876124,1.1788518,"('untrustworthy', 'trustworthy')",-1.113151,-0.8759353,-0.0627693,0.1514583,-0.2142276
72,-0.94403803,-0.96899384,"('unambitious', 'ambitious')",-0.9858562,-0.6790644,-0.9649471,-0.8240291,-0.140918
42,0.932291,0.8345381,"('unreliable', 'reliable')",-3.0069578,-3.211669,-1.0373334,-1.1885655,0.1512321
43,0.9151807,0.86738354,"('irresponsible', 'responsible')",0.41409212,0.51595396,0.6646364,0.6916687,-0.0270323
18,-0.8910976,-0.9178115,"('disagreeable', 'welcoming')",-0.5767218,-0.64280283,-0.7339097,-0.7803072,0.0463975
17,-0.866739,-0.6999037,"('nasty', 'nice')",-0.867515,-0.6764373,-0.867127,-0.6881706,-0.1789564
64,0.84615934,0.754217,"('shy', 'confident')",-6.054714,-6.4508376,-2.6042774,-2.8483102,0.2440328
26,-0.837274,-0.72061515,"('hardhearted', 'benevolent')",1.6865335,1.5228537,0.4246297,0.4011193,0.0235104
30,0.8285181,0.77941805,"('intolerant', 'tolerant')",0.7549442,0.7733584,0.7917311,0.7763882,0.0153429
0,0.7841398,0.85495895,"('unsociable', 'sociable')",-0.16595954,-0.14528672,0.3090901,0.3548361,-0.045746
45,0.7717534,1.0517994,"('incompetent', 'competent')",-0.02897078,0.12878633,0.3713913,0.5902929,-0.2189016
10,0.7626395,0.91771865,"('unsympathetic', 'sympathetic')",-0.3954785,-0.28362155,0.1835805,0.3170485,-0.133468
84,0.7447617,0.7891041,"('inferior', 'superior')",1.2346224,1.2974595,0.989692,1.0432818,-0.0535898
7,0.7267713,0.515135,"('insensitive', 'sensitive')",0.32977095,0.3506406,0.5282711,0.4328878,0.0953833
74,0.71477544,0.7729254,"('undedicated', 'dedicated')",-0.2518633,-0.26302546,0.2314561,0.25495,-0.0234939
40,-0.6966371,-0.6036733,"('stingy', 'generous')",-1.8595053,-1.956133,-1.2780712,-1.2799032,0.001832
23,0.63333803,0.410393,"('insincere', 'sincere')",5.246315,5.6034546,2.9398265,3.0069237,-0.0670972
88,-0.6168186,-0.700436,"('low', 'eminent')",-0.44767314,-0.51412493,-0.5322459,-0.6072805,0.0750346
