,weatherford_male,weatherford_female,tuple,international_male,international_female,plc_male,plc_female,average_male,average_female,male-female
1,-1.8333338,-2.2723956,"('unfriendly', 'friendly')",0.3349105,-0.103387825,2.2696743,1.7228832,0.2570837,-0.2176334,0.4747171
53,-1.6078427,-1.6036137,"('uncreative', 'creative')",-0.7025145,-0.7630179,1.0016978,0.87515897,-0.4362198,-0.4971575,0.0609377
77,-1.4225117,-1.251683,"('unmotivated', 'motivated')",-0.4427175,-0.35419333,-1.1292877,-1.0051252,-0.9981723,-0.8703338,-0.1278385
18,-1.3834023,-1.3317,"('disagreeable', 'welcoming')",0.5434049,0.5632629,-0.91046256,-0.9698999,-0.5834867,-0.5794457,-0.004041
8,-1.3596959,-1.7419612,"('unaffectionate', 'affectionate')",-0.4649351,-0.6793559,1.0376115,0.68328,-0.2623398,-0.5793457,0.3170059
6,-1.2927117,-1.4567426,"('distant', 'open')",-0.076891616,-0.08335791,0.74466616,0.38102436,-0.2083124,-0.3863587,0.1780463
41,-1.277473,-1.1458158,"('unforgiving', 'forgiving')",-0.05657393,-0.054348975,0.55674374,0.31005895,-0.2591011,-0.2967019,0.0376008
9,-1.24969,-1.4784503,"('unaffectionate', 'caring')",0.0060016885,-0.06782937,1.3055917,1.0406623,0.0206345,-0.1685391,0.1891736
36,-1.2434068,-1.7377496,"('hostile', 'amicable')",0.5274204,0.12430795,1.895335,1.3039896,0.3931162,-0.1031506,0.4962668
40,-1.0192151,-0.88946146,"('stingy', 'generous')",0.07179572,0.07414529,-0.9863218,-0.85638416,-0.6445804,-0.5572335,-0.0873469
86,-0.9954901,-0.8844802,"('uninfluential', 'influential')",-0.33297545,-0.29111058,-0.12603793,-0.055821028,-0.4848345,-0.4104706,-0.0743639
88,-0.9853338,-1.170545,"('low', 'eminent')",-0.44407672,-0.6338907,0.17722602,0.101954594,-0.4173948,-0.5674937,0.1500989
34,-0.98313075,-0.78543556,"('mean', 'honorable')",-0.082267925,0.22177953,2.8975718,2.638466,0.6107244,0.6916033,-0.0808789
25,-0.964661,-1.3262823,"('egoistic', 'altruistic')",0.44037625,0.27097133,1.9581656,1.6181577,0.4779603,0.1876156,0.2903447
10,-0.9536189,-0.6396778,"('unsympathetic', 'sympathetic')",-1.3663895,-1.2069235,-1.0866799,-1.0751947,-1.1355627,-0.9739319,-0.1616308
19,-0.94872326,-1.0355307,"('inhospitable', 'hospitable')",-0.8897599,-1.0313225,-0.21402562,-0.38987914,-0.6841696,-0.8189108,0.1347412
32,-0.94710064,-0.8411334,"('unkind', 'kind')",-0.75406843,-0.6393746,-0.12061387,-0.08356993,-0.6072609,-0.5213593,-0.0859016
48,-0.9034087,-0.8063802,"('unintelligent', 'intelligent')",-0.807863,-0.8734935,-0.7252804,-0.70778644,-0.812184,-0.7958867,-0.0162973
