,nike_male,nike_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,2.439615,2.1676042,"('unfriendly', 'friendly')",1.4429835,1.5608149,1.9412992,1.8642095,0.0770897
26,2.11289,1.9949583,"('hardhearted', 'benevolent')",1.4360161,1.4338089,1.774453,1.7143836,0.0600694
85,2.0186174,1.5398568,"('insignificant', 'prestigious')",0.24998114,0.31632552,1.1342993,0.9280912,0.2062081
71,1.9983711,1.8715118,"('diffident', 'self-confident')",0.5481149,0.57892054,1.273243,1.2252162,0.0480268
53,1.9445038,1.6269029,"('uncreative', 'creative')",0.7246154,0.8640856,1.3345596,1.2454942,0.0890654
9,1.8139249,1.6741662,"('unaffectionate', 'caring')",0.729164,0.93187916,1.2715445,1.3030226,-0.0314781
12,1.7193513,1.6519986,"('unsupportive', 'supportive')",-1.4491935,-1.5375885,0.1350789,0.0572051,0.0778738
33,1.5635332,1.530048,"('wrong', 'right')",-0.73884773,-0.67942154,0.4123427,0.4253132,-0.0129705
64,-1.5422581,-1.423136,"('shy', 'confident')",-6.2316084,-6.4330096,-3.8869333,-3.9280729,0.0411396
44,-1.4980645,-1.4357737,"('prejudiced', 'unprejudiced')",-1.2327046,-1.1707865,-1.3653846,-1.3032801,-0.0621045
29,-1.495326,-0.9740142,"('unfair', 'fair')",-0.69429094,-0.45055315,-1.0948085,-0.7122837,-0.3825248
23,1.4882958,1.211614,"('insincere', 'sincere')",5.933163,5.988742,3.7107296,3.600178,0.1105516
39,1.4687022,1.2502146,"('exploitative', 'cooperative')",0.25129315,0.058753386,0.8599977,0.654484,0.2055137
54,1.417992,1.2592646,"('incapable', 'capable')",1.2283773,1.3611915,1.3231847,1.3102281,0.0129566
57,-1.360924,-1.3320761,"('unimaginative', 'imaginative')",-2.625066,-2.9175286,-1.992995,-2.1248024,0.1318074
45,-1.3408366,-1.0992942,"('incompetent', 'competent')",-0.19578682,-0.37215877,-0.7683117,-0.7357265,-0.0325852
56,1.331418,1.2636395,"('impractical', 'practical')",0.07577983,-0.17306331,0.7035989,0.5452881,0.1583108
32,1.2573388,0.78736705,"('unkind', 'kind')",1.1447536,1.0539953,1.2010462,0.9206811,0.2803651
4,-1.1942242,-1.1812805,"('disliked', 'liked')",-6.6039667,-6.8519783,-3.8990955,-4.0166292,0.1175337
14,-1.163114,-0.85171384,"('antisocial', 'social')",-0.80634415,-1.0093021,-0.9847291,-0.930508,-0.0542211
74,1.1303494,1.1183876,"('undedicated', 'dedicated')",0.28519166,0.11716424,0.7077705,0.6177759,0.0899946
17,-1.0816638,-1.0728624,"('nasty', 'nice')",-0.77846014,-0.7558073,-0.930062,-0.9143348,-0.0157272
81,-1.0136318,-0.9457785,"('submissive', 'aggressive')",-0.6082151,-0.93488896,-0.8109235,-0.9403337,0.1294102
8,1.0039499,0.5557828,"('unaffectionate', 'affectionate')",0.26987648,0.50932664,0.6369132,0.5325547,0.1043585
22,-0.959686,-0.7620868,"('untrustworthy', 'trustworthy')",-1.1211096,-0.9408371,-1.0403978,-0.8514619,-0.1889359
73,0.94958204,0.9599196,"('helpless', 'self-reliant')",-3.0172968,-3.0777342,-1.0338573,-1.0589073,0.02505
84,0.93726826,1.0083418,"('inferior', 'superior')",0.8584262,0.8664068,0.8978472,0.9373743,-0.0395271
72,0.93221086,0.9785575,"('unambitious', 'ambitious')",-0.6813764,-0.5091765,0.1254172,0.2346905,-0.1092733
51,-0.92288804,-0.87522835,"('uneducated', 'educated')",0.64539254,0.45816228,-0.1387478,-0.208533,0.0697852
24,0.9099976,0.9333358,"('dishonest', 'honest')",0.9421363,1.0921752,0.9260669,1.0127555,-0.0866886
35,-0.85912246,-0.5412121,"('corrupt', 'incorrupt')",-0.8864289,-0.4164569,-0.8727757,-0.4788345,-0.3939412
68,-0.8559977,-0.8255027,"('dependent', 'independent')",-0.51926404,-0.5823467,-0.6876309,-0.7039247,0.0162938
75,-0.8413888,-0.7769636,"('meek', 'impulsive')",-0.48348963,-0.21130694,-0.6624392,-0.4941353,-0.1683039
66,-0.7993901,-0.56359154,"('inactive', 'active')",0.52290016,0.6769749,-0.138245,0.0566917,-0.1949367
3,-0.729453,-0.59439313,"('repellent', 'pleasant')",0.35559908,0.32972774,-0.186927,-0.1323327,-0.0545943
80,-0.72131,-0.70566136,"('dominated', 'dominating')",-0.82461107,-1.1621332,-0.7729605,-0.9338973,0.1609368
34,0.6830468,0.47237504,"('mean', 'honorable')",6.0743656,6.0726733,3.3787062,3.2725241,0.1061821
43,0.6662083,0.6535313,"('irresponsible', 'responsible')",0.83316827,0.727834,0.7496883,0.6906826,0.0590057
61,0.6588817,0.6848054,"('illogical', 'logical')",0.29606745,0.1099057,0.4774746,0.3973556,0.080119
25,0.6309836,0.3715971,"('egoistic', 'altruistic')",1.1544172,1.3126705,0.8927004,0.8421338,0.0505666
55,-0.6256926,-0.52797973,"('incompetent', 'clever')",0.38540542,0.12400743,-0.1201436,-0.2019861,0.0818425
38,0.62162066,0.5026209,"('untruthful', 'truthful')",0.12948054,0.12148466,0.3755506,0.3120528,0.0634978
86,0.6208284,0.44356635,"('uninfluential', 'influential')",-0.0007317364,-0.24085522,0.3100483,0.1013556,0.2086927
40,-0.59463805,-0.30234292,"('stingy', 'generous')",-2.0652018,-1.869365,-1.3299199,-1.0858539,-0.244066
13,-0.57993335,-0.86234003,"('impolite', 'polite')",-0.33623528,-0.5716508,-0.4580843,-0.7169954,0.2589111
59,0.5797932,0.53977394,"('foolish', 'wise')",0.12860742,0.38754377,0.3542003,0.4636589,-0.1094586
47,0.57966286,0.56188303,"('stupid', 'smart')",5.0653825,5.4982038,2.8225226,3.0300434,-0.2075208
15,-0.55845904,-0.5226005,"('boring', 'funny')",-0.27023724,-0.1699571,-0.4143481,-0.3462788,-0.0680693
87,0.49135697,0.544614,"('unsuccessful', 'successful')",0.9826281,0.77340573,0.7369925,0.6590099,0.0779826
36,-0.4604328,-0.593481,"('hostile', 'amicable')",-0.4874197,-0.19520997,-0.4739262,-0.3943455,-0.0795807
46,-0.45888764,-0.6879726,"('uncompetitive', 'competitive')",-0.08724947,-0.58817995,-0.2730685,-0.6380763,0.3650078
5,0.4441637,0.74400765,"('distant', 'outgoing')",-0.9593489,-0.4473571,-0.2575926,0.1483253,-0.4059179
16,-0.4206763,-0.4073144,"('unpopular', 'popular')",0.5508214,0.57797945,0.0650726,0.0853325,-0.0202599
67,0.40153056,0.58213896,"('doubtful', 'determined')",-0.3452906,-0.31215817,0.02812,0.1349904,-0.1068704
65,-0.39638776,-0.56916904,"('insecure', 'secure')",-0.09772679,-0.0939641,-0.2470573,-0.3315666,0.0845093
82,0.3923291,0.3613364,"('poor', 'rich')",6.153008,6.4628024,3.2726686,3.4120693,-0.1394007
60,0.37848294,0.36301106,"('inefficient', 'efficient')",0.8211807,0.5761383,0.5998318,0.4695747,0.1302571
21,0.37483084,0.18328461,"('immoral', 'moral')",-0.19890046,-0.68528223,0.0879652,-0.2509988,0.338964
42,-0.3547017,-0.3161356,"('unreliable', 'reliable')",-2.7632914,-2.760228,-1.5589966,-1.5381818,-0.0208148
30,0.34390235,0.43480805,"('intolerant', 'tolerant')",0.9189682,0.85174274,0.6314353,0.6432754,-0.0118401
7,0.31419513,0.31029075,"('insensitive', 'sensitive')",0.8404414,0.6708435,0.5773183,0.4905671,0.0867512
88,0.30570418,-0.14600578,"('low', 'eminent')",0.290819,0.18886477,0.2982616,0.0214295,0.2768321
63,0.29644483,0.21657678,"('unperceptive', 'insightful')",1.0986543,0.89672816,0.6975496,0.5566525,0.1408971
