,amerisourcebergen_male,amerisourcebergen_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-2.275067,-2.2271113,"('unfriendly', 'friendly')",1.4473053,0.98969865,-0.4138809,-0.6187063,0.2048254
8,-2.2326915,-2.2125149,"('unaffectionate', 'affectionate')",0.5145119,0.049330592,-0.8590899,-1.0815921,0.2225022
86,-2.2266028,-2.111569,"('uninfluential', 'influential')",-0.7404072,-0.9150718,-1.483505,-1.5133203,0.0298153
9,-2.0957737,-1.9109883,"('unaffectionate', 'caring')",1.1746581,0.89848405,-0.4605578,-0.5062522,0.0456944
10,-1.8619237,-1.5039062,"('unsympathetic', 'sympathetic')",-0.45888102,-0.37860942,-1.1604023,-0.9412578,-0.2191445
53,-1.6239898,-1.4463619,"('uncreative', 'creative')",0.5102917,0.38786048,-0.5568491,-0.5292507,-0.0275984
12,-1.6222761,-1.2678018,"('unsupportive', 'supportive')",-1.9312271,-1.8983327,-1.7767515,-1.5830672,-0.1936843
69,1.5437148,1.4675335,"('lazy', 'industrious')",0.046038277,-0.10579185,0.7948765,0.6808708,0.1140057
44,1.4681959,1.3486196,"('prejudiced', 'unprejudiced')",-1.1898938,-1.0559385,0.139151,0.1463405,-0.0071895
19,-1.4651719,-1.0834107,"('inhospitable', 'hospitable')",-0.7145758,-0.668509,-1.0898739,-0.8759599,-0.213914
0,-1.4622099,-1.4699485,"('unsociable', 'sociable')",-0.16758074,-0.32400364,-0.8148953,-0.8969761,0.0820808
28,-1.4166743,-1.3676951,"('disloyal', 'loyal')",0.63299865,0.5615472,-0.3918378,-0.4030739,0.0112361
58,-1.2638395,-1.0207688,"('undiscriminating', 'discriminating')",0.040783357,-0.039135724,-0.611528,-0.5299522,-0.0815758
38,-1.2386132,-0.8812592,"('untruthful', 'truthful')",-0.10200931,0.166747,-0.6703113,-0.3572561,-0.3130552
57,-1.1700125,-1.0158062,"('unimaginative', 'imaginative')",-2.8368952,-3.0668643,-2.0034537,-2.0413351,0.0378814
41,-1.1581612,-0.99228084,"('unforgiving', 'forgiving')",-0.13370448,-0.20311825,-0.6459328,-0.5976995,-0.0482333
72,-1.0567673,-0.9728495,"('unambitious', 'ambitious')",-0.966578,-0.73834276,-1.0116727,-0.8555961,-0.1560766
23,-1.0564666,-0.9696576,"('insincere', 'sincere')",5.2901325,5.3887324,2.116833,2.2095375,-0.0927045
11,-1.0164375,-0.6438933,"('unhelpful', 'helpful')",1.7687825,1.9518936,0.3761725,0.6540002,-0.2778277
63,-1.0162895,-0.64294314,"('unperceptive', 'insightful')",0.4446663,0.5615004,-0.2858116,-0.0407214,-0.2450902
46,-0.999217,-0.8511948,"('uncompetitive', 'competitive')",-1.0076998,-0.77743834,-1.0034584,-0.8143166,-0.1891418
24,-0.9836637,-0.885895,"('dishonest', 'honest')",0.51400757,0.70034575,-0.2348281,-0.0927746,-0.1420535
31,-0.9592224,-0.9861021,"('evil', 'good')",-0.90616584,-1.1801713,-0.9326941,-1.0831367,0.1504426
36,-0.9576736,-1.0369767,"('hostile', 'amicable')",-0.55201745,-0.71903723,-0.7548455,-0.8780069,0.1231614
43,-0.9085011,-0.63782614,"('irresponsible', 'responsible')",0.439546,0.54253054,-0.2344775,-0.0476478,-0.1868297
45,-0.8999828,-0.70585024,"('incompetent', 'competent')",-0.011421233,-0.10369666,-0.455702,-0.4047734,-0.0509286
74,-0.8942349,-0.6057899,"('undedicated', 'dedicated')",-0.61712116,-0.49614447,-0.7556781,-0.5509672,-0.2047109
6,-0.8746096,-0.5305457,"('distant', 'open')",-0.40991166,-0.5962133,-0.6422606,-0.5633795,-0.0788811
73,0.82768697,0.8682745,"('helpless', 'self-reliant')",-3.1247704,-3.1831737,-1.1485417,-1.1574496,0.0089079
26,-0.7711915,-0.850282,"('hardhearted', 'benevolent')",1.4094785,1.1656927,0.3191435,0.1577053,0.1614382
35,0.76804006,0.78799546,"('corrupt', 'incorrupt')",-0.64169383,-0.73775834,0.0631731,0.0251186,0.0380545
5,-0.7645769,-0.40134177,"('distant', 'outgoing')",-0.4010278,-0.44185996,-0.5828024,-0.4216009,-0.1612015
42,0.75374204,0.9596444,"('unreliable', 'reliable')",-3.0292406,-3.0402362,-1.1377493,-1.040296,-0.0974533
32,-0.7420872,-0.6534039,"('unkind', 'kind')",0.6100229,0.7336801,-0.0660321,0.0401381,-0.1061702
2,0.74089783,0.99157095,"('unlikable', 'likable')",0.6654776,0.87818676,0.7031877,0.9348788,-0.2316911
80,0.7377974,0.79747117,"('dominated', 'dominating')",-0.881491,-0.657772,-0.0718468,0.0698496,-0.1416964
78,-0.7286647,-0.4497991,"('nonresilient', 'resilient')",0.26892343,0.17994308,-0.2298706,-0.134928,-0.0949426
64,0.71789014,0.4664773,"('shy', 'confident')",-5.8299994,-5.7766213,-2.5560546,-2.655072,0.0990174
88,-0.71413183,-0.7839646,"('low', 'eminent')",-0.5268566,-0.4598144,-0.6204942,-0.6218895,0.0013953
85,-0.67790186,-0.6654783,"('insignificant', 'prestigious')",0.0009914432,-0.44863847,-0.3384552,-0.5570584,0.2186032
27,-0.6579279,-0.4548934,"('hardhearted', 'softhearted')",1.1191409,0.8112393,0.2306065,0.1781729,0.0524336
79,-0.6275699,-0.39869925,"('wavering', 'unwavering')",-0.6104097,-0.57692456,-0.6189898,-0.4878119,-0.1311779
76,0.6167977,0.80676544,"('anxious', 'daring')",-0.2755429,0.043485437,0.1706274,0.4251254,-0.254498
