,emc_male,emc_female,tuple,corp_male,corp_female,ma_male,ma_female,average_male,average_female,male-female
1,-1.9410672,-1.8432935,"('unfriendly', 'friendly')",-1.3075615,-0.4826958,1.8160247,2.0641704,-0.4775347,-0.087273,-0.3902617
8,-1.713813,-1.7760091,"('unaffectionate', 'affectionate')",-0.98991853,-0.7504835,1.1085049,1.2855408,-0.5317422,-0.4136506,-0.1180916
6,-1.5710988,-1.5147961,"('distant', 'open')",-2.413767,-2.0390737,-0.0035890602,0.1549926,-1.329485,-1.132959,-0.196526
31,-1.5582511,-1.5201838,"('evil', 'good')",-0.97209036,-0.8326915,-1.2180424,-1.1473068,-1.2494613,-1.1667274,-0.0827339
60,1.4161408,1.3159882,"('inefficient', 'efficient')",0.58803034,0.5499104,0.3119598,0.35625297,0.7720436,0.7407172,0.0313264
39,1.3969588,1.4005169,"('exploitative', 'cooperative')",0.96512216,1.155511,-0.07433064,-0.047295652,0.7625835,0.8362441,-0.0736606
62,1.3451612,1.3343961,"('incompetent', 'brilliant')",1.4394262,1.5444393,0.8401823,0.93991697,1.2082566,1.2729174,-0.0646608
56,1.3214624,1.1951863,"('impractical', 'practical')",0.7764696,0.73435104,0.3178181,0.12725231,0.80525,0.6855965,0.1196535
66,-1.2973275,-1.2573414,"('inactive', 'active')",-1.16289,-1.0652155,-0.10958913,-0.12266505,-0.8566022,-0.815074,-0.0415282
36,-1.1847495,-1.2581344,"('hostile', 'amicable')",-1.3402355,-1.3202904,0.20074463,0.0007129498,-0.7747467,-0.8592374,0.0844907
19,-1.1725836,-1.1088536,"('inhospitable', 'hospitable')",-1.4540455,-0.92845786,-0.5362682,-0.42004734,-1.0542991,-0.8191196,-0.2351795
9,-1.1078984,-1.214598,"('unaffectionate', 'caring')",-0.49320558,-0.18975517,1.9294488,2.1270492,0.1094483,0.2408987,-0.1314504
86,-1.097154,-1.0169429,"('uninfluential', 'influential')",-0.8099878,-0.5265447,-0.12768461,-0.05969949,-0.6782755,-0.5343957,-0.1438798
81,1.061342,1.0124525,"('submissive', 'aggressive')",1.0100809,0.632407,-0.40657693,-0.3685436,0.5549487,0.4254386,0.1295101
5,-1.0393208,-0.98125184,"('distant', 'outgoing')",-1.5610317,-1.0518452,-0.3005506,-0.1472153,-0.9669677,-0.7267708,-0.2401969
53,-1.0345751,-1.0606321,"('uncreative', 'creative')",-0.5578509,-0.4838231,0.81225914,0.85486794,-0.2600556,-0.2298624,-0.0301932
27,-1.0225807,-0.8368514,"('hardhearted', 'softhearted')",-0.9659025,-0.6494902,0.72880644,0.8110617,-0.4198922,-0.2250933,-0.1947989
80,0.99024296,1.0772831,"('dominated', 'dominating')",0.24070948,0.21984546,-0.6964634,-0.6840952,0.178163,0.2043445,-0.0261815
73,0.9524155,0.9707953,"('helpless', 'self-reliant')",0.7665675,1.0218903,-3.9866862,-3.8041692,-0.755901,-0.6038279,-0.1520731
35,-0.9429089,-0.8582675,"('corrupt', 'incorrupt')",-1.4102147,-1.3746693,-0.5956193,-0.5583445,-0.9829143,-0.9304271,-0.0524872
79,-0.9356086,-1.0432707,"('wavering', 'unwavering')",-1.9989957,-2.1320806,-0.17776774,-0.13402358,-1.0374573,-1.1031249,0.0656676
18,-0.8931002,-1.0375141,"('disagreeable', 'welcoming')",-0.69489115,-0.5251172,-0.47078022,-0.39431807,-0.6862572,-0.6523165,-0.0339407
0,-0.8381661,-0.9556275,"('unsociable', 'sociable')",-0.11126364,0.024602817,-0.50227755,-0.5297205,-0.4839025,-0.486915,0.0030125
82,-0.8048786,-0.9098626,"('poor', 'rich')",0.9307877,0.9541793,7.21652,7.2245364,2.4474764,2.4229511,0.0245253
26,-0.79700863,-0.7182286,"('hardhearted', 'benevolent')",1.0829347,1.6159985,0.92694354,1.0051721,0.4042899,0.634314,-0.2300241
76,0.7748864,0.4492068,"('anxious', 'daring')",0.3582604,-0.52570313,-0.046461023,-0.10715815,0.3622286,-0.0612182,0.4234468
61,0.74114984,0.6845524,"('illogical', 'logical')",0.26857877,0.31120023,0.32751033,0.37531415,0.4457463,0.4570222,-0.0112759
54,-0.7407307,-0.96480143,"('incapable', 'capable')",-0.3267248,-0.19097303,1.29691,1.4720299,0.0764848,0.1054185,-0.0289337
87,0.72199297,0.5534395,"('unsuccessful', 'successful')",1.5276034,1.5108968,0.41263786,0.21990599,0.8874114,0.7614141,0.1259973
67,0.7213277,0.85799956,"('doubtful', 'determined')",0.24304146,0.57882833,-0.4190022,-0.4152334,0.181789,0.3405315,-0.1587425
21,0.7106254,0.4572441,"('immoral', 'moral')",0.49191356,0.2082062,-0.4527799,-0.58170253,0.2499197,0.0279159,0.2220038
11,0.69910204,0.5008626,"('unhelpful', 'helpful')",0.6945611,0.8374212,2.011229,1.9718118,1.1349641,1.1033652,0.0315989
10,-0.6706135,-0.81588835,"('unsympathetic', 'sympathetic')",-1.2872889,-1.285511,0.013005422,0.0536004,-0.648299,-0.6825997,0.0343007
30,0.666822,0.62510425,"('intolerant', 'tolerant')",1.519667,1.5514716,1.1142355,1.1338447,1.1002415,1.1034735,-0.003232
37,-0.6498821,-0.56638354,"('fake', 'genuine')",-1.2273633,-0.9671995,-0.024793997,0.033219848,-0.6340131,-0.5001211,-0.133892
41,-0.6241877,-0.6281056,"('unforgiving', 'forgiving')",0.18646435,0.53866327,0.16370599,0.23855196,-0.0913391,0.0497032,-0.1410423
38,-0.6194134,-0.6512685,"('untruthful', 'truthful')",-0.43606004,-0.18803762,0.69626665,0.86647725,-0.1197356,0.009057,-0.1287926
14,0.57482105,0.50398844,"('antisocial', 'social')",0.94795746,0.89510757,-0.7801163,-1.091237,0.2475541,0.1026197,0.1449344
44,0.56724143,0.3813748,"('prejudiced', 'unprejudiced')",-0.03192187,-0.42781734,-1.1991607,-1.3695502,-0.2212804,-0.4719976,0.2507172
28,-0.56572676,-0.5219233,"('disloyal', 'loyal')",-0.59643024,-0.36027902,1.3107749,1.438209,0.0495393,0.1853356,-0.1357963
84,0.528094,0.57797086,"('inferior', 'superior')",0.7150282,0.8761264,-0.14856617,0.04544255,0.364852,0.4998466,-0.1349946
25,-0.5181912,-0.7303725,"('egoistic', 'altruistic')",0.45360163,0.044656165,1.1354707,0.90402883,0.3569604,0.0727708,0.2841896
85,-0.4906885,-0.5472076,"('insignificant', 'prestigious')",-0.64109254,-0.41330633,-0.011239778,0.009191506,-0.381007,-0.3171075,-0.0638995
77,0.4838081,0.30854848,"('unmotivated', 'motivated')",-0.22060342,-0.37228194,-1.249902,-1.1930058,-0.3288991,-0.4189131,0.090014
58,-0.4792993,-0.31079215,"('undiscriminating', 'discriminating')",-0.2655097,0.13109197,-0.66196877,-0.6263167,-0.468926,-0.2686723,-0.2002537
20,0.47071567,0.46043807,"('rough', 'thoughtful')",0.44834578,0.6839919,0.32588208,0.3422765,0.4149812,0.4955688,-0.0805876
3,0.4452971,0.19860646,"('repellent', 'pleasant')",0.8394937,0.3187158,1.12355,0.5657408,0.8027803,0.361021,0.4417593
17,-0.42838874,-0.21310782,"('nasty', 'nice')",-0.6988298,-0.116728574,-0.7910765,-0.6974604,-0.6394317,-0.3424323,-0.2969994
