,cit_male,cit_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.0621474,-2.291832,"('uninfluential', 'influential')",-0.14253815,-0.14759034,0.026965342,-0.3661865,-0.7259067,-0.9352029,0.2092962
8,-1.6993147,-1.9279051,"('unaffectionate', 'affectionate')",-0.7490829,-1.0179679,0.26351446,0.34903562,-0.7282944,-0.8656125,0.1373181
1,-1.6323705,-1.9962308,"('unfriendly', 'friendly')",-0.7462142,-1.093583,1.2881626,1.2291859,-0.363474,-0.6202093,0.2567353
39,1.4594923,1.2325559,"('exploitative', 'cooperative')",1.666416,1.566278,-0.06923132,-0.037201293,1.0188924,0.9205441,0.0983483
73,1.4099813,1.2260281,"('helpless', 'self-reliant')",0.08309239,-0.11110643,-3.637573,-3.5938518,-0.7148331,-0.82631,0.1114769
53,-1.3996853,-1.4922353,"('uncreative', 'creative')",-0.24260092,-0.35748369,0.85803163,0.9383134,-0.2614182,-0.3038019,0.0423837
42,1.374814,1.1340746,"('unreliable', 'reliable')",1.7834061,1.6818255,-2.585091,-2.778785,0.1910431,0.0123717,0.1786714
23,-1.3660916,-1.2003492,"('insincere', 'sincere')",0.31842077,0.42263988,5.924223,6.306717,1.6255174,1.8430025,-0.2174851
79,-1.3653327,-1.4427321,"('wavering', 'unwavering')",-2.2398438,-2.41201,-0.55447227,-0.36680254,-1.3865496,-1.4071816,0.020632
69,1.3385708,0.6969097,"('lazy', 'industrious')",0.38810313,0.13890791,-0.58307225,-0.7868138,0.3812006,0.0163346,0.364866
9,-1.216972,-1.5134467,"('unaffectionate', 'caring')",-0.1894591,-0.52538,1.0800376,1.0739793,-0.1087978,-0.3216158,0.212818
2,1.2148874,1.2602831,"('unlikable', 'likable')",1.7246139,1.6635777,0.7891854,0.8877819,1.2428956,1.2705475,-0.0276519
82,-1.1229154,-0.7350487,"('poor', 'rich')",-0.11376906,0.16350248,6.0294456,6.639809,1.5975871,2.0227544,-0.4251673
67,1.0704687,1.3834053,"('doubtful', 'determined')",0.95556945,1.2635846,-0.30782312,-0.12730081,0.5727383,0.8398964,-0.2671581
44,1.0437539,1.020602,"('prejudiced', 'unprejudiced')",0.062363856,-0.01082509,-1.3787998,-1.2600982,-0.090894,-0.0834404,-0.0074536
18,-1.0348555,-1.1508313,"('disagreeable', 'welcoming')",-0.6888412,-0.86729807,-0.423948,-0.5363781,-0.7158816,-0.8515025,0.1356209
76,0.96149707,1.1706351,"('anxious', 'daring')",1.2168436,1.3471156,0.5793096,0.64852405,0.9192168,1.0554249,-0.1362081
28,-0.95439225,-1.029095,"('disloyal', 'loyal')",0.058012906,0.10888067,0.65357614,0.7362808,-0.0809344,-0.0613112,-0.0196232
19,-0.9236162,-1.1349634,"('inhospitable', 'hospitable')",-1.6437216,-2.0610762,-0.19739652,-0.18700024,-0.9215781,-1.12768,0.2061019
6,-0.90697205,-1.3849182,"('distant', 'open')",-1.950239,-2.3840547,-0.13909116,-0.25527608,-0.9987675,-1.3414164,0.3426489
24,-0.878316,-1.000506,"('dishonest', 'honest')",-0.1580585,-0.16904405,0.7104694,0.8366568,-0.108635,-0.1109644,0.0023294
5,-0.84310234,-1.0789218,"('distant', 'outgoing')",-1.7001126,-1.8651241,-0.641572,-0.5363663,-1.0615956,-1.1601374,0.0985418
88,-0.8187868,-0.8021121,"('low', 'eminent')",-0.9431261,-0.7966924,0.091842756,0.126073,-0.55669,-0.4909105,-0.0657795
38,-0.7945431,-0.6993721,"('untruthful', 'truthful')",-0.92176557,-0.7522234,0.2841995,0.46707207,-0.4773697,-0.3281745,-0.1491952
10,-0.7820062,-0.87316924,"('unsympathetic', 'sympathetic')",0.59706825,0.46919116,0.27398276,-0.008985464,0.0296816,-0.1376545,0.1673361
14,0.769588,1.0606736,"('antisocial', 'social')",1.8383542,2.4197536,-0.26619536,-0.16426848,0.7805823,1.1053863,-0.324804
33,0.72347516,0.4090911,"('wrong', 'right')",-0.30693802,-0.45904338,-0.7116568,-0.705613,-0.0983732,-0.2518551,0.1534819
48,-0.7019011,-0.57792586,"('unintelligent', 'intelligent')",0.1421865,0.07194653,0.776406,0.5404951,0.0722305,0.0115053,0.0607252
57,-0.7011472,-1.0561469,"('unimaginative', 'imaginative')",-0.25899068,-0.3230961,-2.5957448,-2.9064429,-1.1852942,-1.4285618,0.2432676
20,0.6733446,0.83126336,"('rough', 'thoughtful')",1.2187071,1.3351727,1.0387721,0.8851403,0.9769413,1.017192,-0.0402507
46,-0.632377,-0.4970238,"('uncompetitive', 'competitive')",1.5951242,1.654381,-0.2727956,-0.50554687,0.2299839,0.2172701,0.0127138
87,0.61996996,0.83182406,"('unsuccessful', 'successful')",1.367751,1.6386104,0.7816327,0.8704663,0.9231179,1.1136336,-0.1905157
45,-0.618303,-0.42589426,"('incompetent', 'competent')",0.17038009,0.51295024,-0.28888783,-0.3262323,-0.2456036,-0.0797254,-0.1658782
78,-0.61391073,-0.5314316,"('nonresilient', 'resilient')",0.7585769,0.79026866,0.24049954,0.03963813,0.1283886,0.0994917,0.0288969
51,-0.6029826,-0.52678937,"('uneducated', 'educated')",0.8226376,0.85333467,1.1896069,0.96531427,0.469754,0.4306199,0.0391341
62,0.5980262,1.1180576,"('incompetent', 'brilliant')",1.1922688,1.7602185,0.45651713,0.87700975,0.7489374,1.2517619,-0.5028245
0,-0.5756904,-0.58146054,"('unsociable', 'sociable')",0.69524556,0.8587888,-0.098080285,-0.3532505,0.0071583,-0.0253074,0.0324657
68,-0.56360185,-0.6386571,"('dependent', 'independent')",-0.045120724,-0.26754528,-0.286237,-0.5269106,-0.2983199,-0.4777043,0.1793844
31,-0.5529432,-1.0412875,"('evil', 'good')",-1.6688538,-2.013361,-1.6690509,-1.8742955,-1.2969493,-1.6429812,0.3460319
59,0.5501407,0.35492694,"('foolish', 'wise')",-1.3766599,-1.6719675,0.14400475,0.30288127,-0.2275048,-0.3380531,0.1105483
64,0.54865557,0.30849552,"('shy', 'confident')",1.4643413,1.4815313,-6.0554314,-6.302537,-1.3474782,-1.5041701,0.1566919
80,0.52408326,0.9117594,"('dominated', 'dominating')",1.2845805,1.6280487,-0.8239875,-0.79984176,0.3282254,0.5799888,-0.2517634
60,0.5017768,0.81473035,"('inefficient', 'efficient')",2.0051918,2.5165133,0.44823515,0.49442774,0.9850678,1.2752238,-0.290156
49,-0.47861415,-0.17037556,"('unable', 'able')",-0.65302724,-0.6797682,-0.18464938,0.030042287,-0.4387636,-0.2733672,-0.1653964
13,-0.4415401,-0.1226085,"('impolite', 'polite')",0.21915609,0.4737769,0.21153945,0.264251,-0.0036149,0.2051398,-0.2087547
75,0.4324502,0.6641591,"('meek', 'impulsive')",-1.3073578,-1.1588852,-0.6442675,-0.30293617,-0.5063917,-0.2658874,-0.2405043
61,0.40315813,0.270928,"('illogical', 'logical')",-0.058400817,-0.0655632,0.29142025,0.113028005,0.2120592,0.1061309,0.1059283
21,0.3951634,0.3854803,"('immoral', 'moral')",0.91972697,0.9679232,-0.3930709,-0.6456345,0.3072731,0.235923,0.0713501
36,-0.39455628,-0.93357986,"('hostile', 'amicable')",-1.6596498,-2.1701376,-0.09975922,-0.28532535,-0.7179885,-1.129681,0.4116925
25,-0.38944316,-0.7600509,"('egoistic', 'altruistic')",-0.47975743,-0.61295146,1.3057344,1.1485955,0.1455113,-0.0748023,0.2203136
85,0.3864632,-0.09896233,"('insignificant', 'prestigious')",-0.7580679,-1.0900662,0.1693676,-0.06429615,-0.0674124,-0.4177749,0.3503625
74,-0.38643366,-0.3567641,"('undedicated', 'dedicated')",1.0313785,1.0913761,0.12418581,-0.13816124,0.2563769,0.1988169,0.05756
83,0.36914024,0.6324447,"('powerless', 'powerful')",0.2428825,0.54041153,-0.79398495,-0.82944417,-0.0606541,0.1144707,-0.1751248
