,boeing_male,boeing_female,tuple,co_male,co_female,average_male,average_female,male-female
71,2.1257641,2.0654416,"('diffident', 'self-confident')",0.18006825,0.24306157,1.1529162,1.1542516,-0.0013354
26,1.8480513,2.0880604,"('hardhearted', 'benevolent')",0.9287968,0.9987495,1.388424,1.5434049,-0.1549809
39,1.8037425,1.9621357,"('exploitative', 'cooperative')",0.84589076,0.94155693,1.3248167,1.4518464,-0.1270297
74,1.644191,1.6200405,"('undedicated', 'dedicated')",0.7313129,0.6311325,1.187752,1.1255865,0.0621655
56,1.597887,2.0911155,"('impractical', 'practical')",0.5293893,0.9464868,1.0636382,1.5188011,-0.4551629
23,1.5854919,1.6695398,"('insincere', 'sincere')",6.4945126,6.221851,4.0400023,3.9456954,0.0943069
54,1.4980394,1.3783087,"('incapable', 'capable')",1.0124271,1.0788865,1.2552333,1.2285976,0.0266357
44,-1.408425,-1.3870506,"('prejudiced', 'unprejudiced')",-1.1659733,-1.1453673,-1.2871991,-1.2662089,-0.0209902
47,1.3889315,1.5059454,"('stupid', 'smart')",5.019131,4.8745513,3.2040315,3.1902485,0.013783
61,1.3867937,1.3976074,"('illogical', 'logical')",0.041592427,-0.05744969,0.7141931,0.6700789,0.0441142
33,1.3441132,1.1594752,"('wrong', 'right')",-0.864884,-0.9675263,0.2396146,0.0959744,0.1436402
72,1.3129767,1.1238302,"('unambitious', 'ambitious')",-0.30532324,-0.5199904,0.5038267,0.3019199,0.2019068
62,1.3043311,1.7006772,"('incompetent', 'brilliant')",0.41960046,0.68970126,0.8619658,1.1951892,-0.3332234
25,1.2252214,0.9182081,"('egoistic', 'altruistic')",0.86520046,0.635675,1.045211,0.7769415,0.2682695
83,1.1557921,1.1893028,"('powerless', 'powerful')",-0.94991696,-0.9134777,0.1029376,0.1379125,-0.0349749
87,1.1018679,1.1300697,"('unsuccessful', 'successful')",0.8032231,0.83506453,0.9525455,0.9825671,-0.0300216
63,1.067704,1.2545278,"('unperceptive', 'insightful')",0.06982995,0.15613545,0.568767,0.7053316,-0.1365646
21,1.0555844,1.3972634,"('immoral', 'moral')",-0.5287436,-0.35949424,0.2634204,0.5188846,-0.2554642
9,1.0345776,0.74639165,"('unaffectionate', 'caring')",0.57683444,0.5162691,0.805706,0.6313304,0.1743756
75,-1.0153801,-1.0214038,"('meek', 'impulsive')",-0.53397715,-0.4327665,-0.7746786,-0.7270851,-0.0475935
1,0.9850607,0.82590294,"('unfriendly', 'friendly')",0.70391655,0.46388334,0.8444886,0.6448932,0.1995954
2,0.9811597,1.1092701,"('unlikable', 'likable')",0.9900502,1.2554507,0.9856049,1.1823604,-0.1967555
84,0.9707016,0.8496216,"('inferior', 'superior')",0.30032215,0.107913315,0.6355119,0.4787675,0.1567444
86,0.9662409,0.954342,"('uninfluential', 'influential')",-0.53164595,-0.6683767,0.2172975,0.1429827,0.0743148
29,-0.9560566,-0.9968255,"('unfair', 'fair')",-1.0385774,-1.1580514,-0.997317,-1.0774385,0.0801215
17,-0.94631875,-0.9755447,"('nasty', 'nice')",-0.2563975,-0.002661828,-0.6013581,-0.4891033,-0.1122548
12,0.9366366,1.0045488,"('unsupportive', 'supportive')",-1.8708674,-1.7340798,-0.4671154,-0.3647655,-0.1023499
60,0.9351575,1.4591075,"('inefficient', 'efficient')",0.22216383,0.4070872,0.5786607,0.9330974,-0.3544367
28,0.9295269,1.1813136,"('disloyal', 'loyal')",1.4457297,1.460407,1.1876283,1.3208604,-0.1332321
53,0.91679513,0.83004475,"('uncreative', 'creative')",0.5800278,0.52233917,0.7484115,0.6761919,0.0722196
30,0.88288593,1.1888793,"('intolerant', 'tolerant')",0.40241155,0.66206443,0.6426488,0.9254718,-0.282823
32,0.79321665,1.0391278,"('unkind', 'kind')",1.4212995,1.5527462,1.1072581,1.2959371,-0.188679
27,-0.79037106,-0.87357414,"('hardhearted', 'softhearted')",0.08104601,-0.094318196,-0.3546625,-0.4839462,0.1292837
68,-0.77578175,-0.7426736,"('dependent', 'independent')",-1.5514325,-1.5420051,-1.1636071,-1.1423393,-0.0212678
31,-0.76424193,-1.1245265,"('evil', 'good')",-2.1475554,-2.2884088,-1.4558986,-1.7064676,0.250569
40,-0.7516304,-0.9805857,"('stingy', 'generous')",-2.8290293,-3.0914702,-1.7903299,-2.0360279,0.245698
37,-0.7427979,-0.8194648,"('fake', 'genuine')",-0.14590198,-0.3272059,-0.4443499,-0.5733353,0.1289854
3,-0.7308916,-0.52334636,"('repellent', 'pleasant')",0.97734886,0.9521113,0.1232286,0.2143825,-0.0911539
79,-0.72251314,-1.1405756,"('wavering', 'unwavering')",-0.5630331,-0.66578674,-0.6427732,-0.9031812,0.260408
42,-0.72213537,-0.42500803,"('unreliable', 'reliable')",-2.7014203,-2.4892654,-1.7117778,-1.4571368,-0.254641
35,-0.7083277,-1.2534031,"('corrupt', 'incorrupt')",-1.1628718,-1.3625929,-0.9355998,-1.3079979,0.3723981
51,0.70107496,0.951958,"('uneducated', 'educated')",1.6186873,1.791835,1.1598811,1.3718965,-0.2120154
14,0.63515455,1.1840905,"('antisocial', 'social')",-0.1385833,0.04880207,0.2482856,0.6164463,-0.3681607
85,0.6209425,0.18306242,"('insignificant', 'prestigious')",-0.55186087,-0.5129218,0.0345408,-0.1649297,0.1994705
65,0.58389056,0.8921766,"('insecure', 'secure')",0.63581854,0.71797025,0.6098546,0.8050734,-0.1952188
48,0.54794806,0.71025777,"('unintelligent', 'intelligent')",-0.068634674,0.068255715,0.2396567,0.3892567,-0.1496
11,0.5476827,0.6956935,"('unhelpful', 'helpful')",2.8112903,2.9130847,1.6794865,1.8043891,-0.1249026
45,-0.5424722,0.01864127,"('incompetent', 'competent')",-0.46721426,-0.34276256,-0.5048432,-0.1620606,-0.3427826
38,0.53654546,0.43358248,"('untruthful', 'truthful')",0.19104192,0.2887815,0.3637937,0.361182,0.0026117
7,0.53214806,0.9496964,"('insensitive', 'sensitive')",0.14295319,0.2565204,0.3375506,0.6031084,-0.2655578
66,-0.5105345,-0.7434057,"('inactive', 'active')",0.026802594,-0.26358807,-0.241866,-0.5034969,0.2616309
