,medco_male,medco_female,tuple,health_male,health_female,solutions_male,solutions_female,inc_male,inc_female,average_male,average_female,male-female
1,-1.5697641,-1.8251032,"('unfriendly', 'friendly')",1.3721713,1.2695967,0.51690096,0.25631887,2.1768785,1.9861629,0.6240466,0.4217438,0.2023028
58,-1.5136712,-1.5366699,"('undiscriminating', 'discriminating')",-1.0802758,-1.1779122,-0.3592124,-0.5918402,-0.07551871,-0.1509444,-0.7571695,-0.8643417,0.1071722
8,-1.4159309,-1.5692872,"('unaffectionate', 'affectionate')",0.25859165,0.33942586,-1.2611964,-1.4067006,0.826717,0.7220873,-0.3979547,-0.4786186,0.0806639
57,-1.406844,-1.4037986,"('unimaginative', 'imaginative')",-0.07594122,-0.20707527,-0.58124024,-0.6177845,-2.5183253,-2.4632492,-1.1455877,-1.1729769,0.0273892
53,-1.3175558,-1.4764256,"('uncreative', 'creative')",-0.5275534,-0.5610444,-0.24488236,-0.43448347,1.0355726,0.9206778,-0.2636047,-0.387819,0.1242143
82,-1.2968783,-1.2456297,"('poor', 'rich')",-0.8811308,-0.95206285,-0.74272215,-0.7595694,5.59199,5.767765,0.6678147,0.7026258,-0.0348111
86,-1.2890538,-1.4710623,"('uninfluential', 'influential')",0.044503987,-0.23868021,-0.6249018,-0.88043785,-0.19449219,-0.14324224,-0.5159859,-0.6833557,0.1673698
69,1.2332358,1.1838446,"('lazy', 'industrious')",0.7350488,1.0525303,1.4113829,1.4213442,0.028078033,-0.06591852,0.8519364,0.8979502,-0.0460138
39,1.2235452,1.0266597,"('exploitative', 'cooperative')",0.37098405,0.302897,1.3748575,1.2463017,0.121344596,0.22112131,0.7726828,0.6992449,0.0734379
23,-1.1986299,-1.3740563,"('insincere', 'sincere')",0.15559728,-0.013624702,0.9636299,0.889722,4.9732256,5.161228,1.2234558,1.1658173,0.0576385
10,-1.1827528,-1.2582096,"('unsympathetic', 'sympathetic')",-0.14742789,-0.43502343,-0.23855725,-0.3728985,-0.40514937,-0.27935308,-0.4934718,-0.5863712,0.0928994
42,1.0009296,1.0731072,"('unreliable', 'reliable')",2.0013564,1.9997162,0.9260744,1.1575396,-2.8586447,-2.583426,0.2674289,0.4117342,-0.1443053
45,-0.92753625,-0.9331391,"('incompetent', 'competent')",0.063957796,0.10324618,0.38983107,0.3896991,-0.4382847,-0.2826673,-0.228008,-0.1807153,-0.0472927
65,-0.90220785,-0.96820116,"('insecure', 'secure')",-1.0895274,-1.5964429,-0.09215896,-0.25066543,-0.64316833,-0.35443845,-0.6817657,-0.792437,0.1106713
28,-0.87899613,-1.0901194,"('disloyal', 'loyal')",0.1811581,-0.110559314,0.040712312,-0.20195568,0.98395574,0.9144839,0.0817075,-0.1220376,0.2037451
20,-0.8355388,-0.8099678,"('rough', 'thoughtful')",-0.5154224,-0.5307649,0.5315046,0.46028367,1.0835046,0.9227,0.066012,0.0105627,0.0554493
