,el_male,el_female,tuple,paso_male,paso_female,corp_male,corp_female,average_male,average_female,male-female
86,-2.4209073,-2.3335414,"('uninfluential', 'influential')",-1.0515387,-1.1153619,-0.5466138,-0.5778321,-1.3396866,-1.3422451,0.0025585
45,-2.3760142,-2.2639523,"('incompetent', 'competent')",-1.2168483,-1.2297871,-0.14122479,-0.22762959,-1.2446958,-1.2404563,-0.0042395
28,-2.2169297,-1.9338251,"('disloyal', 'loyal')",0.045848727,0.15659839,0.64653975,0.51494515,-0.5081805,-0.4207605,-0.08742
1,-2.1080189,-1.7639698,"('unfriendly', 'friendly')",0.4754523,0.7309739,0.92279017,0.90684676,-0.2365921,-0.0420497,-0.1945424
10,-2.0403614,-1.8230095,"('unsympathetic', 'sympathetic')",-1.0355117,-1.2207891,-0.64658535,-0.6600446,-1.2408195,-1.2346144,-0.0062051
8,-1.9417155,-1.5812762,"('unaffectionate', 'affectionate')",0.5009798,0.6474892,0.23749396,0.27555007,-0.4010806,-0.2194123,-0.1816683
0,-1.8100038,-1.7856342,"('unsociable', 'sociable')",-0.513584,-0.63117856,-0.39351887,-0.4678469,-0.9057023,-0.9615532,0.0558509
41,-1.6157967,-1.3028053,"('unforgiving', 'forgiving')",-0.6150863,-0.52708346,-0.30760407,-0.3401658,-0.8461624,-0.7233516,-0.1228108
63,-1.613801,-1.3784832,"('unperceptive', 'insightful')",0.09970722,-0.0059095733,0.1969547,0.1086213,-0.4390463,-0.4252571,-0.0137892
48,-1.577746,-1.4336718,"('unintelligent', 'intelligent')",-0.09547969,-0.09581319,0.7996226,0.6849009,-0.2912011,-0.281528,-0.0096731
14,-1.5277779,-1.629148,"('antisocial', 'social')",-1.0839325,-1.2463274,0.11979246,0.09792497,-0.8306394,-0.9258502,0.0952108
22,-1.5185338,-1.4002922,"('untrustworthy', 'trustworthy')",-0.6989635,-0.80499065,-1.0619648,-1.1112779,-1.093154,-1.1055202,0.0123662
61,-1.5165498,-1.289065,"('illogical', 'logical')",-0.34274924,-0.27908677,0.7314322,0.7450447,-0.3759556,-0.274369,-0.1015866
55,-1.5051138,-1.5660744,"('incompetent', 'clever')",-0.57778966,-0.8123683,0.54865706,0.41932252,-0.5114154,-0.6530401,0.1416247
9,-1.489406,-1.1725134,"('unaffectionate', 'caring')",0.8026842,0.8668166,0.9500506,1.0109354,0.0877763,0.2350795,-0.1473032
65,-1.422015,-1.5289876,"('insecure', 'secure')",-0.39067012,-0.5574497,0.06311208,-0.09378764,-0.583191,-0.7267416,0.1435506
24,-1.3926133,-1.0118315,"('dishonest', 'honest')",0.2672196,0.31632757,0.6238922,0.7208146,-0.1671671,0.0084369,-0.175604
26,-1.3823322,-1.1310194,"('hardhearted', 'benevolent')",0.63215435,0.83263224,1.6645925,1.7895532,0.3048049,0.4970554,-0.1922505
44,1.3632907,1.020651,"('prejudiced', 'unprejudiced')",-0.31225026,-0.50837487,-1.230102,-1.23937,-0.0596872,-0.2423646,0.1826774
47,-1.2784908,-1.3302834,"('stupid', 'smart')",-1.3530527,-1.34538,4.870542,4.86687,0.7463328,0.7304022,0.0159306
43,-1.2677687,-1.0750842,"('irresponsible', 'responsible')",-0.5267416,-0.65869623,0.5807378,0.5972773,-0.4045908,-0.3788344,-0.0257564
30,-1.2648753,-1.3052164,"('intolerant', 'tolerant')",-0.4439683,-0.5660796,0.6707703,0.71379745,-0.3460244,-0.3858329,0.0398085
75,1.2396157,1.2720306,"('meek', 'impulsive')",-0.22266,-0.09151928,-0.7583232,-0.63865423,0.0862108,0.180619,-0.0944082
58,-1.2191243,-0.8593578,"('undiscriminating', 'discriminating')",0.11284113,0.28855225,0.0063799545,0.083000064,-0.3666344,-0.1626018,-0.2040326
32,-1.2039102,-1.1655139,"('unkind', 'kind')",-0.10209338,-0.16167134,0.70139194,0.6142818,-0.2015372,-0.2376345,0.0360973
7,-1.1838211,-1.0071361,"('insensitive', 'sensitive')",-0.38939965,-0.3780329,0.46815628,0.4076189,-0.3683548,-0.32585,-0.0425048
37,-1.1575744,-1.0928152,"('fake', 'genuine')",0.20760404,0.09902315,-0.0060536712,-0.09250033,-0.3186747,-0.3620974,0.0434227
77,-1.1575478,-1.0745659,"('unmotivated', 'motivated')",-0.028127927,-0.1401968,-0.86060095,-0.91159075,-0.6820922,-0.7087845,0.0266923
