,boston_male,boston_female,tuple,properties_male,properties_female,inc_male,inc_female,average_male,average_female,male-female
39,2.5622938,2.5652792,"('exploitative', 'cooperative')",0.39655906,0.471487,0.44136733,0.44855124,1.1334067,1.1617725,-0.0283658
24,1.583425,1.8419847,"('dishonest', 'honest')",-0.39156353,-0.21951394,0.7835527,0.8548978,0.6584714,0.8257895,-0.1673181
73,1.577129,1.5216362,"('helpless', 'self-reliant')",0.6321042,0.6249906,-3.0937815,-3.0105977,-0.2948494,-0.2879903,-0.0068591
74,1.5291606,1.6427706,"('undedicated', 'dedicated')",-0.5689614,-0.59042436,-0.24937512,-0.093988396,0.2369414,0.3194526,-0.0825112
71,1.4638908,1.4542843,"('diffident', 'self-confident')",1.5914907,1.685742,0.5374514,0.71044314,1.197611,1.2834899,-0.0858789
13,1.3226217,1.3002878,"('impolite', 'polite')",-0.36184233,-0.2576905,-0.3505222,-0.3019325,0.203419,0.2468883,-0.0434693
42,1.2769101,1.4114681,"('unreliable', 'reliable')",0.8080791,0.7736579,-2.929791,-2.8004458,-0.2816006,-0.2051066,-0.076494
76,1.2711931,1.3922108,"('anxious', 'daring')",1.3667673,1.1914817,0.3848557,0.27966413,1.0076054,0.9544522,0.0531532
61,1.2612269,1.3477614,"('illogical', 'logical')",-0.25773415,-0.121580824,0.32519522,0.35320595,0.442896,0.5264622,-0.0835662
49,-1.2191246,-1.2240556,"('unable', 'able')",-0.83416516,-0.9146081,-0.5211191,-0.41987753,-0.8581363,-0.8528471,-0.0052892
78,-1.1753162,-0.95135695,"('nonresilient', 'resilient')",1.0948317,1.1238152,0.033902824,0.14741395,-0.0155272,0.1066241,-0.1221513
66,1.0800159,0.72343206,"('inactive', 'active')",0.49382424,0.39097255,1.3662003,1.5441927,0.9800135,0.8861992,0.0938143
26,1.0034293,1.2318648,"('hardhearted', 'benevolent')",0.9522875,1.1318007,1.571712,1.8373495,1.1758096,1.4003383,-0.2245287
31,-0.9793238,-0.9149196,"('evil', 'good')",-1.2107272,-1.0916843,-0.61700344,-0.50993735,-0.9356848,-0.8388471,-0.0968377
72,0.9397607,1.0458468,"('unambitious', 'ambitious')",1.3064239,1.2615085,-0.70299673,-0.76402473,0.514396,0.5144436,-4.76e-05
87,0.89521486,0.80253136,"('unsuccessful', 'successful')",0.9968437,0.9471821,0.7861937,0.89809954,0.8927507,0.8826043,0.0101464
9,0.86745787,0.94642586,"('unaffectionate', 'caring')",1.1932442,1.3017415,1.2558283,1.3835646,1.1055101,1.2105773,-0.1050672
70,0.82285225,1.1503229,"('lethargic', 'energetic')",0.74463093,0.7504754,0.59178275,0.66476274,0.7197553,0.855187,-0.1354317
18,0.81704384,0.7885437,"('disagreeable', 'welcoming')",-0.29831478,-0.28861064,-0.32422125,-0.16812302,0.0648359,0.1106034,-0.0457675
25,0.80659324,0.6939521,"('egoistic', 'altruistic')",0.65881836,0.57152456,1.8933549,1.8312991,1.1195889,1.0322586,0.0873303
12,0.8014475,1.0846425,"('unsupportive', 'supportive')",1.7196817,1.850392,-1.7438742,-1.4849446,0.259085,0.4833633,-0.2242783
30,0.7882701,1.0243884,"('intolerant', 'tolerant')",1.3543895,1.4395965,0.696417,0.7999674,0.9463588,1.0879841,-0.1416253
4,-0.77836365,-0.5930782,"('disliked', 'liked')",-0.17028654,-0.13573691,-7.0737557,-6.8627267,-2.6741352,-2.5305139,-0.1436213
81,0.7568866,0.8319809,"('submissive', 'aggressive')",0.70754397,0.58780146,-0.9202752,-1.0423176,0.1813851,0.1258216,0.0555635
44,-0.7432537,-1.0670266,"('prejudiced', 'unprejudiced')",-0.5887888,-0.7789175,-1.0475248,-1.1905735,-0.793189,-1.0121725,0.2189835
60,0.7424888,1.0287873,"('inefficient', 'efficient')",0.2532035,0.2969895,-0.18558043,-0.335662,0.2700373,0.3300383,-0.060001
35,0.7417961,0.300244,"('corrupt', 'incorrupt')",-1.4887758,-1.5100071,-0.11851711,-0.12053331,-0.288499,-0.4434322,0.1549332
17,0.73219067,0.70173824,"('nasty', 'nice')",0.19277728,0.20389213,-0.3095862,-0.33416978,0.2051272,0.1904869,0.0146403
48,-0.71576524,-0.32403845,"('unintelligent', 'intelligent')",-0.3632323,-0.2635164,0.084591664,0.18030559,-0.3314686,-0.1357497,-0.1957189
77,-0.71524245,-0.566674,"('unmotivated', 'motivated')",0.7885442,0.7137813,-1.1758677,-1.273777,-0.367522,-0.3755565,0.0080345
16,-0.71360743,-0.96901757,"('unpopular', 'popular')",-0.8156111,-0.86949927,0.21074133,0.23596823,-0.4394924,-0.5341829,0.0946905
40,0.681326,1.2032518,"('stingy', 'generous')",0.602441,0.74851185,-1.4607747,-1.2076823,-0.0590026,0.2480271,-0.3070297
65,0.676114,0.6842938,"('insecure', 'secure')",-0.3367769,-0.3917846,-0.27555355,-0.40958908,0.0212612,-0.0390266,0.0602878
22,0.67545176,1.0702068,"('untrustworthy', 'trustworthy')",-0.65585184,-0.53588676,-1.0543706,-0.83572704,-0.3449236,-0.100469,-0.2444546
32,0.66857404,0.6889823,"('unkind', 'kind')",0.16632465,0.12979616,0.9411778,0.9215305,0.5920255,0.580103,0.0119225
29,-0.6413497,-0.6501695,"('unfair', 'fair')",-0.2125312,-0.096600786,-0.07320243,0.008712281,-0.3090278,-0.2460193,-0.0630085
