,equity_male,equity_female,tuple,residential_male,residential_female,average_male,average_female,male-female
26,2.1256068,2.2895646,"('hardhearted', 'benevolent')",1.4996397,1.5004619,1.8126233,1.8950133,-0.08239
85,1.8504289,1.952314,"('insignificant', 'prestigious')",-0.46333012,-0.35960507,0.6935494,0.7963545,-0.1028051
71,1.7824717,1.7955024,"('diffident', 'self-confident')",1.3037121,1.2229565,1.5430919,1.5092294,0.0338625
9,1.7323983,1.3025571,"('unaffectionate', 'caring')",1.9583523,1.8731272,1.8453753,1.5878422,0.2575331
2,1.672522,1.8978955,"('unlikable', 'likable')",0.35410854,0.3959463,1.0133152,1.1469209,-0.1336057
12,1.6370845,1.2454664,"('unsupportive', 'supportive')",-0.83493984,-1.1006504,0.4010723,0.072408,0.3286643
39,1.4416753,1.4538761,"('exploitative', 'cooperative')",0.65349644,0.64410925,1.0475858,1.0489926,-0.0014068
15,1.335549,1.5827485,"('boring', 'funny')",0.105327755,0.13653736,0.7204384,0.8596429,-0.1392045
27,1.3082304,0.8303392,"('hardhearted', 'softhearted')",1.0351617,0.93757015,1.1716961,0.8839546,0.2877415
68,-1.227601,-1.2256619,"('dependent', 'independent')",-1.3377062,-1.2123672,-1.2826536,-1.2190145,-0.0636391
34,1.2010354,1.1699374,"('mean', 'honorable')",5.245683,5.3535295,3.2233593,3.2617335,-0.0383742
73,1.1990831,1.050705,"('helpless', 'self-reliant')",-3.4136038,-3.4676049,-1.1072603,-1.20845,0.1011897
82,-1.1719317,-0.94390905,"('poor', 'rich')",6.4956074,6.705106,2.6618378,2.8805983,-0.2187605
33,1.1574861,0.9195797,"('wrong', 'right')",0.24320345,0.16094406,0.7003447,0.5402619,0.1600828
30,1.1433353,1.2970666,"('intolerant', 'tolerant')",1.3354719,1.4330343,1.2394036,1.3650504,-0.1256468
43,1.1185719,0.95954645,"('irresponsible', 'responsible')",1.9395057,2.0207937,1.5290388,1.49017,0.0388688
83,1.1091204,0.9704396,"('powerless', 'powerful')",-0.0010160115,-0.031027922,0.5540522,0.4697058,0.0843464
66,1.0848172,0.8250133,"('inactive', 'active')",0.70844746,0.4780563,0.8966323,0.6515348,0.2450975
29,-1.0636426,-1.0048958,"('unfair', 'fair')",-1.0045891,-0.9773203,-1.0341158,-0.9911081,-0.0430077
23,1.0515589,1.14379,"('insincere', 'sincere')",7.232748,7.4390354,4.1421533,4.2914128,-0.1492595
61,1.0124257,0.9075545,"('illogical', 'logical')",0.49245843,0.50845075,0.7524421,0.7080026,0.0444395
22,-1.0078852,-0.929876,"('untrustworthy', 'trustworthy')",-0.72862124,-0.6729321,-0.8682532,-0.8014041,-0.0668491
44,-0.97411317,-0.8755654,"('prejudiced', 'unprejudiced')",-1.2367116,-1.2225986,-1.1054124,-1.049082,-0.0563304
31,-0.9606399,-0.8375548,"('evil', 'good')",-1.6866992,-1.7441357,-1.3236696,-1.2908453,-0.0328243
86,-0.9574032,-1.2423203,"('uninfluential', 'influential')",0.22877547,0.13283694,-0.3643138,-0.5547417,0.1904279
70,0.94109774,0.66357607,"('lethargic', 'energetic')",1.1165308,0.99775565,1.0288143,0.8306658,0.1981485
54,0.8953015,0.85545576,"('incapable', 'capable')",1.420282,1.4661862,1.1577917,1.160821,-0.0030293
16,-0.8437446,-0.583143,"('unpopular', 'popular')",0.19376346,0.27824047,-0.3249906,-0.1524513,-0.1725393
62,0.8279879,0.831985,"('incompetent', 'brilliant')",0.972676,0.921355,0.900332,0.87667,0.023662
87,0.81714773,0.85464394,"('unsuccessful', 'successful')",0.82106316,0.7204535,0.8191054,0.7875487,0.0315567
69,0.78883773,0.974039,"('lazy', 'industrious')",-1.1585872,-1.4240495,-0.1848747,-0.2250052,0.0401305
42,0.75622153,0.65460825,"('unreliable', 'reliable')",-2.7582862,-2.8214705,-1.0010324,-1.0834311,0.0823987
63,0.7378944,0.3278508,"('unperceptive', 'insightful')",1.1609869,0.9348031,0.9494407,0.631327,0.3181137
51,-0.6803888,-0.6444505,"('uneducated', 'educated')",0.5139631,0.48490354,-0.0832129,-0.0797735,-0.0034394
17,0.6769878,0.96422565,"('nasty', 'nice')",-0.003415634,0.08627879,0.3367861,0.5252522,-0.1884661
5,0.67693496,0.63403434,"('distant', 'outgoing')",-0.5972076,-0.53107965,0.0398637,0.0514773,-0.0116136
6,0.6736932,0.53414845,"('distant', 'open')",-0.31107983,-0.2441148,0.1813067,0.1450168,0.0362899
