,lennar_male,lennar_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-1.7803,-1.9479538,"('uninfluential', 'influential')",-0.31760153,-0.3312958,-1.0489508,-1.1396248,0.090674
1,-1.527907,-1.3087082,"('unfriendly', 'friendly')",1.1664252,0.91882145,-0.1807409,-0.1949434,0.0142025
6,-1.4865865,-1.203674,"('distant', 'open')",-0.8942989,-1.1386015,-1.1904427,-1.1711378,-0.0193049
53,-1.2794873,-1.517739,"('uncreative', 'creative')",0.2625857,0.069425695,-0.5084507,-0.7241567,0.215706
66,-1.2709863,-1.411488,"('inactive', 'active')",0.013607249,-0.0014120936,-0.6286895,-0.7064501,0.0777606
8,-1.1992087,-0.76853186,"('unaffectionate', 'affectionate')",0.17439225,0.20339915,-0.5124083,-0.2825664,-0.2298419
72,-1.1933576,-1.0241239,"('unambitious', 'ambitious')",-0.9667152,-1.0089409,-1.0800364,-1.0165324,-0.063504
81,1.181349,0.5928282,"('submissive', 'aggressive')",-0.41285467,-0.5002986,0.3842472,0.0462648,0.3379824
9,-1.1049503,-0.98056704,"('unaffectionate', 'caring')",0.8107584,0.73047423,-0.1470959,-0.1250464,-0.0220495
79,-1.1020529,-1.2206222,"('wavering', 'unwavering')",-0.62622267,-0.7463124,-0.8641378,-0.9834673,0.1193295
19,-1.0965145,-0.9956418,"('inhospitable', 'hospitable')",-0.66271424,-0.78044766,-0.8796144,-0.8880447,0.0084303
36,-1.0898961,-0.88177764,"('hostile', 'amicable')",-0.32559925,-0.47085166,-0.7077477,-0.6763147,-0.031433
58,-1.0799133,-1.018848,"('undiscriminating', 'discriminating')",0.15359649,0.21293768,-0.4631584,-0.4029551,-0.0602033
78,-1.0551696,-0.913815,"('nonresilient', 'resilient')",0.21850528,0.35136634,-0.4183322,-0.2812243,-0.1371079
31,-1.0294288,-0.45986047,"('evil', 'good')",-1.0111227,-1.0710773,-1.0202758,-0.7654689,-0.2548069
27,-1.0223521,-0.7474975,"('hardhearted', 'softhearted')",1.01459,0.9124713,-0.003881,0.0824869,-0.0863679
5,-0.98436075,-0.8344558,"('distant', 'outgoing')",-0.84957427,-1.0842079,-0.9169675,-0.9593319,0.0423644
62,0.92160034,0.4145109,"('incompetent', 'brilliant')",0.5892837,0.45071268,0.755442,0.4326118,0.3228302
43,-0.88791287,-1.210649,"('irresponsible', 'responsible')",0.49810886,0.25474194,-0.194902,-0.4779536,0.2830516
14,0.88050455,0.6105755,"('antisocial', 'social')",0.36186898,0.28178978,0.6211867,0.4461826,0.1750041
