,perkinelmer_male,perkinelmer_female,tuple,inc_male,inc_female,average_male,average_female,male-female
53,-1.9633174,-1.9917206,"('uncreative', 'creative')",0.46368912,0.552537,-0.7498142,-0.7195917,-0.0302225
6,-1.8147386,-1.605127,"('distant', 'open')",0.024379075,0.26154912,-0.8951797,-0.6717889,-0.2233908
1,-1.7433568,-1.7174739,"('unfriendly', 'friendly')",1.4943535,1.4745417,-0.1245016,-0.1214661,-0.0030355
9,-1.733036,-1.669957,"('unaffectionate', 'caring')",0.66890687,0.78150696,-0.5320646,-0.444225,-0.0878396
5,-1.5797862,-1.4035844,"('distant', 'outgoing')",-0.49393263,-0.26749277,-1.0368594,-0.8355386,-0.2013208
19,-1.535407,-1.582616,"('inhospitable', 'hospitable')",-0.30127922,-0.16293699,-0.9183431,-0.8727765,-0.0455666
8,-1.4962323,-1.2776691,"('unaffectionate', 'affectionate')",0.79303455,0.88531715,-0.3515989,-0.196176,-0.1554229
36,-1.4902058,-1.3516768,"('hostile', 'amicable')",0.30649963,0.3992589,-0.5918531,-0.476209,-0.1156441
31,-1.3462989,-1.1194295,"('evil', 'good')",-1.0149782,-0.7203713,-1.1806386,-0.9199004,-0.2607382
86,-1.2884022,-1.156304,"('uninfluential', 'influential')",-0.6794288,-0.5397749,-0.9839155,-0.8480394,-0.1358761
81,1.2734611,1.117007,"('submissive', 'aggressive')",-0.6032691,-0.8204734,0.335096,0.1482668,0.1868292
79,-1.2459238,-1.2614722,"('wavering', 'unwavering')",-0.31555986,-0.21921834,-0.7807418,-0.7403453,-0.0403965
24,-1.2285405,-1.1573526,"('dishonest', 'honest')",0.12783134,0.24757946,-0.5503546,-0.4548866,-0.095468
10,-1.1893255,-1.2224257,"('unsympathetic', 'sympathetic')",-0.48600626,-0.4299661,-0.8376659,-0.8261959,-0.01147
61,-1.16481,-1.0700549,"('illogical', 'logical')",-0.17742175,0.07077438,-0.6711159,-0.4996403,-0.1714756
23,-1.1326529,-1.4507405,"('insincere', 'sincere')",4.8181596,4.761551,1.8427534,1.6554053,0.1873481
38,-1.1269109,-1.2092563,"('untruthful', 'truthful')",-0.49964294,-0.48436734,-0.8132769,-0.8468118,0.0335349
44,1.1121036,1.057126,"('prejudiced', 'unprejudiced')",-1.0199403,-0.9532356,0.0460817,0.0519452,-0.0058635
