,amazon_male,amazon_female,tuple,com_male,com_female,inc_male,inc_female,average_male,average_female,male-female
6,2.883484,2.5100672,"('distant', 'open')",0.100034654,0.34116918,0.37003663,0.23514497,1.1178517,1.0287938,0.0890579
9,2.2220385,2.0828326,"('unaffectionate', 'caring')",0.551963,0.48115647,0.9899511,0.98398733,1.2546509,1.1826588,0.0719921
85,2.1753888,1.7234462,"('insignificant', 'prestigious')",-0.84679765,-0.68651307,1.0290668,0.55788887,0.785886,0.5316073,0.2542787
5,2.1125827,1.7081102,"('distant', 'outgoing')",0.18803355,0.2931378,-0.5120008,-0.4903966,0.5962052,0.5036171,0.0925881
81,-2.0459695,-1.8982444,"('submissive', 'aggressive')",0.9687971,0.7818062,-0.8013416,-0.43846488,-0.6261714,-0.518301,-0.1078704
80,-2.0324244,-1.5766722,"('dominated', 'dominating')",-1.2180784,-1.0576208,-1.2392664,-0.9536338,-1.4965897,-1.1959756,-0.3006141
45,-1.7648705,-1.2164668,"('incompetent', 'competent')",0.2771086,0.17606205,-0.74607414,-0.54401046,-0.7446121,-0.5281384,-0.2164737
71,1.7275773,1.2956972,"('diffident', 'self-confident')",1.75572,1.6008297,0.5307137,0.44122404,1.3380036,1.1125836,0.22542
78,-1.6822761,-1.2001826,"('nonresilient', 'resilient')",-0.60959375,-0.43879604,-0.13093945,0.2543027,-0.8076031,-0.4615586,-0.3460445
82,-1.655082,-1.3832818,"('poor', 'rich')",0.27402902,0.28533155,6.369631,6.378285,1.6628593,1.7601115,-0.0972522
25,1.6515104,1.2969822,"('egoistic', 'altruistic')",-0.08855839,-0.15931757,2.0616436,1.81185,1.2081985,0.9831715,0.225027
65,-1.6394858,-1.3803909,"('insecure', 'secure')",0.3530236,0.2540514,-0.5586984,-0.17916104,-0.6150536,-0.4351668,-0.1798868
1,1.6229494,1.4490052,"('unfriendly', 'friendly')",0.4271145,0.31682447,1.5397825,1.2294459,1.1966155,0.9984252,0.1981903
70,-1.6146283,-1.2032255,"('lethargic', 'energetic')",-0.11314483,-0.11318052,0.65258443,1.0921582,-0.3583963,-0.0747493,-0.283647
57,-1.5529675,-1.3888958,"('unimaginative', 'imaginative')",-0.25829127,-0.1997827,-3.0580208,-2.6870668,-1.6230933,-1.4252485,-0.1978448
44,-1.5231531,-1.4761968,"('prejudiced', 'unprejudiced')",-0.18284993,-0.1355164,-0.88639927,-1.077078,-0.8641341,-0.8962638,0.0321297
53,1.4690636,1.4599822,"('uncreative', 'creative')",0.6018104,0.48340654,1.1251656,1.0571227,1.0653466,1.0001705,0.0651761
55,-1.4461415,-1.1253616,"('incompetent', 'clever')",0.66192895,0.4035064,0.040620513,0.2886866,-0.247864,-0.1443895,-0.1034745
13,-1.3707124,-1.2507843,"('impolite', 'polite')",0.37684333,0.14562018,-0.39272836,-0.026602969,-0.4621991,-0.3772557,-0.0849434
39,1.3208033,1.2785791,"('exploitative', 'cooperative')",2.194613,2.0499642,0.12065051,0.17023866,1.2120222,1.1662606,0.0457616
68,-1.2431422,-0.78953403,"('dependent', 'independent')",-0.49427563,-0.23674773,-0.43959922,-0.07476431,-0.7256724,-0.3670154,-0.358657
10,-1.2415252,-0.9025137,"('unsympathetic', 'sympathetic')",-0.35776073,-0.55259746,-0.46120715,-0.10457672,-0.686831,-0.519896,-0.166935
73,1.2115527,1.0342968,"('helpless', 'self-reliant')",0.5272367,0.7870109,-3.258522,-3.1595695,-0.5065775,-0.4460873,-0.0604902
74,1.1604742,1.1579576,"('undedicated', 'dedicated')",1.167021,1.069959,-0.05066679,-0.02126461,0.7589428,0.7355507,0.0233921
11,-1.145852,-0.87467915,"('unhelpful', 'helpful')",1.2390611,1.0543416,1.9102929,2.0576446,0.667834,0.745769,-0.077935
35,1.1293272,0.7232812,"('corrupt', 'incorrupt')",-0.5084722,-0.22212914,0.10186163,-0.07885307,0.2409055,0.1407663,0.1001392
69,1.0807334,0.77508414,"('lazy', 'industrious')",0.4203529,0.51020044,-0.54695356,-0.37634787,0.3180443,0.3029789,0.0150654
22,-1.0744865,-0.9045136,"('untrustworthy', 'trustworthy')",0.51679593,0.3388176,-1.293139,-1.2101326,-0.6169432,-0.5919429,-0.0250003
26,1.0713909,0.69670016,"('hardhearted', 'benevolent')",0.15217745,-0.15849407,1.5340121,1.0090668,0.9191934,0.5157576,0.4034358
14,-1.0537728,-0.7570179,"('antisocial', 'social')",1.8342881,1.6735332,-0.88235193,-0.5679406,-0.0339455,0.1161916,-0.1501371
21,-1.0475651,-0.8497956,"('immoral', 'moral')",1.0590571,0.743745,-0.84059495,-0.7792178,-0.2763676,-0.2950894,0.0187218
36,1.0342387,0.513281,"('hostile', 'amicable')",-0.51844007,-0.7120569,0.28841344,-0.3651865,0.2680707,-0.1879875,0.4560582
8,1.0213531,0.58293873,"('unaffectionate', 'affectionate')",-0.91770685,-0.98634994,0.39768678,0.26581493,0.167111,-0.0458654,0.2129764
24,1.014608,1.0506034,"('dishonest', 'honest')",0.61497176,0.5815984,1.054015,1.0910686,0.8945316,0.9077568,-0.0132252
59,0.9918315,1.0626547,"('foolish', 'wise')",0.8553883,1.1730299,0.31347954,0.27832508,0.7202331,0.8380032,-0.1177701
50,-0.9865953,-0.8967433,"('clumsy', 'skillful')",0.40841562,0.44559157,0.3457944,0.24456239,-0.0774617,-0.0688631,-0.0085986
51,-0.9423817,-0.77426535,"('uneducated', 'educated')",0.088834,-0.11380663,0.67581886,0.9646847,-0.0592429,0.0255376,-0.0847805
33,0.92419505,0.68666536,"('wrong', 'right')",0.026298262,-0.0013617426,-0.7113581,-0.8157252,0.0797118,-0.0434739,0.1231857
58,-0.9098376,-0.50822973,"('undiscriminating', 'discriminating')",-0.13903067,0.08108781,-0.18609497,-0.09653041,-0.4116544,-0.1745574,-0.237097
64,-0.8865698,-1.0244153,"('shy', 'confident')",0.08941552,0.06479293,-6.647347,-6.2257013,-2.4815005,-2.3951079,-0.0863926
46,-0.8831632,-0.6341955,"('uncompetitive', 'competitive')",0.38378495,0.120703444,-0.51213956,-0.2797653,-0.3371726,-0.2644191,-0.0727535
32,0.87347585,0.7673913,"('unkind', 'kind')",1.4354043,1.190079,1.1947978,1.3581803,1.1678926,1.1052168,0.0626758
76,-0.79864645,-0.48747462,"('anxious', 'daring')",0.22605547,0.290951,0.33212018,0.58664423,-0.0801569,0.1300402,-0.2101971
54,0.7543283,0.5283836,"('incapable', 'capable')",0.7814472,0.75864834,1.1254182,1.2358626,0.8870645,0.8409648,0.0460997
