,medco_male,medco_female,tuple,health_male,health_female,solutions_male,solutions_female,inc_male,inc_female,average_male,average_female,male-female
1,-1.5574805,-1.6242456,"('unfriendly', 'friendly')",1.3000932,1.3172084,0.35152024,0.31711423,2.076247,2.1803813,0.542595,0.5476146,-0.0050196
8,-1.4599319,-1.4186981,"('unaffectionate', 'affectionate')",0.31464398,0.46802735,-1.4403014,-1.3974471,0.7190342,0.88341403,-0.4666388,-0.3661759,-0.1004629
57,-1.4247308,-1.6016376,"('unimaginative', 'imaginative')",-0.18498248,-0.3733449,-0.7275639,-0.790374,-2.4317374,-2.5727355,-1.1922536,-1.334523,0.1422694
53,-1.3898416,-1.4575111,"('uncreative', 'creative')",-0.52824956,-0.5357855,-0.37643242,-0.35962465,1.0593209,1.1380458,-0.3088006,-0.3037189,-0.0050817
23,-1.3682699,-1.3842682,"('insincere', 'sincere')",-0.026728883,-0.12827423,0.77601904,0.6748496,4.9909043,5.182971,1.0929811,1.0863196,0.0066615
82,-1.3255831,-1.3880968,"('poor', 'rich')",-0.94874215,-1.0306027,-0.87844837,-0.97010225,5.4760633,5.4583454,0.5808223,0.5173859,0.0634364
58,-1.3183928,-1.5240836,"('undiscriminating', 'discriminating')",-1.047512,-1.2310835,-0.3949528,-0.40698928,-0.19539323,-0.13505864,-0.7390627,-0.8243037,0.085241
69,1.3046491,1.3775866,"('lazy', 'industrious')",1.0460137,1.1524485,1.6264288,1.86004,0.3507142,0.17656428,1.0819514,1.1416597,-0.0597083
86,-1.2899303,-1.4743412,"('uninfluential', 'influential')",-0.029587954,-0.23508565,-0.8072458,-0.992363,-0.051608637,-0.26204866,-0.5445932,-0.7409596,0.1963664
10,-1.2093039,-1.459811,"('unsympathetic', 'sympathetic')",-0.30827007,-0.67741597,-0.34319425,-0.6027143,-0.2701347,-0.32013264,-0.5327257,-0.7650185,0.2322928
65,-1.1574963,-1.12606,"('insecure', 'secure')",-1.418638,-1.4931839,-0.33722696,-0.45826885,-0.6956397,-0.79009974,-0.9022502,-0.9669031,0.0646529
42,1.1183151,0.9177736,"('unreliable', 'reliable')",2.2050989,1.8885592,1.2924178,1.0638528,-2.3891282,-2.5402617,0.5566758,0.332481,0.2241948
39,1.0412562,1.1024828,"('exploitative', 'cooperative')",0.2781812,0.25777352,1.2608504,1.2586703,0.21718326,0.23920426,0.6993678,0.7145327,-0.0151649
28,-0.9007581,-0.95444715,"('disloyal', 'loyal')",0.14165273,0.05179653,-0.0954033,-0.04720275,0.8619635,0.95497316,0.0018637,0.00128,0.0005837
45,-0.89054847,-1.018615,"('incompetent', 'competent')",-0.002975151,-0.1925976,0.34655404,0.2843731,-0.35461202,-0.43924183,-0.2253954,-0.3415203,0.1161249
54,-0.8491444,-0.92927974,"('incapable', 'capable')",0.6540726,0.6357858,0.2692793,0.30642474,1.0599345,1.123964,0.2835355,0.2842237,-0.0006882
63,-0.8461319,-0.8730351,"('unperceptive', 'insightful')",0.84883714,0.74144053,1.728586,1.7168511,1.0461919,1.0440769,0.6943707,0.6573334,0.0370373
20,-0.80191267,-1.0023243,"('rough', 'thoughtful')",-0.54797655,-0.7007375,0.5244797,0.46621794,1.0785861,1.0796272,0.0632941,-0.0393042,0.1025983
43,-0.78337836,-0.8384342,"('irresponsible', 'responsible')",1.2785386,1.1581651,0.09715201,-0.01520621,0.31547663,0.44064328,0.2269472,0.186292,0.0406552
81,-0.77989435,-0.7291895,"('submissive', 'aggressive')",0.022876866,-0.11719149,0.25795272,0.15918924,-0.9914293,-0.9717684,-0.3726235,-0.41474,0.0421165
68,-0.7749963,-0.8893574,"('dependent', 'independent')",-1.3215586,-1.4465741,-0.09889669,-0.10574421,-0.4507966,-0.58569425,-0.661562,-0.7568425,0.0952805
