,trane_male,trane_female,tuple,technologies_male,technologies_female,plc_male,plc_female,average_male,average_female,male-female
1,-2.3634877,-2.180472,"('unfriendly', 'friendly')",-0.60347164,-0.43165725,0.8769682,1.1839886,-0.6966638,-0.4760469,-0.2206169
6,-2.1412146,-2.0711832,"('distant', 'open')",-1.4263967,-1.1593218,-0.40405282,0.19047445,-1.323888,-1.0133435,-0.3105445
9,-2.0431976,-1.82868,"('unaffectionate', 'caring')",-0.36895344,-0.18652442,0.3585043,0.5651014,-0.6845489,-0.4833677,-0.2011812
5,-1.9727694,-1.872352,"('distant', 'outgoing')",-0.901343,-0.6652217,-0.55613124,0.15995908,-1.1434145,-0.7925382,-0.3508763
53,-1.7772838,-1.620292,"('uncreative', 'creative')",0.24321571,0.33419654,1.0721911,1.2718395,-0.153959,-0.004752,-0.149207
86,-1.680789,-1.4919368,"('uninfluential', 'influential')",-0.28703305,-0.3540497,-0.07197832,0.27637747,-0.6799335,-0.523203,-0.1567305
8,-1.6348279,-1.3839321,"('unaffectionate', 'affectionate')",-0.4992268,-0.2651555,-0.025478281,0.2040902,-0.7198443,-0.4816658,-0.2381785
31,-1.5576986,-1.5464923,"('evil', 'good')",-0.58481777,-0.44659126,-0.96140647,-0.17131428,-1.0346409,-0.721466,-0.3131749
19,-1.5494989,-1.6018376,"('inhospitable', 'hospitable')",-1.2635398,-1.2304294,-1.0273174,-0.7515064,-1.2801188,-1.1945911,-0.0855277
76,1.4799684,1.1715277,"('anxious', 'daring')",0.30923754,0.29793057,0.43897733,-0.22719575,0.7427278,0.4140875,0.3286403
27,-1.3047998,-1.2646959,"('hardhearted', 'softhearted')",-0.27370757,-0.03373476,-0.40119666,-0.16064523,-0.6599014,-0.4863586,-0.1735428
65,1.2898959,1.0721682,"('insecure', 'secure')",0.0009008832,-0.20577542,0.6737919,0.15856186,0.6548629,0.3416516,0.3132113
39,1.2033145,1.3069062,"('exploitative', 'cooperative')",0.6392969,0.4472649,0.6401454,0.5564135,0.8275856,0.7701948,0.0573908
85,-1.1839606,-1.0805058,"('insignificant', 'prestigious')",0.083497435,0.25601828,-0.275792,0.06194949,-0.4587517,-0.2541794,-0.2045723
25,-1.1813747,-1.5244471,"('egoistic', 'altruistic')",0.038810086,-0.10039878,0.9829925,0.7564257,-0.0531907,-0.2894734,0.2362827
28,-1.1569233,-1.0338125,"('disloyal', 'loyal')",-0.034647215,-0.03719502,0.70246947,0.7867311,-0.1630337,-0.0947588,-0.0682749
56,1.148381,1.0255021,"('impractical', 'practical')",0.63094616,0.44494048,0.9616969,0.5917415,0.9136747,0.6873947,0.22628
60,1.1338395,1.1027917,"('inefficient', 'efficient')",0.970925,0.7828632,0.05070041,-0.22879016,0.7184883,0.5522883,0.1662
23,-1.0862614,-1.0748582,"('insincere', 'sincere')",-0.39370906,-0.5176142,2.9745388,1.8850696,0.4981894,0.0975324,0.400657
79,-1.0791996,-1.088105,"('wavering', 'unwavering')",-1.3386769,-1.2575436,-0.4308379,-0.23654254,-0.9495715,-0.8607303,-0.0888412
66,-1.0772514,-0.87710667,"('inactive', 'active')",-0.5033811,-0.23700099,1.0699195,1.4774201,-0.1702377,0.1211042,-0.2913419
36,-1.0554721,-1.06143,"('hostile', 'amicable')",-0.9087419,-0.8935211,0.6074043,0.87671715,-0.45227,-0.3594113,-0.0928587
82,-1.0271218,-0.9515947,"('poor', 'rich')",0.18635336,0.2545681,4.080587,3.1712956,1.0799395,0.8247563,0.2551832
54,-0.98405635,-1.0976113,"('incapable', 'capable')",-0.039992172,0.03026614,0.42503655,0.3612356,-0.1996707,-0.2353698,0.0356991
88,-0.98236114,-0.8589023,"('low', 'eminent')",0.56699485,0.46043363,0.05963852,-0.13064963,-0.1185759,-0.1763728,0.0577969
40,-0.9524125,-0.72307813,"('stingy', 'generous')",-0.09007484,0.04271987,-1.5979519,-0.8122143,-0.8801464,-0.4975242,-0.3826222
21,0.9207169,0.7471662,"('immoral', 'moral')",0.5478848,0.38614622,-0.7775259,-1.0767503,0.2303586,0.0188541,0.2115045
14,0.91507524,0.9127321,"('antisocial', 'social')",1.2078918,1.1921923,0.72247165,0.74678797,0.9484796,0.9505708,-0.0020912
38,-0.8989557,-1.0245538,"('untruthful', 'truthful')",-0.7577974,-0.88697255,0.15534464,0.17323303,-0.5004695,-0.5794311,0.0789616
18,-0.83550644,-0.71979207,"('disagreeable', 'welcoming')",0.17270777,0.22987585,-1.2351345,-0.9072191,-0.6326444,-0.4657118,-0.1669326
44,0.81848395,0.6279738,"('prejudiced', 'unprejudiced')",-0.19244471,-0.29348597,-0.6769387,-0.8615559,-0.0169665,-0.1756893,0.1587228
