,discover_male,discover_female,tuple,financial_male,financial_female,services_male,services_female,average_male,average_female,male-female
55,3.7355204,4.8401604,"('incompetent', 'clever')",-1.1971605,-1.2982916,0.55724144,0.61662257,1.0318671,1.3861637,-0.3542966
31,-3.5567446,-4.562386,"('evil', 'good')",-0.3145007,-0.4302928,-2.443763,-2.5611389,-2.1050027,-2.5179392,0.4129365
85,-3.385555,-4.5829444,"('insignificant', 'prestigious')",2.4315782,2.3016286,0.27296662,0.24362631,-0.2270034,-0.6792298,0.4522264
35,-3.2017379,-4.049444,"('corrupt', 'incorrupt')",0.1679015,0.07556295,-0.9242802,-0.95399487,-1.3193722,-1.6426253,0.3232531
60,3.0258749,3.8711405,"('inefficient', 'efficient')",-0.8155269,-0.77995014,1.6453744,1.7307003,1.2852408,1.6072969,-0.3220561
52,-2.931195,-3.762016,"('irrational', 'rational')",0.7813879,0.43059725,-0.5267255,-0.6696403,-0.8921775,-1.3336864,0.4415089
62,2.7838948,3.5549755,"('incompetent', 'brilliant')",-0.08615247,0.047031984,1.086943,1.2713555,1.2615617,1.6244543,-0.3628926
59,-2.730677,-3.3357832,"('foolish', 'wise')",0.9982236,0.9001777,-0.45436543,-0.38366982,-0.7289396,-0.9397585,0.2108189
80,2.7092903,3.0823936,"('dominated', 'dominating')",-0.31698957,-0.37244764,1.4964671,1.4086767,1.2962559,1.3728743,-0.0766184
46,2.6809862,3.633479,"('uncompetitive', 'competitive')",-0.18523893,-0.08318902,1.5612152,1.6974766,1.3523208,1.7492555,-0.3969347
81,2.4527407,3.30888,"('submissive', 'aggressive')",0.35657686,0.5509671,0.75033975,0.8267868,1.1865524,1.5622114,-0.375659
10,2.4123852,3.151319,"('unsympathetic', 'sympathetic')",-1.7032391,-1.6078066,0.067758605,0.25647575,0.2589683,0.5999961,-0.3410278
56,2.4035568,3.0023134,"('impractical', 'practical')",0.3378451,0.40228868,0.2988338,0.5018685,1.0134119,1.3021568,-0.2887449
70,2.3192909,3.1180158,"('lethargic', 'energetic')",-0.67357135,-0.32927573,1.4955243,1.8803604,1.0470813,1.5563669,-0.5092856
14,2.2843351,2.8657246,"('antisocial', 'social')",1.1515162,1.257167,0.24303816,0.38679707,1.2262965,1.5032295,-0.276933
21,2.234396,2.550074,"('immoral', 'moral')",0.3609094,0.23310205,0.37110156,0.27893433,0.9888024,1.0207035,-0.0319011
76,2.1920502,3.0355947,"('anxious', 'daring')",-0.2615945,-0.19516236,1.2198082,1.3503408,1.0500879,1.3969243,-0.3468364
16,-2.1130106,-2.5586286,"('unpopular', 'popular')",-0.3826915,-0.40120822,0.71221685,0.69024485,-0.5944951,-0.7565306,0.1620355
7,2.0716918,2.6579134,"('insensitive', 'sensitive')",0.11983046,0.18543942,0.27066368,0.3883081,0.8207286,1.0772203,-0.2564917
36,-2.0250628,-3.0082195,"('hostile', 'amicable')",0.8394652,0.8762006,-0.9333006,-0.92567307,-0.7062995,-1.0192306,0.3129311
4,-1.9827855,-2.599716,"('disliked', 'liked')",0.2800511,0.4478805,-3.1770818,-3.3057513,-1.6266054,-1.8191956,0.1925902
17,-1.8479041,-2.0426483,"('nasty', 'nice')",-0.04065191,0.029272657,-0.2156525,-0.15858185,-0.7014028,-0.7239858,0.022583
19,-1.7870055,-2.0313447,"('inhospitable', 'hospitable')",-0.13127396,-0.04641739,-0.03288399,-0.062221583,-0.6503878,-0.7133279,0.0629401
5,-1.7409996,-2.2452075,"('distant', 'outgoing')",1.2293241,1.2315987,-0.6138943,-0.6211864,-0.3751899,-0.5449317,0.1697418
43,1.7213634,2.331123,"('irresponsible', 'responsible')",0.091680825,0.12547496,0.2805676,0.44688797,0.6978707,0.9678287,-0.269958
69,-1.7062302,-2.4856625,"('lazy', 'industrious')",1.8509341,1.825892,0.57196736,0.36385146,0.2388904,-0.0986397,0.3375301
29,-1.6630641,-1.9166842,"('unfair', 'fair')",-0.20157284,-0.20993155,-1.3717657,-1.4082196,-1.0788008,-1.1782784,0.0994776
65,1.658882,2.2303233,"('insecure', 'secure')",-0.56400245,-0.61201936,-0.17876703,-0.14432874,0.3053709,0.4913251,-0.1859542
11,1.6530545,2.2115242,"('unhelpful', 'helpful')",-0.5118921,-0.41126764,2.4644,2.6236527,1.2018541,1.4746364,-0.2727823
39,1.5777712,1.4223026,"('exploitative', 'cooperative')",1.2601106,1.13081,0.1901112,0.09699115,1.009331,0.8833679,0.1259631
6,-1.5314105,-1.9389347,"('distant', 'open')",0.6267471,0.55244976,-0.8785857,-0.85193247,-0.5944164,-0.7461391,0.1517227
13,1.5018455,2.1516845,"('impolite', 'polite')",-0.26632047,-0.15272826,0.45097595,0.5436422,0.562167,0.8475328,-0.2853658
12,1.4886924,1.7182537,"('unsupportive', 'supportive')",0.9215059,0.9038227,0.091544956,0.047608092,0.8339144,0.8898949,-0.0559805
79,-1.4683648,-2.0302474,"('wavering', 'unwavering')",0.5057656,0.6600117,0.54387194,0.7336027,-0.1395758,-0.212211,0.0726352
86,1.4475507,1.9846603,"('uninfluential', 'influential')",-0.86665887,-1.0077757,-0.11789496,-0.07967302,0.1543323,0.2990705,-0.1447382
48,1.380642,1.8063608,"('unintelligent', 'intelligent')",-1.3145859,-1.3187537,-1.0551413,-1.0588349,-0.3296951,-0.1904093,-0.1392858
51,1.348763,1.6373862,"('uneducated', 'educated')",-0.43949527,-0.6029607,0.66169715,0.35554516,0.5236549,0.4633236,0.0603313
