,donnelley_male,donnelley_female,tuple,rr_male,rr_female,&_male,&_female,sons_male,sons_female,co_male,co_female,average_male,average_female,male-female
52,-2.0807226,-2.3280745,"('irrational', 'rational')",-1.172498,-1.2128911,-0.3800151,-0.33016127,-1.1947365,-1.0775506,-0.3025631,-0.25809458,-1.0261071,-1.0413545,0.0152474
80,1.8794968,2.4499245,"('dominated', 'dominating')",0.22305316,0.43840948,-0.0028588623,-0.13189182,0.24494614,0.6356132,-0.9317063,-0.8702518,0.2825862,0.5043608,-0.2217746
85,-1.7021528,-1.8925745,"('insignificant', 'prestigious')",-0.48747113,-0.19135213,0.8968383,1.1643784,-0.8413309,-0.6619116,-0.3728103,-0.19208619,-0.5013854,-0.3547092,-0.1466762
1,-1.6770825,-1.8187249,"('unfriendly', 'friendly')",-0.6977063,-0.52916324,0.45284942,0.38219297,-0.7557221,-1.1471703,1.8381526,1.7984638,-0.1679018,-0.2628803,0.0949785
6,-1.5913919,-1.8173418,"('distant', 'open')",-0.0074389055,0.03773605,0.8464701,1.1868383,-1.0489916,-1.2686995,0.0746814,0.37882936,-0.3453342,-0.2965275,-0.0488067
87,1.5748969,1.4140675,"('unsuccessful', 'successful')",0.52636504,0.6922193,1.9736271,1.7170959,1.8014262,1.9836919,0.9431759,0.7878857,1.3638982,1.318992,0.0449062
31,-1.569439,-1.7493869,"('evil', 'good')",-0.11667019,-0.1071948,0.082431704,0.40934476,-1.0672834,-1.2228643,-0.5991342,-0.5743258,-0.654019,-0.6488854,-0.0051336
36,-1.5544317,-1.46042,"('hostile', 'amicable')",-1.3858262,-1.2449372,0.1471043,0.6447131,-1.5061548,-1.7755042,0.02521232,0.16924003,-0.8548193,-0.7333817,-0.1214376
46,1.4144002,1.4842899,"('uncompetitive', 'competitive')",0.30152145,0.51552457,0.16990429,-0.049665526,0.93032753,1.0080025,-0.3638623,-0.4753265,0.4904583,0.496565,-0.0061067
81,1.3241005,1.5433836,"('submissive', 'aggressive')",-0.031370655,0.07858387,0.049341977,-0.15294422,0.518269,0.82916456,-0.6793623,-0.73923874,0.2361957,0.3117898,-0.0755941
25,-1.2974759,-1.4172642,"('egoistic', 'altruistic')",-0.8869427,-1.1537693,0.21247616,0.05475755,-0.23132627,-0.5092444,1.07483,0.97048056,-0.2256877,-0.411008,0.1853203
75,1.2300966,0.8931878,"('meek', 'impulsive')",-0.39660704,-0.37205476,0.8993596,1.1962794,-0.32975057,-0.49525723,-0.12510371,-0.12632306,0.255599,0.2191664,0.0364326
60,1.124161,0.99709415,"('inefficient', 'efficient')",0.7730255,0.546835,-0.94681907,-1.7005687,1.2415273,0.9364852,0.006055939,-0.23879464,0.4395901,0.1082102,0.3313799
18,-1.0533398,-1.1796651,"('disagreeable', 'welcoming')",-1.6480399,-1.614354,-0.33076882,-0.47735518,-0.4966257,-0.42099988,-1.0302768,-0.82410276,-0.9118102,-0.9032954,-0.0085148
55,1.0434018,1.1818976,"('incompetent', 'clever')",0.30348402,0.45422578,-0.6636274,-0.8449443,-0.07148292,-0.09641552,0.083766386,0.043418407,0.1391084,0.1476364,-0.008528
45,1.0145822,1.1171248,"('incompetent', 'competent')",1.168363,1.2536303,0.636609,0.584815,1.4739242,1.052411,0.12873687,0.15322945,0.8844431,0.8322421,0.052201
50,0.97884023,0.56958383,"('clumsy', 'skillful')",-0.18719772,-0.114340626,1.5735435,1.422607,0.34282327,0.0976729,0.08316966,0.034976393,0.5582358,0.4020999,0.1561359
56,0.9390808,0.92018825,"('impractical', 'practical')",0.90603393,0.8087363,-0.4362563,-0.901602,1.1107259,0.9108637,-0.54610044,-0.6745149,0.3946968,0.2127342,0.1819626
28,-0.9297369,-0.71627575,"('disloyal', 'loyal')",-0.36969572,-0.27547348,-0.48195344,-0.406367,-0.09771932,-0.21296062,0.9276678,1.0635794,-0.1902875,-0.1094995,-0.080788
88,-0.92733765,-1.1812804,"('low', 'eminent')",-1.2592072,-1.2521996,0.022426292,-0.09075582,-0.38154107,-0.5472434,-0.375908,-0.270453,-0.5843135,-0.6683864,0.0840729
16,-0.92149115,-1.1213675,"('unpopular', 'popular')",0.28857657,0.49458554,0.270535,0.34702128,-0.16847011,-0.0232106,-0.017431453,-0.024885356,-0.1096562,-0.0655713,-0.0440849
5,-0.9170582,-1.257035,"('distant', 'outgoing')",0.45966053,0.38991228,0.83573985,1.0591525,-0.6704725,-0.9026371,-0.068343595,0.06166742,-0.0720948,-0.129788,0.0576932
63,0.91016734,0.7438237,"('unperceptive', 'insightful')",0.15586472,0.2605744,1.3590761,1.0045078,0.9146579,0.6707387,0.75464976,0.6236594,0.8188831,0.6606608,0.1582223
82,0.8969158,0.86909133,"('poor', 'rich')",-0.52318424,-0.33567226,0.27095786,0.5082446,-0.08011341,-0.18198505,6.432375,6.621976,1.3993902,1.4963309,-0.0969407
62,0.89542586,0.5743425,"('incompetent', 'brilliant')",0.5634805,0.4505287,-0.88871306,-1.5287917,0.7883116,0.5734371,-0.05363553,-0.267265,0.2609739,-0.0395497,0.3005236
13,0.8877124,0.73986083,"('impolite', 'polite')",0.24621296,0.17220274,-0.46183556,-1.0844604,1.4397272,1.3188163,0.4536935,0.2018344,0.5131021,0.2696508,0.2434513
24,-0.87906635,-0.722892,"('dishonest', 'honest')",-0.2863618,-0.3492911,-0.91962737,-1.0565045,-0.48569387,-0.6870119,0.7804621,0.8796897,-0.3580575,-0.387202,0.0291445
59,-0.8475069,-1.1052197,"('foolish', 'wise')",0.092338115,0.33631366,1.376616,1.3654038,-0.48105663,-0.43658355,-0.15259272,-0.03027524,-0.0024404,0.0259278,-0.0283682
