,huntington_male,huntington_female,tuple,bancshares_male,bancshares_female,inc_male,inc_female,average_male,average_female,male-female
7,2.124183,1.9655237,"('insensitive', 'sensitive')",-0.6190762,-0.56973827,0.9647255,0.86473215,0.8232774,0.7535059,0.0697715
35,-1.8831024,-1.6688274,"('corrupt', 'incorrupt')",0.55164635,0.4633872,-0.6192349,-0.4841087,-0.6502303,-0.563183,-0.0870473
44,-1.8258195,-1.5603908,"('prejudiced', 'unprejudiced')",0.43689084,0.5023721,-1.7039225,-1.5031359,-1.0309504,-0.8537182,-0.1772322
10,1.6073996,1.3142053,"('unsympathetic', 'sympathetic')",-1.5258356,-1.5871714,0.28832677,0.12612292,0.1232969,-0.0489477,0.1722446
12,1.5745784,1.4352099,"('unsupportive', 'supportive')",-0.7422842,-0.78845996,-1.2284018,-1.417479,-0.1320359,-0.2569097,0.1248738
31,-1.5728023,-1.7034937,"('evil', 'good')",0.050270934,-0.08897126,-1.1044537,-1.2101802,-0.8756617,-1.0008817,0.12522
60,1.5495391,1.4557273,"('inefficient', 'efficient')",-0.38163936,-0.14317198,0.20869222,0.25759876,0.458864,0.5233847,-0.0645207
39,1.547656,1.5325385,"('exploitative', 'cooperative')",1.147169,1.1737287,0.28295884,0.3479534,0.9925946,1.0180736,-0.025479
23,1.5057579,1.5874138,"('insincere', 'sincere')",-1.766124,-1.6946735,5.263303,5.4986305,1.6676456,1.7971236,-0.129478
40,1.4943228,1.234238,"('stingy', 'generous')",-0.25716278,-0.36468732,-1.0187552,-1.1722959,0.0728016,-0.1009151,0.1737167
4,-1.4805624,-1.5347112,"('disliked', 'liked')",0.4814751,0.40776286,-5.9169908,-6.190392,-2.3053594,-2.4391135,0.1337541
69,-1.4680071,-1.3469945,"('lazy', 'industrious')",2.033214,1.9104123,-0.7637717,-0.79045975,-0.0661882,-0.0756807,0.0094925
5,-1.4515316,-1.3668884,"('distant', 'outgoing')",-0.9130688,-0.9468645,-0.7547765,-0.69605315,-1.0397923,-1.0032687,-0.0365236
6,-1.4502894,-1.4783305,"('distant', 'open')",-0.59202325,-0.73396266,0.14830743,0.12962706,-0.6313351,-0.6942221,0.062887
79,-1.4403902,-1.4753414,"('wavering', 'unwavering')",-0.69050807,-0.8448977,-0.1879621,-0.19019873,-0.7729534,-0.8368126,0.0638592
74,1.4140958,1.2645499,"('undedicated', 'dedicated')",0.067774095,0.1764512,0.5433223,0.45470136,0.6750641,0.6319008,0.0431633
27,1.4060688,1.3202516,"('hardhearted', 'softhearted')",-0.64722234,-0.78144634,1.7194594,1.5388017,0.8261019,0.6925356,0.1335663
70,1.3345791,1.02901,"('lethargic', 'energetic')",-0.8624504,-0.84663635,0.7050167,0.64965,0.3923818,0.2773412,0.1150406
36,-1.2695175,-1.0926021,"('hostile', 'amicable')",0.20515674,-0.069445975,-0.041208424,0.016710967,-0.3685231,-0.381779,0.0132559
46,1.1510965,0.9600084,"('uncompetitive', 'competitive')",-0.4385141,-0.38199356,-0.22015394,-0.3428462,0.1641428,0.0783895,0.0857533
26,1.1505282,1.174237,"('hardhearted', 'benevolent')",0.19706729,0.14884865,1.82461,1.8537836,1.0574018,1.0589565,-0.0015547
81,1.1380621,1.0216163,"('submissive', 'aggressive')",0.03051403,0.08580669,-0.3994403,-0.5058867,0.2563786,0.2005121,0.0558665
71,1.1213135,1.1568428,"('diffident', 'self-confident')",0.20353323,0.22917913,0.5526463,0.5248413,0.625831,0.6369544,-0.0111234
50,-1.0929891,-0.88587034,"('clumsy', 'skillful')",0.31064886,0.39632204,0.14170584,0.21381393,-0.2135448,-0.0919115,-0.1216333
72,1.0831524,0.8903769,"('unambitious', 'ambitious')",-1.1699216,-1.1292392,-1.0243795,-0.98675966,-0.3703829,-0.4085406,0.0381577
24,1.0716333,0.78635937,"('dishonest', 'honest')",-0.71622026,-0.741529,0.8177448,0.75287426,0.3910526,0.2659015,0.1251511
16,-1.0100105,-0.9448791,"('unpopular', 'popular')",-0.40105712,-0.2890557,0.19351518,0.28668007,-0.4058508,-0.3157516,-0.0900992
55,0.94955736,0.83644533,"('incompetent', 'clever')",-0.98668224,-0.86947066,0.41628075,0.36254123,0.1263853,0.1098386,0.0165467
9,0.9101455,0.8592867,"('unaffectionate', 'caring')",-1.7106102,-1.7562696,1.1586277,1.0754528,0.1193877,0.05949,0.0598977
59,-0.90399534,-0.89119625,"('foolish', 'wise')",0.53017986,0.44401118,0.13503575,0.13779525,-0.0795932,-0.1031299,0.0235367
3,0.90287566,0.8242055,"('repellent', 'pleasant')",-0.052052688,-0.061819658,0.39433697,0.34761685,0.4150533,0.3700009,0.0450524
30,0.9016827,0.8825216,"('intolerant', 'tolerant')",-0.73351645,-0.60202277,0.8835211,1.0084543,0.3505624,0.4296511,-0.0790887
78,-0.89821374,-0.80446965,"('nonresilient', 'resilient')",-0.9501365,-1.0269685,0.52701145,0.47337455,-0.4404463,-0.4526878,0.0122415
15,-0.8245045,-0.8935212,"('boring', 'funny')",-0.0044106506,-0.08881191,0.19253896,0.11981255,-0.2121254,-0.2875069,0.0753815
18,0.7438659,0.828989,"('disagreeable', 'welcoming')",-0.9925792,-0.92861915,-0.44589496,-0.38858017,-0.2315361,-0.1627368,-0.0687993
37,0.733972,0.7905893,"('fake', 'genuine')",-0.33318985,-0.36814356,0.26367098,0.24538213,0.2214844,0.2226093,-0.0011249
14,0.7321165,0.70645463,"('antisocial', 'social')",0.1208751,0.22028956,-0.6855272,-0.6238612,0.0558215,0.100961,-0.0451395
53,0.71283174,0.5919239,"('uncreative', 'creative')",-0.9473081,-1.0307734,1.1052724,1.1137166,0.2902653,0.2249557,0.0653096
48,0.69531095,0.5489072,"('unintelligent', 'intelligent')",-1.7938882,-1.7726551,0.9961007,0.9438746,-0.0341588,-0.0932911,0.0591323
20,0.6726024,0.9307753,"('rough', 'thoughtful')",-0.012589868,0.006020561,1.3222175,1.4716077,0.6607433,0.8028011,-0.1420578
65,0.67124057,0.70844305,"('insecure', 'secure')",0.009449478,0.053818196,-0.03781957,0.030065395,0.2142902,0.2641089,-0.0498187
86,0.6671389,0.2483733,"('uninfluential', 'influential')",-1.7589326,-1.7641917,0.2503753,-0.024382297,-0.2804728,-0.5134003,0.2329275
43,0.6613266,0.61056876,"('irresponsible', 'responsible')",-1.106163,-1.040628,0.56499964,0.62287825,0.0400544,0.064273,-0.0242186
57,0.6228601,0.2324521,"('unimaginative', 'imaginative')",-1.0326912,-1.1830202,-1.7994341,-2.1096919,-0.7364217,-1.0200867,0.283665
21,0.61874145,0.7289865,"('immoral', 'moral')",0.2227248,0.24178256,-0.5710089,-0.5504388,0.0901524,0.1401101,-0.0499577
63,0.6149685,0.566216,"('unperceptive', 'insightful')",-0.07897936,0.012051005,1.5642369,1.4949126,0.7000753,0.6910599,0.0090154
0,0.6076884,0.41244707,"('unsociable', 'sociable')",-0.50336426,-0.55083126,-0.05969522,-0.17926143,0.0148763,-0.1058819,0.1207582
41,0.5870788,0.4860806,"('unforgiving', 'forgiving')",-0.07533342,-0.08922352,0.49172795,0.4056303,0.3344911,0.2674958,0.0669953
66,-0.58534986,-0.71947575,"('inactive', 'active')",0.35271215,0.12286131,0.9444353,0.7534551,0.2372659,0.0522802,0.1849857
64,-0.5825715,-0.5340313,"('shy', 'confident')",0.60767037,0.57814837,-6.19942,-6.329356,-2.0581071,-2.0950797,0.0369726
87,0.580358,0.68164897,"('unsuccessful', 'successful')",0.7865167,0.8541351,0.55994433,0.57984984,0.642273,0.7052113,-0.0629383
61,0.5699593,0.52093184,"('illogical', 'logical')",-0.5345967,-0.54686546,0.43088832,0.47387654,0.155417,0.1493143,0.0061027
22,0.53924084,0.18155336,"('untrustworthy', 'trustworthy')",-0.002717534,-0.017275963,-0.7494253,-0.8842598,-0.0709673,-0.2399941,0.1690268
49,-0.53801477,-0.56398314,"('unable', 'able')",-0.73710954,-0.6465642,-0.3573888,-0.30974254,-0.544171,-0.5067633,-0.0374077
56,0.5010295,0.40547553,"('impractical', 'practical')",0.008601859,0.030627154,-0.25645155,-0.2234958,0.0843933,0.070869,0.0135243
29,-0.47930965,-0.5489696,"('unfair', 'fair')",-0.08972894,-0.2322186,-0.3136966,-0.44245344,-0.294245,-0.4078805,0.1136355
52,-0.47623372,-0.44171673,"('irrational', 'rational')",-0.3046847,-0.473374,-0.10936443,-0.18299654,-0.296761,-0.3660291,0.0692681
