,cisco_male,cisco_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,male-female
85,3.6393838,3.7930377,"('insignificant', 'prestigious')",1.3292544,1.4512169,-0.009587765,0.17925003,1.6530169,1.8078349,-0.154818
1,3.3208745,3.3043115,"('unfriendly', 'friendly')",0.54450357,0.79998136,1.4350424,1.4271644,1.7668068,1.8438191,-0.0770123
6,3.1684754,3.2880278,"('distant', 'open')",-0.06166456,0.16305134,-0.15753944,-0.1683223,0.9830905,1.0942523,-0.1111618
71,2.7993064,2.665003,"('diffident', 'self-confident')",0.5479712,0.6855915,0.43215293,0.3373019,1.2598102,1.2292988,0.0305114
5,2.6186702,2.6997073,"('distant', 'outgoing')",-0.1598726,-0.0040837713,-0.71068776,-0.73587,0.5827033,0.6532511,-0.0705478
70,-2.5958319,-2.7072349,"('lethargic', 'energetic')",-1.7533386,-1.7444736,0.7502459,0.5257113,-1.1996415,-1.3086657,0.1090242
10,-2.509319,-2.6036835,"('unsympathetic', 'sympathetic')",-1.7138449,-1.7943124,-0.13042532,-0.2584131,-1.4511965,-1.5521364,0.1009399
36,2.4836066,2.8115466,"('hostile', 'amicable')",0.09340841,0.47818708,-0.049171925,0.1438386,0.8426143,1.1445241,-0.3019098
33,2.357883,2.4122596,"('wrong', 'right')",0.6923795,0.81563693,-0.54074055,-0.55141747,0.8365073,0.8921596,-0.0556523
59,2.3240955,2.4062123,"('foolish', 'wise')",-0.010762025,0.18638325,-0.19323759,-0.22955322,0.7066987,0.7876808,-0.0809821
26,2.3158035,2.5599153,"('hardhearted', 'benevolent')",-0.48882556,-0.12597865,0.96469736,1.1625441,0.9305584,1.1988269,-0.2682685
81,-2.3049212,-2.3894517,"('submissive', 'aggressive')",-1.3259526,-1.3243104,-0.3837424,-0.53023845,-1.3382053,-1.414667,0.0764617
3,-2.2923136,-2.252113,"('repellent', 'pleasant')",0.5118801,0.30004305,0.40435886,0.23470357,-0.4586915,-0.5724555,0.113764
64,-2.2738445,-2.1772892,"('shy', 'confident')",-0.6578316,-0.60605025,-6.021465,-6.0728745,-2.9843804,-2.9520715,-0.0323089
60,-2.157324,-2.269314,"('inefficient', 'efficient')",-0.0018408448,-0.19045459,0.42496866,0.24056478,-0.5780654,-0.7397346,0.1616692
76,-2.1130364,-2.166507,"('anxious', 'daring')",-1.7507524,-1.9708098,0.45445794,0.40627223,-1.1364436,-1.2436815,0.1072379
80,-2.0432405,-2.0088694,"('dominated', 'dominating')",-0.35496828,-0.57357293,-0.68133247,-0.8632687,-1.0265137,-1.1485703,0.1220566
45,-2.0141077,-1.8333385,"('incompetent', 'competent')",-1.4010148,-1.3377359,-0.21835053,-0.3520614,-1.2111576,-1.1743786,-0.036779
52,1.9982117,2.2634246,"('irrational', 'rational')",0.17533341,0.55601424,-0.67915696,-0.527835,0.4981294,0.763868,-0.2657386
42,-1.9236213,-1.8301867,"('unreliable', 'reliable')",-2.0266948,-1.9503206,-3.2012544,-3.2114534,-2.3838568,-2.3306535,-0.0532033
46,-1.8724122,-2.02982,"('uncompetitive', 'competitive')",0.6806593,0.31127107,0.0036871731,-0.1940042,-0.3960219,-0.6375177,0.2414958
31,1.8610531,2.203365,"('evil', 'good')",0.20636483,0.57313657,-1.2453295,-1.1520058,0.2740295,0.5414986,-0.2674691
25,1.8158472,1.8541989,"('egoistic', 'altruistic')",0.8380934,0.9109176,1.427188,1.5102329,1.3603762,1.4251165,-0.0647403
69,1.7772406,1.9189516,"('lazy', 'industrious')",0.76903147,0.84565765,-1.1009117,-1.1336765,0.4817868,0.5436443,-0.0618575
43,-1.7601385,-1.9807012,"('irresponsible', 'responsible')",-2.2970436,-2.1896124,0.1055019,-0.163926,-1.3172268,-1.4447467,0.1275199
44,-1.7557288,-1.6977974,"('prejudiced', 'unprejudiced')",-0.61322385,-0.5921985,-1.324357,-1.3690974,-1.2311033,-1.2196978,-0.0114055
9,1.7528695,1.6041768,"('unaffectionate', 'caring')",-0.2758196,-0.13887112,0.94263345,0.8494858,0.8065611,0.7715971,0.034964
84,1.7500892,1.7248261,"('inferior', 'superior')",-0.21167164,-0.0065226452,0.83997005,0.8678734,0.7927959,0.862059,-0.0692631
57,-1.6686546,-1.4982308,"('unimaginative', 'imaginative')",-1.6914023,-1.586734,-2.384493,-2.4314156,-1.9148499,-1.8387934,-0.0760565
55,-1.6439369,-1.7641691,"('incompetent', 'clever')",-1.0197337,-1.1248999,0.51648486,0.2507826,-0.7157286,-0.8794289,0.1637003
21,-1.5722026,-1.5194762,"('immoral', 'moral')",-0.3441898,-0.47187683,-0.6092333,-0.7818872,-0.8418752,-0.9244134,0.0825382
13,-1.4906235,-1.429232,"('impolite', 'polite')",-0.80188704,-0.77725077,0.064615294,0.17693639,-0.7426318,-0.6765155,-0.0661163
65,-1.4816585,-1.4704305,"('insecure', 'secure')",-0.052946135,-0.15250677,0.20514105,0.042860407,-0.4431545,-0.5266923,0.0835378
19,1.452242,1.5731854,"('inhospitable', 'hospitable')",-0.5225612,-0.38209802,-0.2816314,-0.16995046,0.2160165,0.340379,-0.1243625
77,-1.3321534,-1.2725322,"('unmotivated', 'motivated')",-0.109135464,-0.29024273,-1.0394202,-1.1747638,-0.826903,-0.9125129,0.0856099
37,-1.3008518,-1.3354363,"('fake', 'genuine')",-0.9468205,-0.9751162,0.60270905,0.34922835,-0.5483211,-0.6537747,0.1054536
73,1.2882131,1.3685036,"('helpless', 'self-reliant')",-0.2602874,-0.01914028,-3.1752777,-3.1035686,-0.715784,-0.5847351,-0.1310489
53,1.2861265,1.4248544,"('uncreative', 'creative')",0.43085673,0.458671,0.74002373,0.8471595,0.8190023,0.9102283,-0.091226
56,-1.2859809,-1.390788,"('impractical', 'practical')",-1.2713683,-1.2271723,-0.22675692,-0.18286121,-0.9280353,-0.9336071,0.0055718
0,-1.2568746,-1.3221432,"('unsociable', 'sociable')",-0.78786045,-0.75738275,-0.16449267,-0.29050747,-0.7364092,-0.7900112,0.053602
8,1.2296453,1.1920322,"('unaffectionate', 'affectionate')",-0.9572693,-0.6924052,0.17578818,0.09736024,0.149388,0.1989957,-0.0496077
62,-1.2218277,-1.2958279,"('incompetent', 'brilliant')",-0.18044022,-0.35614055,0.23457824,0.05280579,-0.3892299,-0.5330542,0.1438243
61,1.2201496,1.3249925,"('illogical', 'logical')",0.81926185,0.97869086,0.3346286,0.27223027,0.7913467,0.8586378,-0.0672911
72,-1.194633,-1.1615071,"('unambitious', 'ambitious')",-2.1764307,-2.043266,-0.9398376,-1.0402383,-1.4369671,-1.4150038,-0.0219633
79,1.154112,1.3230182,"('wavering', 'unwavering')",-0.08543939,-0.02797341,-0.34525573,-0.20932145,0.2411389,0.3619078,-0.1207689
14,-1.1071558,-0.9623701,"('antisocial', 'social')",-0.8702887,-0.7938341,-0.66824853,-0.76359767,-0.8818977,-0.839934,-0.0419637
15,1.0933334,1.1646605,"('boring', 'funny')",-1.6315675,-1.3710822,0.23572819,0.30785945,-0.1008353,0.0338126,-0.1346479
39,1.0916901,1.2116717,"('exploitative', 'cooperative')",1.2372292,1.3672101,0.30950704,0.30712909,0.8794755,0.9620036,-0.0825281
54,1.0840274,0.9797045,"('incapable', 'capable')",-0.1940588,-0.12640986,1.1421981,0.9972003,0.6773889,0.6168316,0.0605573
22,-1.0546784,-0.92323047,"('untrustworthy', 'trustworthy')",-0.43321887,-0.3250017,-0.37320152,-0.5033535,-0.6203663,-0.5838619,-0.0365044
41,-1.0466032,-0.7876664,"('unforgiving', 'forgiving')",-1.064459,-0.73162705,0.2613133,0.24757154,-0.6165829,-0.4239073,-0.1926756
75,-0.9986242,-0.77718854,"('meek', 'impulsive')",-0.38809198,-0.31181318,-0.3355849,-0.32312116,-0.5741003,-0.4707076,-0.1033927
12,0.82674074,0.69781953,"('unsupportive', 'supportive')",-0.14750296,-0.04122401,-1.4212854,-1.6167946,-0.2473492,-0.3200664,0.0727172
51,-0.8031011,-0.7410169,"('uneducated', 'educated')",-0.5915656,-0.5080229,1.1287777,1.1257572,-0.0886296,-0.0410942,-0.0475354
35,0.76008403,0.9999081,"('corrupt', 'incorrupt')",-0.057264216,0.12008287,-0.59660125,-0.36636692,0.0354062,0.251208,-0.2158018
82,-0.6713168,-0.83822256,"('poor', 'rich')",-0.52088356,-0.6648938,5.8494544,5.6969995,1.5524181,1.397961,0.1544571
47,0.6430309,0.4837873,"('stupid', 'smart')",0.45213416,0.4185623,5.354975,5.1925774,2.1500467,2.0316423,0.1184044
7,-0.6220208,-0.6623459,"('insensitive', 'sensitive')",-0.6070166,-0.64952403,0.82284236,0.60439086,-0.1353983,-0.2358263,0.100428
74,0.6044717,0.61312735,"('undedicated', 'dedicated')",-0.29247978,-0.37423393,0.3515581,0.31137693,0.2211833,0.1834234,0.0377599
30,-0.5943343,-0.6130896,"('intolerant', 'tolerant')",-0.25026342,-0.15854132,0.618288,0.60085243,-0.0754366,-0.0569262,-0.0185104
17,-0.5913985,-0.4655808,"('nasty', 'nice')",-0.45897684,-0.38392842,-0.6356999,-0.41911402,-0.5620251,-0.4228744,-0.1391507
11,-0.59130174,-0.73908454,"('unhelpful', 'helpful')",0.3147231,0.19949622,2.3085911,2.2705503,0.6773375,0.5769873,0.1003502
68,-0.5697379,-0.53393614,"('dependent', 'independent')",0.14447,0.18253246,0.11627059,0.0027255453,-0.1029991,-0.116226,0.0132269
18,0.51191247,0.6303636,"('disagreeable', 'welcoming')",0.18962985,0.25298172,-0.45377702,-0.50445634,0.0825884,0.1262963,-0.0437079
49,-0.48843446,-0.518783,"('unable', 'able')",0.12842616,0.118884906,-0.11730684,-0.21845321,-0.159105,-0.2061171,0.0470121
2,0.4534738,0.61935985,"('unlikable', 'likable')",0.5038862,0.5951452,0.6341605,0.6063951,0.5305068,0.6069667,-0.0764599
4,0.4447408,0.5898354,"('disliked', 'liked')",-0.93156046,-0.6138465,-6.140374,-5.9213443,-2.2090646,-1.9817851,-0.2272795
34,0.4443754,0.38891503,"('mean', 'honorable')",0.6339545,0.5863023,6.0613947,6.073494,2.3799082,2.3495704,0.0303378
58,0.4402469,0.46637648,"('undiscriminating', 'discriminating')",0.07443285,0.1299643,0.18778196,0.21933965,0.2341539,0.2718935,-0.0377396
88,0.43256417,0.45920295,"('low', 'eminent')",-0.6308027,-0.60017055,-0.11062286,-0.08926335,-0.1029538,-0.0767437,-0.0262101
16,0.42564234,0.28891394,"('unpopular', 'popular')",1.1515886,0.9980549,0.66495734,0.56491315,0.7473961,0.617294,0.1301021
87,-0.31478235,-0.2938902,"('unsuccessful', 'successful')",0.6936189,0.529548,0.6587643,0.5853804,0.345867,0.2736794,0.0721876
63,-0.3102037,-0.3365462,"('unperceptive', 'insightful')",0.056248527,0.081094176,1.1828694,0.983376,0.3096381,0.2426413,0.0669968
23,-0.31001016,-0.65716517,"('insincere', 'sincere')",0.3155084,0.14497803,5.893776,5.7069144,1.9664248,1.7315758,0.234849
40,0.30889532,0.3664044,"('stingy', 'generous')",0.47907794,0.4935107,-0.9989488,-1.1207342,-0.0703252,-0.0869397,0.0166145
27,-0.27949244,-0.40736338,"('hardhearted', 'softhearted')",-0.74689937,-0.6830591,1.152388,1.0271403,0.0419987,-0.0210941,0.0630928
66,0.25140867,0.32986987,"('inactive', 'active')",-0.87294686,-0.7854307,0.76891816,0.6447626,0.0491267,0.0630672,-0.0139405
83,0.23446506,0.37906355,"('powerless', 'powerful')",0.15197736,0.3747186,-0.61206967,-0.6097902,-0.0752091,0.0479973,-0.1232064
29,-0.22510508,-0.22622804,"('unfair', 'fair')",0.12713397,0.11578199,-0.39279985,-0.55921626,-0.1635903,-0.2232208,0.0596305
28,0.21539274,0.14632066,"('disloyal', 'loyal')",-0.8141321,-0.76824856,0.8512882,0.7641917,0.0841829,0.0474213,0.0367616
