,nordstrom_male,nordstrom_female,tuple,inc_male,inc_female,average_male,average_female,male-female
57,-2.051956,-1.5856568,"('unimaginative', 'imaginative')",-2.872993,-2.6900234,-2.4624743,-2.13784,-0.3246343
10,-1.9253377,-1.717476,"('unsympathetic', 'sympathetic')",-0.41596365,-0.6255445,-1.1706507,-1.1715102,0.0008595
86,-1.5771155,-1.1410385,"('uninfluential', 'influential')",-0.5256645,-0.3815267,-1.0513901,-0.7612826,-0.2901075
69,1.5118091,1.125373,"('lazy', 'industrious')",-0.70919275,-0.47992715,0.4013082,0.3227229,0.0785853
22,-1.5095441,-1.1535195,"('untrustworthy', 'trustworthy')",-1.1719317,-1.1284547,-1.3407379,-1.1409872,-0.1997507
39,1.4591888,1.375937,"('exploitative', 'cooperative')",0.2112632,0.3076585,0.835226,0.8417977,-0.0065717
24,-1.3189222,-1.0812413,"('dishonest', 'honest')",0.25328675,0.32306287,-0.5328177,-0.3790892,-0.1537285
45,-1.266211,-0.5798675,"('incompetent', 'competent')",-0.29771206,-0.2780414,-0.7819616,-0.4289544,-0.3530072
70,-1.1417457,-0.6490498,"('lethargic', 'energetic')",0.49645504,0.4782269,-0.3226453,-0.0854115,-0.2372338
1,-1.1299995,-1.0510175,"('unfriendly', 'friendly')",1.5308299,1.9650434,0.2004152,0.457013,-0.2565978
51,-1.1015693,-0.6397645,"('uneducated', 'educated')",0.07772872,0.1937058,-0.5119203,-0.2230293,-0.288891
21,-1.0762938,-1.2640666,"('immoral', 'moral')",-0.57971334,-1.0857307,-0.8280036,-1.1748986,0.346895
53,-1.0204345,-0.91487014,"('uncreative', 'creative')",0.42267987,0.6911606,-0.2988773,-0.1118548,-0.1870225
71,0.9613526,0.78592217,"('diffident', 'self-confident')",0.5037634,0.7151726,0.732558,0.7505474,-0.0179894
27,-0.94361305,-0.7287537,"('hardhearted', 'softhearted')",1.245627,1.3601968,0.151007,0.3157216,-0.1647146
3,-0.94017965,-0.793034,"('repellent', 'pleasant')",0.37904164,0.007109482,-0.280569,-0.3929623,0.1123933
4,-0.9339828,-0.62966746,"('disliked', 'liked')",-7.01321,-6.673839,-3.9735963,-3.6517532,-0.3218431
11,-0.91151047,-0.8148604,"('unhelpful', 'helpful')",1.3488333,1.46621,0.2186614,0.3256748,-0.1070134
12,-0.8577778,-0.51737225,"('unsupportive', 'supportive')",-2.050734,-1.7737219,-1.4542559,-1.1455472,-0.3087087
7,-0.8509558,-0.6760341,"('insensitive', 'sensitive')",0.31884503,0.6258817,-0.2660554,-0.0250762,-0.2409792
31,-0.8161453,-0.7503089,"('evil', 'good')",-0.88715905,-0.7220285,-0.8516521,-0.7361687,-0.1154834
75,-0.8024932,-0.67227083,"('meek', 'impulsive')",-0.49051633,-0.44249672,-0.6465048,-0.5573838,-0.089121
13,-0.7355089,-0.4947026,"('impolite', 'polite')",-0.7044785,-0.7990427,-0.7199937,-0.6468726,-0.0731211
48,-0.73076475,-0.32460696,"('unintelligent', 'intelligent')",0.2631602,0.38350084,-0.2338023,0.0294469,-0.2632492
17,-0.7190697,-0.6874082,"('nasty', 'nice')",-0.7296873,-0.74777234,-0.7243785,-0.7175903,-0.0067882
33,0.717341,0.55125964,"('wrong', 'right')",-0.7724089,-0.51366556,-0.0275339,0.018797,-0.0463309
29,-0.7058494,-0.7644439,"('unfair', 'fair')",-0.7073645,-0.6451042,-0.706607,-0.704774,-0.001833
72,-0.69346976,-0.5004701,"('unambitious', 'ambitious')",-0.9092651,-0.74391603,-0.8013674,-0.6221931,-0.1791743
41,-0.6740301,-0.2706414,"('unforgiving', 'forgiving')",-0.070737116,-0.31201154,-0.3723836,-0.2913265,-0.0810571
81,-0.6688069,-0.5710325,"('submissive', 'aggressive')",-0.6413469,-0.9493676,-0.6550769,-0.7602,0.1051231
