,wyeth_male,wyeth_female,tuple,average_male,average_female,male-female
10,-2.4405172,-2.4388645,"('unsympathetic', 'sympathetic')",-2.4405172,-2.4388645,-0.0016527
64,-2.388265,-2.4471774,"('shy', 'confident')",-2.3882649,-2.4471774,0.0589125
81,-2.2164621,-2.1446393,"('submissive', 'aggressive')",-2.2164621,-2.1446393,-0.0718228
57,-2.1480165,-2.319687,"('unimaginative', 'imaginative')",-2.1480165,-2.3196869,0.1716704
45,-2.010704,-2.0679781,"('incompetent', 'competent')",-2.010704,-2.0679781,0.0572741
46,-1.9589974,-1.9521952,"('uncompetitive', 'competitive')",-1.9589974,-1.9521952,-0.0068022
77,-1.9573338,-2.2248218,"('unmotivated', 'motivated')",-1.9573338,-2.2248218,0.267488
14,-1.8223168,-1.6927303,"('antisocial', 'social')",-1.8223168,-1.6927303,-0.1295865
70,-1.8155574,-1.7865741,"('lethargic', 'energetic')",-1.8155574,-1.7865741,-0.0289833
34,1.786981,2.0582318,"('mean', 'honorable')",1.786981,2.0582318,-0.2712508
0,-1.7657677,-1.7830577,"('unsociable', 'sociable')",-1.7657677,-1.7830577,0.01729
28,-1.6830539,-1.7266697,"('disloyal', 'loyal')",-1.6830539,-1.7266697,0.0436158
55,-1.6804458,-1.7370629,"('incompetent', 'clever')",-1.6804458,-1.7370629,0.0566171
22,-1.6602186,-1.9262495,"('untrustworthy', 'trustworthy')",-1.6602186,-1.9262495,0.2660309
36,1.6343342,1.7193294,"('hostile', 'amicable')",1.6343342,1.7193294,-0.0849952
21,-1.6167042,-1.7170169,"('immoral', 'moral')",-1.6167042,-1.7170169,0.1003127
85,1.5940099,1.9888002,"('insignificant', 'prestigious')",1.5940099,1.9888002,-0.3947903
86,-1.5260946,-1.1932511,"('uninfluential', 'influential')",-1.5260946,-1.1932511,-0.3328435
43,-1.4986202,-1.653408,"('irresponsible', 'responsible')",-1.4986202,-1.6534081,0.1547879
13,-1.4517806,-1.6276388,"('impolite', 'polite')",-1.4517806,-1.6276388,0.1758582
60,-1.4481007,-1.7339041,"('inefficient', 'efficient')",-1.4481007,-1.7339041,0.2858034
3,-1.4460495,-1.5016481,"('repellent', 'pleasant')",-1.4460495,-1.5016481,0.0555986
42,-1.4129056,-1.3707876,"('unreliable', 'reliable')",-1.4129056,-1.3707876,-0.042118
