,honeywell_male,honeywell_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
69,1.5129693,1.5289034,"('lazy', 'industrious')",1.4067674,1.6516908,0.13522254,0.26494437,1.0183197,1.1485128,-0.1301931
57,-1.4613246,-1.7015554,"('unimaginative', 'imaginative')",-0.37092432,-0.48296937,-2.3596752,-2.5379703,-1.397308,-1.574165,0.176857
10,-1.419485,-1.4924198,"('unsympathetic', 'sympathetic')",-0.57302535,-0.802562,-0.55976987,-0.8989603,-0.8507601,-1.0646474,0.2138873
3,-1.2569193,-1.2140734,"('repellent', 'pleasant')",-0.14875096,-0.3158525,0.013084903,-0.041694645,-0.4641951,-0.5238735,0.0596784
33,1.1822823,0.9915666,"('wrong', 'right')",0.7926971,0.55863506,-0.0002983585,-0.22123325,0.658227,0.4429895,0.2152375
77,-1.1712141,-1.1600889,"('unmotivated', 'motivated')",-0.14592591,-0.20633584,-1.1625273,-1.228152,-0.8265557,-0.8648589,0.0383032
70,-1.1622679,-1.1605234,"('lethargic', 'energetic')",0.38858265,0.3423811,0.4007942,0.46413505,-0.124297,-0.1180024,-0.0062946
39,1.1049072,1.2049916,"('exploitative', 'cooperative')",1.138455,1.0744112,0.09346342,0.102193296,0.7789419,0.7938654,-0.0149235
86,-1.093881,-1.4188017,"('uninfluential', 'influential')",-0.13467446,-0.39945224,-0.5301026,-0.893782,-0.5862194,-0.904012,0.3177926
82,-1.0722065,-0.93500865,"('poor', 'rich')",-1.0420868,-0.68653166,5.3567276,5.6578045,1.0808114,1.3454215,-0.2646101
53,-1.0533514,-1.1773953,"('uncreative', 'creative')",-0.14453027,-0.19457145,0.82435286,0.69739646,-0.1245096,-0.2248568,0.1003472
71,1.0246505,1.1530031,"('diffident', 'self-confident')",0.68548876,0.84942985,0.5601005,0.4969047,0.7567466,0.8331125,-0.0763659
72,-1.0208416,-1.1212883,"('unambitious', 'ambitious')",-0.03307657,-0.3311658,-1.0990115,-1.3357654,-0.7176433,-0.9294065,0.2117632
43,-0.9364008,-0.8587672,"('irresponsible', 'responsible')",0.2724417,0.0990365,0.20171331,0.189803,-0.1540819,-0.1899759,0.035894
