,bath_male,bath_female,tuple,&_male,&_female,body_male,body_female,works_male,works_female,inc_male,inc_female,average_male,average_female,male-female
71,1.8486074,1.8599951,"('diffident', 'self-confident')",0.5441731,0.41713738,1.962725,1.9586321,-0.067380875,-0.15142272,0.22438344,0.13626671,0.9025016,0.8441217,0.0583799
26,1.7383642,1.6228449,"('hardhearted', 'benevolent')",1.2614712,1.0825617,0.64440954,0.5494926,0.039585292,-0.083009735,1.5254043,1.3957036,1.0418469,0.9135186,0.1283283
20,-1.6495173,-1.5650808,"('rough', 'thoughtful')",-0.62725353,-0.436791,-0.46746773,-0.281137,-0.38761565,-0.27973074,0.9880236,1.063933,-0.4287662,-0.2997613,-0.1290049
3,-1.640315,-1.5461377,"('repellent', 'pleasant')",-0.8359636,-0.8520386,-0.08807905,-0.03734289,0.5416429,0.62560403,0.16505693,0.19551721,-0.3715316,-0.3228796,-0.048652
56,1.6092871,1.4851328,"('impractical', 'practical')",0.34609726,0.19893588,1.5775151,1.4545171,2.2843125,2.2659273,0.23057765,0.2511107,1.2095579,1.1311248,0.0784331
77,-1.605299,-1.3867121,"('unmotivated', 'motivated')",-1.2387875,-1.2367544,-0.74169874,-0.7228355,-0.07181091,0.012131663,-0.8503573,-0.779515,-0.9015907,-0.8227371,-0.0788536
42,1.5458716,1.5306302,"('unreliable', 'reliable')",1.296505,1.3877459,0.83033156,1.01973,-0.012366071,0.12785068,-2.651682,-2.3198926,0.2017321,0.3492128,-0.1474807
73,1.422421,1.4123683,"('helpless', 'self-reliant')",1.2492163,1.3386922,2.3143969,2.266263,0.24211296,0.27995163,-3.350182,-3.2285614,0.3755931,0.4137427,-0.0381496
6,1.3641005,1.4774837,"('distant', 'open')",0.5448077,0.55781555,0.7072117,0.89162225,-1.6797693,-1.6764338,0.3884415,0.3407429,0.2649584,0.3182461,-0.0532877
9,1.3615417,1.4306918,"('unaffectionate', 'caring')",-0.49811244,-0.59685755,0.6201486,0.5541169,-0.49340355,-0.6170274,1.1459019,1.0213257,0.4272153,0.3584499,0.0687654
14,1.3268875,1.0903199,"('antisocial', 'social')",0.7564247,0.5229179,-0.35147125,-0.3617227,0.98100483,1.0201159,-0.58267605,-0.70983124,0.426034,0.31236,0.113674
15,1.3210263,1.2988739,"('boring', 'funny')",0.6817917,0.66149443,1.0312525,0.99075377,-0.64695585,-0.61233187,0.53995955,0.61447346,0.5854148,0.5906528,-0.005238
8,1.2414385,1.301584,"('unaffectionate', 'affectionate')",-0.8688949,-0.8761153,-0.047760464,0.061077915,-1.6689663,-1.7606157,0.27884525,0.2467142,-0.2130676,-0.205471,-0.0075966
5,1.1996037,1.2413129,"('distant', 'outgoing')",0.567803,0.68696934,1.2516587,1.4771322,-1.1538736,-1.0743566,-0.025343373,-0.053553257,0.3679697,0.4555009,-0.0875312
12,1.1847693,1.3201854,"('unsupportive', 'supportive')",0.63147646,0.7002156,1.2048191,1.2657534,0.5196143,0.60566574,-1.4822485,-1.4302034,0.4116861,0.4923233,-0.0806372
74,1.0940324,1.0571084,"('undedicated', 'dedicated')",0.99626285,0.97433496,1.0049447,0.9784861,0.7148688,0.78284997,0.18888897,0.28960463,0.7997996,0.8164768,-0.0166772
29,1.0804203,1.1126462,"('unfair', 'fair')",0.6424072,0.6245747,0.45926452,0.43440756,-0.9057806,-1.0138636,-0.58030605,-0.7245838,0.1392011,0.0866362,0.0525649
