,jabil_male,jabil_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.188697,-2.1098385,"('unfriendly', 'friendly')",0.8276193,1.1452101,-0.6805389,-0.4823142,-0.1982247
86,-2.0944633,-1.7779527,"('uninfluential', 'influential')",-0.18526103,-0.17249411,-1.1398622,-0.9752234,-0.1646388
9,-1.8032154,-1.5723906,"('unaffectionate', 'caring')",0.53011537,0.87133104,-0.63655,-0.3505298,-0.2860202
10,-1.7578329,-1.1972489,"('unsympathetic', 'sympathetic')",0.20298594,0.11525378,-0.7774235,-0.5409976,-0.2364259
53,-1.6315879,-1.507432,"('uncreative', 'creative')",0.4817124,0.47933075,-0.5749377,-0.5140506,-0.0608871
23,-1.5086701,-1.4280303,"('insincere', 'sincere')",5.9000444,5.6636887,2.1956873,2.1178293,0.077858
59,1.453914,1.0798787,"('foolish', 'wise')",0.21072774,0.34763366,0.8323209,0.7137562,0.1185647
77,-1.4469588,-1.0548337,"('unmotivated', 'motivated')",-0.57750136,-0.6345534,-1.01223,-0.8446935,-0.1675365
8,-1.355852,-1.3557091,"('unaffectionate', 'affectionate')",0.011357235,0.37627354,-0.6722474,-0.4897178,-0.1825296
57,-1.2888283,-0.9004018,"('unimaginative', 'imaginative')",-2.7409697,-2.6083767,-2.014899,-1.7543893,-0.2605097
71,-1.1675717,-1.1820061,"('diffident', 'self-confident')",-0.1638637,0.151716,-0.6657177,-0.5151451,-0.1505726
44,1.1394814,0.78755337,"('prejudiced', 'unprejudiced')",-1.7136298,-1.6684768,-0.2870742,-0.4404617,0.1533875
0,-1.0697217,-1.0751299,"('unsociable', 'sociable')",-0.27713028,-0.3475639,-0.673426,-0.7113469,0.0379209
63,-1.0429131,-0.769735,"('unperceptive', 'insightful')",1.3742933,1.3402399,0.1656901,0.2852525,-0.1195624
6,-1.0289636,-1.1091906,"('distant', 'open')",-0.16062967,0.060917564,-0.5947966,-0.5241365,-0.0706601
72,-0.9814429,-0.80470395,"('unambitious', 'ambitious')",-0.9375704,-0.7885653,-0.9595066,-0.7966346,-0.162872
3,-0.9627242,-0.42694655,"('repellent', 'pleasant')",0.020024262,-0.07173936,-0.47135,-0.2493429,-0.2220071
28,-0.9254377,-0.6141527,"('disloyal', 'loyal')",0.97613657,0.94450647,0.0253494,0.1651769,-0.1398275
46,-0.92339253,-0.51934314,"('uncompetitive', 'competitive')",0.03236264,-0.12756866,-0.4455149,-0.3234559,-0.122059
34,-0.912072,-0.6900999,"('mean', 'honorable')",6.0786686,5.983725,2.5832982,2.6468127,-0.0635145
48,-0.9014086,-0.5612231,"('unintelligent', 'intelligent')",0.9446804,0.9144851,0.0216359,0.176631,-0.1549951
73,0.87696475,0.76993746,"('helpless', 'self-reliant')",-3.1641693,-2.7929895,-1.1436023,-1.011526,-0.1320763
26,-0.8547858,-1.0707719,"('hardhearted', 'benevolent')",0.633407,1.0264586,-0.1106894,-0.0221567,-0.0885327
74,-0.8401031,-0.54339874,"('undedicated', 'dedicated')",-0.15019345,-0.07819037,-0.4951483,-0.3107946,-0.1843537
11,-0.83375466,-0.8411743,"('unhelpful', 'helpful')",2.141919,2.028132,0.6540821,0.5934788,0.0606033
36,-0.8288604,-0.9195265,"('hostile', 'amicable')",-0.541807,-0.47084755,-0.6853337,-0.695187,0.0098533
7,-0.8111502,-0.20430784,"('insensitive', 'sensitive')",0.6409286,0.7285169,-0.0851108,0.2621045,-0.3472153
66,-0.7921661,-0.7290415,"('inactive', 'active')",0.59899974,0.6411592,-0.0965832,-0.0439412,-0.052642
87,0.79098207,0.56876713,"('unsuccessful', 'successful')",0.85220265,0.68530023,0.8215923,0.6270337,0.1945586
5,-0.77210325,-0.85929966,"('distant', 'outgoing')",-0.48543605,-0.24822891,-0.6287696,-0.5537643,-0.0750053
43,-0.7514658,-0.65897393,"('irresponsible', 'responsible')",0.6039679,0.7016521,-0.0737489,0.0213391,-0.095088
2,0.7443985,0.6615134,"('unlikable', 'likable')",0.3911865,0.37676245,0.5677925,0.5191379,0.0486546
31,-0.7382082,-0.65315825,"('evil', 'good')",-1.5915848,-1.4268556,-1.1648965,-1.0400069,-0.1248896
38,-0.7223166,-0.7220392,"('untruthful', 'truthful')",0.36346254,0.2965755,-0.179427,-0.2127319,0.0333049
13,-0.7094725,-0.61722916,"('impolite', 'polite')",0.15260547,0.04895083,-0.2784335,-0.2841392,0.0057057
42,0.70635104,0.9683399,"('unreliable', 'reliable')",-2.919839,-2.7844126,-1.1067439,-0.9080364,-0.1987075
50,0.67974573,0.7069452,"('clumsy', 'skillful')",0.40898785,0.47109517,0.5443668,0.5890202,-0.0446534
19,-0.668964,-0.8742444,"('inhospitable', 'hospitable')",-0.18868047,-0.2261936,-0.4288222,-0.550219,0.1213968
88,-0.6615905,-0.69091344,"('low', 'eminent')",0.46323666,0.45117435,-0.0991769,-0.1198695,0.0206926
12,-0.6592027,-0.44027027,"('unsupportive', 'supportive')",-1.8152052,-1.5213045,-1.237204,-0.9807874,-0.2564166
4,0.64133644,0.6770318,"('disliked', 'liked')",-6.4342117,-6.2242117,-2.8964376,-2.7735898,-0.1228478
32,-0.6370604,-0.60374326,"('unkind', 'kind')",0.6316761,0.7492426,-0.0026922,0.0727497,-0.0754419
29,0.6253154,0.41880557,"('unfair', 'fair')",-0.5974105,-0.55259174,0.0139525,-0.0668931,0.0808456
40,-0.601163,-0.19916905,"('stingy', 'generous')",-1.929472,-1.6761787,-1.2653174,-0.9376739,-0.3276435
84,0.5905863,0.5893565,"('inferior', 'superior')",1.0661889,1.2840317,0.8283876,0.9366941,-0.1083065
82,-0.5730287,-0.71940154,"('poor', 'rich')",6.379172,5.9707775,2.9030716,2.6256881,0.2773835
45,-0.5713729,-0.15145594,"('incompetent', 'competent')",-0.013905553,-0.051188037,-0.2926392,-0.101322,-0.1913172
