,patterson_male,patterson_female,tuple,companies_male,companies_female,inc_male,inc_female,average_male,average_female,male-female
60,4.9343987,5.310213,"('inefficient', 'efficient')",1.8262964,2.392457,-0.15194151,0.34582308,2.2029179,2.6828311,-0.4799132
36,-4.7677712,-5.090459,"('hostile', 'amicable')",-2.6729548,-2.9617045,0.10479663,-0.32910675,-2.44531,-2.7937565,0.3484465
14,4.377917,4.6466656,"('antisocial', 'social')",1.5629296,2.0762312,-0.48952606,-0.12130784,1.8171067,2.2005296,-0.3834229
56,4.2621803,4.6995935,"('impractical', 'practical')",1.4994304,2.0227237,0.07074622,0.4928002,1.9441191,2.4050392,-0.4609201
81,4.243985,4.541812,"('submissive', 'aggressive')",1.5815047,1.8188618,-0.43338925,-0.09922373,1.7973669,2.0871501,-0.2897832
10,4.2312098,4.4102488,"('unsympathetic', 'sympathetic')",1.0911067,1.1504426,0.27973276,0.3569292,1.8673496,1.9725402,-0.1051906
55,4.19539,4.401402,"('incompetent', 'clever')",1.6119031,1.6663383,0.15920696,0.23670682,1.9888334,2.1014824,-0.112649
31,-4.136727,-4.302701,"('evil', 'good')",-1.2359227,-1.4651581,-0.9151683,-1.179767,-2.0959393,-2.3158754,0.2199361
85,-4.008178,-4.409655,"('insignificant', 'prestigious')",-0.23410991,-0.88479567,0.8133446,0.24755555,-1.1429812,-1.6822983,0.5393171
35,-3.95747,-4.1723623,"('corrupt', 'incorrupt')",-2.4476845,-2.6297662,-0.52820474,-0.69108844,-2.3111197,-2.4977392,0.1866195
70,3.8919497,4.2173324,"('lethargic', 'energetic')",1.6069428,1.9709646,1.0038629,1.3858514,2.1675851,2.5247161,-0.357131
46,3.6183548,3.8761978,"('uncompetitive', 'competitive')",2.2185109,2.3310735,-0.43284458,-0.343337,1.8013403,1.9546448,-0.1533045
52,-3.579553,-3.855501,"('irrational', 'rational')",-1.051127,-1.6847557,-0.123116076,-0.5886514,-1.5845987,-2.0429694,0.4583707
6,-3.4028802,-3.472363,"('distant', 'open')",-1.5727,-1.7715726,0.5416448,0.37486872,-1.4779784,-1.6230222,0.1450438
5,-3.3086138,-3.262846,"('distant', 'outgoing')",-1.305706,-1.3650762,-0.33280474,-0.40253127,-1.6490415,-1.6768177,0.0277762
16,-3.2813368,-3.4722893,"('unpopular', 'popular')",-1.2337849,-1.5691608,0.3233766,0.10908898,-1.3972483,-1.6441204,0.2468721
80,3.268207,3.3469841,"('dominated', 'dominating')",0.8022852,0.9315718,-0.95471525,-0.8948637,1.0385923,1.1278974,-0.0893051
21,3.1716173,3.2664924,"('immoral', 'moral')",1.2910956,1.2723521,-0.65626836,-0.66165817,1.2688148,1.2923954,-0.0235806
76,3.0711694,3.2876945,"('anxious', 'daring')",1.3486403,1.7092799,0.20853262,0.61368704,1.5427809,1.8702205,-0.3274396
86,3.0331626,3.0036938,"('uninfluential', 'influential')",0.34981027,0.010161984,0.3288476,0.100249484,1.2372735,1.0380351,0.1992384
69,-3.0190618,-3.2604923,"('lazy', 'industrious')",-0.19902062,-0.51526946,-0.665503,-0.9485866,-1.2945285,-1.5747828,0.2802543
7,2.8954666,2.934772,"('insensitive', 'sensitive')",0.9584261,1.1270751,1.336026,1.299696,1.7299728,1.7871811,-0.0572083
51,2.893008,2.910817,"('uneducated', 'educated')",0.505743,0.24209711,0.20233831,0.1710801,1.2003631,1.1079981,0.092365
43,2.827512,2.953644,"('irresponsible', 'responsible')",1.4256428,1.810391,0.83909327,0.9846993,1.697416,1.9162448,-0.2188288
59,-2.804265,-2.912284,"('foolish', 'wise')",-0.6765496,-0.9328524,0.035440974,-0.141654,-1.1484579,-1.3289301,0.1804722
12,2.7513845,2.9642963,"('unsupportive', 'supportive')",1.5710765,1.7646705,-1.0027047,-1.153628,1.1065855,1.1917796,-0.0851941
