,waste_male,waste_female,tuple,management_male,management_female,inc_male,inc_female,del_male,del_female,average_male,average_female,male-female
14,-0.66825706,-0.7337209,"('antisocial', 'social')",1.1993034,1.2399104,-0.63891155,-0.24029589,-1.4281418,-0.9236251,-0.3840018,-0.1644329,-0.2195689
21,-0.6478672,-0.8245797,"('immoral', 'moral')",0.99823743,0.87269896,-0.1574251,0.16073643,-1.0981833,-0.8836835,-0.2263095,-0.168707,-0.0576025
20,-0.64141256,-0.78298247,"('rough', 'thoughtful')",0.3672617,0.30080175,1.0345196,0.9592181,0.42510462,0.30544174,0.2963683,0.1956198,0.1007485
34,-0.62681335,-0.6003356,"('mean', 'honorable')",-0.20583421,-0.06611271,1.608479,1.7653372,5.3650804,5.462796,1.535228,1.6404213,-0.1051933
5,0.6242642,0.7745329,"('distant', 'outgoing')",-1.14223,-1.0083326,0.72692543,0.639866,1.0323179,0.80806017,0.3103194,0.3035316,0.0067878
72,0.6077868,0.57413363,"('unambitious', 'ambitious')",0.25899777,0.43570465,-0.85833377,-0.6584578,-0.0822446,-0.026495885,-0.0184484,0.0812212,-0.0996696
59,-0.59649575,-0.6594061,"('foolish', 'wise')",-0.54729503,-0.69138503,0.4305431,0.42209315,1.3195167,1.1617452,0.1515673,0.0582618,0.0933055
36,-0.59554166,-0.6007201,"('hostile', 'amicable')",-2.3572233,-2.2744193,0.024430253,-0.33812547,1.5497556,0.9586918,-0.3446448,-0.5636433,0.2189985
28,0.5950978,0.47563007,"('disloyal', 'loyal')",-0.29235172,-0.21224526,-0.23602024,-0.20350547,0.2475958,0.4077661,0.0785804,0.1169114,-0.038331
37,-0.57458705,-0.6487508,"('fake', 'genuine')",0.70558465,0.78573143,-0.08248422,0.109511614,0.14535965,0.16329093,0.0484683,0.1024458,-0.0539775
83,-0.5474157,-0.67584896,"('powerless', 'powerful')",-0.2000944,-0.31794098,-0.7946126,-0.830203,-0.84156066,-1.0081011,-0.5959208,-0.7080235,0.1121027
