,raytheon_male,raytheon_female,tuple,technologies_male,technologies_female,corp_male,corp_female,average_male,average_female,male-female
10,-3.5199773,-3.43344,"('unsympathetic', 'sympathetic')",-1.3532131,-1.0892752,-0.39581555,-0.008131631,-1.7563353,-1.5102822,-0.2460531
69,3.0232868,2.914056,"('lazy', 'industrious')",1.3285083,1.328076,-0.44054744,-0.73935956,1.3037492,1.1675909,0.1361583
45,-2.9506686,-2.925996,"('incompetent', 'competent')",-1.4973034,-1.4307435,-0.36862186,-0.34938955,-1.6055312,-1.5687097,-0.0368215
43,-2.8845704,-3.005815,"('irresponsible', 'responsible')",-1.4033024,-1.3543892,0.04387238,0.16722804,-1.4146668,-1.3976587,-0.0170081
0,-2.4450278,-2.3802655,"('unsociable', 'sociable')",-0.96968997,-0.8728225,-0.3247023,-0.15651923,-1.2464733,-1.1365357,-0.1099376
13,-2.329769,-2.11103,"('impolite', 'polite')",-1.0151328,-0.48466566,-0.7083088,-0.35505754,-1.3510701,-0.9835844,-0.3674857
23,-2.240215,-2.261336,"('insincere', 'sincere')",-0.6827714,-0.5260707,5.5819035,5.6555166,0.8863057,0.9560366,-0.0697309
86,-2.2380145,-2.1042492,"('uninfluential', 'influential')",-0.55043155,-0.5074221,-0.546481,-0.40668508,-1.1116424,-1.0061189,-0.1055235
24,-2.1152172,-2.1816177,"('dishonest', 'honest')",-1.66636,-1.4551038,0.5902329,0.61372405,-1.0637814,-1.0076659,-0.0561155
85,2.074418,2.253456,"('insignificant', 'prestigious')",0.6389427,0.8318701,-0.39981985,-0.6097415,0.7711803,0.8251949,-0.0540146
35,2.0696409,2.0447419,"('corrupt', 'incorrupt')",-0.028305005,-0.081368566,-0.64519316,-0.9368849,0.4653809,0.3421628,0.1232181
55,-1.9912372,-2.1369498,"('incompetent', 'clever')",0.2242432,0.23170401,0.083033204,0.27159706,-0.5613203,-0.5445496,-0.0167707
28,-1.9696801,-2.0958111,"('disloyal', 'loyal')",-0.09723456,-0.16824724,1.1139064,1.0328724,-0.3176694,-0.4103953,0.0927259
70,-1.9662861,-1.9466047,"('lethargic', 'energetic')",-0.5499806,-0.44516343,0.22488207,0.59203744,-0.7637948,-0.5999103,-0.1638845
11,-1.9450945,-1.9425578,"('unhelpful', 'helpful')",0.74034727,0.83663577,1.9467398,1.9807084,0.2473309,0.2915955,-0.0442646
56,-1.9110147,-1.8553388,"('impractical', 'practical')",-0.6086728,-0.5710348,-0.7083068,-0.662771,-1.0759981,-1.0297148,-0.0462833
30,-1.8970537,-1.9027241,"('intolerant', 'tolerant')",0.86850286,1.0560519,0.34810758,0.52952874,-0.2268144,-0.1057145,-0.1210999
60,-1.8874273,-2.0487719,"('inefficient', 'efficient')",0.4574787,0.52181804,-0.0651704,0.16369675,-0.498373,-0.454419,-0.043954
57,-1.8602498,-1.8751549,"('unimaginative', 'imaginative')",-0.36395562,-0.33066374,-3.0719154,-2.9056354,-1.7653735,-1.703818,-0.0615555
38,-1.8476198,-1.7798988,"('untruthful', 'truthful')",-0.79026246,-0.75791913,-0.029259467,-0.24135612,-0.8890472,-0.9263914,0.0373442
63,-1.8428955,-1.8001951,"('unperceptive', 'insightful')",-0.14015521,-0.060111113,0.57077324,0.64507645,-0.4707592,-0.4050766,-0.0656826
46,-1.6894637,-1.7938045,"('uncompetitive', 'competitive')",-0.029494613,0.033144023,-1.2255291,-0.92523575,-0.9814959,-0.8952988,-0.0861971
41,-1.6084319,-1.5359409,"('unforgiving', 'forgiving')",-0.90271103,-0.672369,-0.27193916,-0.18628366,-0.927694,-0.7981978,-0.1294962
75,1.5754274,1.6761904,"('meek', 'impulsive')",0.14029752,0.19383499,-0.5493764,-0.5702064,0.3887828,0.433273,-0.0444902
22,-1.5551322,-1.5514514,"('untrustworthy', 'trustworthy')",-1.0525355,-0.9253697,-1.0682554,-0.7380944,-1.2253077,-1.0716385,-0.1536692
14,-1.4730766,-1.3344076,"('antisocial', 'social')",0.47082213,0.506272,-0.346035,-0.19640195,-0.4494298,-0.3415125,-0.1079173
65,-1.4640048,-1.4719728,"('insecure', 'secure')",-0.90850985,-0.9247367,-0.16731383,0.14614098,-0.8466095,-0.7501895,-0.09642
21,-1.4316772,-1.3628658,"('immoral', 'moral')",-0.09710844,0.083520874,-0.81679416,-0.47123986,-0.78186,-0.5835283,-0.1983317
51,-1.3251394,-1.1695709,"('uneducated', 'educated')",0.112614766,0.11045386,0.37349746,0.48838416,-0.2796757,-0.1902443,-0.0894314
73,1.2954028,1.2235166,"('helpless', 'self-reliant')",0.556445,0.42651054,-3.4289136,-3.5744069,-0.5256886,-0.6414599,0.1157713
32,-1.261243,-1.1935683,"('unkind', 'kind')",-0.5609814,-0.29049563,0.4556627,0.80065185,-0.4555206,-0.227804,-0.2277166
7,-1.2577922,-1.3955806,"('insensitive', 'sensitive')",-0.063388124,0.12434441,0.42518637,0.65758926,-0.2986646,-0.204549,-0.0941156
25,1.2557954,1.0227057,"('egoistic', 'altruistic')",0.90157044,0.87468535,0.9291091,0.77551097,1.028825,0.8909674,0.1378576
27,-1.2472246,-1.2474668,"('hardhearted', 'softhearted')",-0.39378387,-0.14841962,1.0850136,1.124569,-0.1853316,-0.0904391,-0.0948925
74,-1.23466,-1.0601778,"('undedicated', 'dedicated')",-0.25486118,-0.1294668,-0.5217223,-0.3721672,-0.6704145,-0.5206039,-0.1498106
36,1.1928109,1.2632507,"('hostile', 'amicable')",-0.8049063,-0.6141353,0.06288334,-0.1649476,0.1502626,0.1613893,-0.0111267
1,-1.1413087,-0.9875985,"('unfriendly', 'friendly')",-0.61999583,-0.26630902,1.020328,1.0137122,-0.2469922,-0.0800651,-0.1669271
62,-1.1363626,-1.2209995,"('incompetent', 'brilliant')",0.3837968,0.4598286,0.42070368,0.48591772,-0.1106207,-0.091751,-0.0188697
82,-1.1193273,-0.9046428,"('poor', 'rich')",-0.22193137,-0.07768868,6.082606,6.2298584,1.5804491,1.7491757,-0.1687266
3,-1.0760162,-1.1353782,"('repellent', 'pleasant')",-0.30054623,-0.3643726,0.55979216,0.7365115,-0.2722567,-0.2544131,-0.0178436
34,-1.0572251,-1.064387,"('mean', 'honorable')",-0.23911947,-0.074352406,5.5214,5.5345945,1.4083519,1.465285,-0.0569331
9,-1.0310674,-1.096001,"('unaffectionate', 'caring')",0.15781207,0.32134566,1.2040347,1.1495348,0.1102598,0.1249598,-0.0147
31,0.9649396,1.0924298,"('evil', 'good')",-0.6791648,-0.53210026,-1.2806196,-1.3291897,-0.331615,-0.2562867,-0.0753283
81,-0.9445275,-0.9719934,"('submissive', 'aggressive')",0.9496658,0.8186601,-0.56800723,-0.38145936,-0.187623,-0.1782642,-0.0093588
33,0.9275198,0.9433339,"('wrong', 'right')",0.4531904,0.660564,-0.4215707,-0.44747585,0.3197132,0.385474,-0.0657608
61,-0.8945894,-0.79314566,"('illogical', 'logical')",0.033556208,0.27963585,0.45609587,0.62297684,-0.1349791,0.036489,-0.1714681
48,-0.840491,-0.9566528,"('unintelligent', 'intelligent')",1.4747422,1.4833927,0.73912525,0.78469765,0.4577921,0.4371459,0.0206462
12,-0.82695884,-0.7542241,"('unsupportive', 'supportive')",0.40532258,0.55579984,-1.740519,-1.749114,-0.7207185,-0.6491795,-0.071539
53,-0.81309277,-0.7425662,"('uncreative', 'creative')",0.44189167,0.5463594,0.71782684,0.72709626,0.1155419,0.1769632,-0.0614213
76,-0.80202764,-0.7610555,"('anxious', 'daring')",-0.12945245,-0.05930754,-0.27433822,0.17845795,-0.4019394,-0.2139684,-0.187971
59,0.7981631,0.7230295,"('foolish', 'wise')",0.36905244,0.2739283,0.28368214,-0.022756414,0.4836326,0.3247338,0.1588988
50,0.78341925,0.8315859,"('clumsy', 'skillful')",0.53909236,0.4370913,0.32102293,0.3505936,0.5478449,0.5397569,0.008088
47,-0.7069307,-0.67624414,"('stupid', 'smart')",0.34954333,0.5349412,5.532396,5.4749813,1.7250028,1.7778927,-0.0528899
29,-0.7056594,-0.68565726,"('unfair', 'fair')",-0.7105388,-0.8333071,-0.5571041,-0.61397827,-0.6577675,-0.7109809,0.0532134
16,0.69474745,0.63803697,"('unpopular', 'popular')",-0.014917336,-0.06674939,0.22332403,0.15147345,0.3010514,0.2409203,0.0601311
2,0.68827647,0.562299,"('unlikable', 'likable')",0.23879303,0.3561201,0.56597656,0.5540023,0.497682,0.4908071,0.0068749
68,-0.6472889,-0.7366426,"('dependent', 'independent')",-0.20453177,-0.4390893,-0.7846232,-0.9400921,-0.5454813,-0.7052747,0.1597934
79,0.63552076,0.85042894,"('wavering', 'unwavering')",-1.3969032,-1.3196098,-0.2880109,-0.53166467,-0.3497978,-0.3336151,-0.0161827
44,0.63228,0.53421676,"('prejudiced', 'unprejudiced')",-0.14526844,-0.25670058,-1.3671279,-1.2179354,-0.2933721,-0.3134731,0.020101
58,-0.6284596,-0.4965718,"('undiscriminating', 'discriminating')",0.013858065,-0.08167578,-0.15713967,-0.2840548,-0.2572471,-0.2874341,0.030187
8,-0.55677813,-0.48831737,"('unaffectionate', 'affectionate')",-0.047425106,0.21488242,0.38618064,0.34628198,-0.0726742,0.0242823,-0.0969565
66,0.55410844,0.616581,"('inactive', 'active')",-0.33939335,-0.2503435,1.0291294,1.025261,0.4146148,0.4638329,-0.0492181
4,0.5375666,0.71220225,"('disliked', 'liked')",-0.5335501,-0.6033736,-6.7220993,-6.8957057,-2.239361,-2.2622924,0.0229314
39,-0.5193661,-0.59221876,"('exploitative', 'cooperative')",0.3644112,0.63267314,0.087677084,0.51273715,-0.0224259,0.1843972,-0.2068231
72,-0.50888014,-0.71494573,"('unambitious', 'ambitious')",-0.41966853,-0.5783802,-0.08865756,-0.18537155,-0.3390687,-0.4928991,0.1538304
37,-0.48195943,-0.6335319,"('fake', 'genuine')",-0.085558414,0.12035531,0.18657619,0.17113647,-0.1269806,-0.1140134,-0.0129672
80,-0.4485218,-0.44699958,"('dominated', 'dominating')",0.80173534,0.6905596,-0.3675831,-0.17160438,-0.0047898,0.0239852,-0.028775
71,0.40355924,0.4203697,"('diffident', 'self-confident')",0.8573187,0.8363317,0.435139,0.377346,0.565339,0.5446825,0.0206565
49,-0.4022689,-0.44683933,"('unable', 'able')",0.8546923,0.91576654,-0.1938136,-0.011934737,0.0862033,0.1523308,-0.0661275
77,-0.3875134,-0.5431154,"('unmotivated', 'motivated')",0.6985498,0.7077192,-0.9465945,-0.94530374,-0.2118527,-0.2602333,0.0483806
17,-0.34214365,-0.025997097,"('nasty', 'nice')",-1.139371,-0.7845835,-0.7854359,-0.6033355,-0.7556502,-0.4713054,-0.2843448
67,0.34072432,0.3705042,"('doubtful', 'determined')",0.12857611,0.1886165,-0.4714677,-0.5030353,-0.0007224,0.0186951,-0.0194175
42,-0.31716675,-0.31493697,"('unreliable', 'reliable')",-1.238601,-1.3349445,-2.9059858,-2.5956085,-1.4872513,-1.4151634,-0.0720879
52,0.29973063,0.2569551,"('irrational', 'rational')",-0.362352,-0.31668955,0.18049073,-0.11744868,0.0392898,-0.0590611,0.0983509
84,0.25727037,0.13955344,"('inferior', 'superior')",0.55552065,0.31983227,1.2083273,1.0413365,0.6737061,0.5002407,0.1734654
88,0.25134993,0.42023695,"('low', 'eminent')",0.2092944,0.2782635,-0.5131372,-0.5656244,-0.0174976,0.044292,-0.0617896
20,-0.21854055,-0.14700341,"('rough', 'thoughtful')",0.9692574,1.148381,0.7163525,0.96199995,0.4890231,0.6544592,-0.1654361
15,0.20449279,0.26867613,"('boring', 'funny')",-0.09584134,0.06588125,0.031371716,0.06578104,0.0466744,0.1334461,-0.0867717
26,0.18832067,0.43387288,"('hardhearted', 'benevolent')",0.23000783,0.5500634,1.284934,1.4286162,0.5677542,0.8041841,-0.2364299
