,sunedison_male,sunedison_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.5493903,-2.6565096,"('unfriendly', 'friendly')",1.5869577,1.5497704,-0.4812163,-0.5533696,0.0721533
36,-2.2010303,-2.0051045,"('hostile', 'amicable')",-0.06781387,-0.17773208,-1.1344221,-1.0914183,-0.0430038
6,-2.1998441,-1.9319553,"('distant', 'open')",-0.14658038,-0.09510827,-1.1732123,-1.0135318,-0.1596805
8,-1.9855187,-2.0645666,"('unaffectionate', 'affectionate')",0.73725295,0.6613973,-0.6241329,-0.7015847,0.0774518
53,-1.9599451,-1.9383013,"('uncreative', 'creative')",0.844486,0.8477822,-0.5577295,-0.5452596,-0.0124699
9,-1.9418808,-2.0100577,"('unaffectionate', 'caring')",1.032167,1.0799608,-0.4548569,-0.4650484,0.0101915
5,-1.734291,-1.4170023,"('distant', 'outgoing')",-0.6299508,-0.486812,-1.1821209,-0.9519072,-0.2302137
31,-1.7313073,-1.5554508,"('evil', 'good')",-1.1132405,-1.254033,-1.4222739,-1.4047419,-0.017532
86,-1.5907552,-1.7231458,"('uninfluential', 'influential')",-0.15782732,-0.16674456,-0.8742913,-0.9449452,0.0706539
66,-1.3296624,-1.4977044,"('inactive', 'active')",0.6397174,0.4239903,-0.3449725,-0.536857,0.1918845
19,-1.3278998,-1.0130446,"('inhospitable', 'hospitable')",-0.25496593,-0.11776095,-0.7914329,-0.5654027,-0.2260302
78,-1.1829407,-1.3262744,"('nonresilient', 'resilient')",0.31588966,0.20537598,-0.4335255,-0.5604492,0.1269237
52,-1.1530718,-1.230459,"('irrational', 'rational')",0.06339306,-0.19511105,-0.5448394,-0.712785,0.1679456
60,1.1260507,1.1574143,"('inefficient', 'efficient')",0.10706867,0.514354,0.6165597,0.8358842,-0.2193245
85,-1.099901,-1.1646273,"('insignificant', 'prestigious')",0.50643426,0.25242352,-0.2967333,-0.4561019,0.1593686
57,-1.0954262,-1.3948643,"('unimaginative', 'imaginative')",-2.0623844,-2.1798666,-1.5789053,-1.7873654,0.2084601
4,-1.0815088,-0.8177633,"('disliked', 'liked')",-6.152399,-5.9531665,-3.6169538,-3.3854649,-0.2314889
58,-1.0546241,-1.1766824,"('undiscriminating', 'discriminating')",0.33325186,0.33304313,-0.3606861,-0.4218196,0.0611335
12,-1.0476909,-1.130673,"('unsupportive', 'supportive')",-1.4572368,-1.4529003,-1.2524638,-1.2917867,0.0393229
30,1.0172334,1.0628827,"('intolerant', 'tolerant')",1.3349986,1.5628953,1.176116,1.312889,-0.136773
67,0.9973352,0.9667652,"('doubtful', 'determined')",-0.4354708,-0.32030547,0.2809322,0.3232299,-0.0422977
54,-0.971522,-0.9372598,"('incapable', 'capable')",0.9541625,1.0982537,-0.0086797,0.080497,-0.0891767
25,-0.9693568,-0.9894358,"('egoistic', 'altruistic')",1.4972298,1.4148682,0.2639365,0.2127162,0.0512203
28,-0.9390161,-1.0444193,"('disloyal', 'loyal')",0.7438184,0.8456605,-0.0975989,-0.0993794,0.0017805
38,-0.9334553,-0.8598724,"('untruthful', 'truthful')",-0.3702512,-0.15580168,-0.6518533,-0.5078371,-0.1440162
61,-0.9091375,-0.8926135,"('illogical', 'logical')",0.100891635,0.008918499,-0.4041229,-0.4418475,0.0377246
79,-0.86184186,-0.7220967,"('wavering', 'unwavering')",-0.42739502,-0.38162157,-0.6446185,-0.5518591,-0.0927594
81,0.85119355,0.7510357,"('submissive', 'aggressive')",-0.5141057,-0.18814652,0.1685439,0.2814446,-0.1129007
82,-0.8429874,-0.6751734,"('poor', 'rich')",5.466939,5.783434,2.3119757,2.5541303,-0.2421546
44,0.8286508,0.7047256,"('prejudiced', 'unprejudiced')",-1.3356767,-1.4252269,-0.2535129,-0.3602507,0.1067378
10,-0.8212558,-1.1229513,"('unsympathetic', 'sympathetic')",-0.19521165,-0.16284262,-0.5082337,-0.642897,0.1346633
35,-0.8125375,-0.58367914,"('corrupt', 'incorrupt')",-0.28057206,-0.3638244,-0.5465548,-0.4737518,-0.072803
65,0.80122787,0.69958884,"('insecure', 'secure')",-0.32136732,-0.14404345,0.2399303,0.2777727,-0.0378424
16,-0.76389706,-0.79128385,"('unpopular', 'popular')",0.36405545,0.32095402,-0.1999208,-0.2351649,0.0352441
72,-0.76100445,-0.7250535,"('unambitious', 'ambitious')",-0.8839822,-0.78502065,-0.8224933,-0.7550371,-0.0674562
76,0.7541505,0.7149215,"('anxious', 'daring')",0.3513332,0.5527474,0.5527419,0.6338345,-0.0810926
56,0.7304434,0.8310321,"('impractical', 'practical')",-0.23245169,0.1313572,0.2489959,0.4811946,-0.2321987
74,-0.716894,-0.7722487,"('undedicated', 'dedicated')",0.13800931,0.13721879,-0.2894423,-0.317515,0.0280727
63,-0.7061829,-0.8444633,"('unperceptive', 'insightful')",1.2812439,1.4215199,0.2875305,0.2885283,-0.0009978
39,0.7022463,0.63175875,"('exploitative', 'cooperative')",0.11263194,0.12213031,0.4074391,0.3769445,0.0304946
73,0.70184535,0.7984917,"('helpless', 'self-reliant')",-2.5383787,-2.4864452,-0.9182667,-0.8439767,-0.07429
84,0.6910446,0.62859744,"('inferior', 'superior')",1.169105,1.1972847,0.9300748,0.9129411,0.0171337
27,-0.67741525,-0.8845159,"('hardhearted', 'softhearted')",1.475697,1.1372994,0.3991409,0.1263918,0.2727491
59,-0.6720112,-0.6372736,"('foolish', 'wise')",0.39074227,0.29368013,-0.1406345,-0.1717967,0.0311622
0,-0.6587313,-0.93450457,"('unsociable', 'sociable')",-0.2609183,-0.2244012,-0.4598248,-0.5794529,0.1196281
45,-0.6553146,-0.77307546,"('incompetent', 'competent')",0.024765015,0.13640495,-0.3152748,-0.3183353,0.0030605
42,0.6003229,0.5497931,"('unreliable', 'reliable')",-2.441612,-2.430878,-0.9206445,-0.9405424,0.0198979
41,-0.5397362,-0.6083405,"('unforgiving', 'forgiving')",0.046194557,-0.025704406,-0.2467708,-0.3170224,0.0702516
46,-0.53258854,-0.6772427,"('uncompetitive', 'competitive')",-0.39656308,-0.37399307,-0.4645758,-0.5256179,0.0610421
24,-0.53249663,-0.5185758,"('dishonest', 'honest')",0.41341636,0.6173036,-0.0595401,0.0493639,-0.108904
17,-0.5008745,-0.29149884,"('nasty', 'nice')",-0.8152706,-0.62891996,-0.6580726,-0.4602094,-0.1978632
20,0.4872382,0.37855083,"('rough', 'thoughtful')",1.4897901,1.2738329,0.9885141,0.8261919,0.1623222
75,-0.47529343,-0.2384223,"('meek', 'impulsive')",-0.58682764,-0.5032065,-0.5310605,-0.3708144,-0.1602461
51,-0.4587158,-0.43643522,"('uneducated', 'educated')",0.37040162,0.4677382,-0.0441571,0.0156515,-0.0598086
71,-0.4497817,-0.39255172,"('diffident', 'self-confident')",0.4925268,0.54196775,0.0213726,0.074708,-0.0533354
37,0.43686688,0.2357499,"('fake', 'genuine')",0.7108961,0.5783135,0.5738815,0.4070317,0.1668498
29,-0.40504566,-0.33511066,"('unfair', 'fair')",-0.3143323,-0.46284527,-0.359689,-0.398978,0.039289
14,0.4047203,0.37352175,"('antisocial', 'social')",-0.62514913,-0.49549532,-0.1102144,-0.0609868,-0.0492276
40,-0.3938159,-0.66353685,"('stingy', 'generous')",-1.1710547,-1.3693429,-0.7824353,-1.0164399,0.2340046
18,-0.37206385,-0.35540938,"('disagreeable', 'welcoming')",-0.3329552,-0.31710583,-0.3525095,-0.3362576,-0.0162519
2,-0.37060958,-0.24804893,"('unlikable', 'likable')",0.35539436,0.4972589,-0.0076076,0.124605,-0.1322126
26,-0.36620635,-0.4931422,"('hardhearted', 'benevolent')",1.7407695,1.6206002,0.6872816,0.563729,0.1235526
11,-0.35322112,-0.430395,"('unhelpful', 'helpful')",1.5253049,1.7807426,0.5860419,0.6751738,-0.0891319
33,-0.3154,-0.3917983,"('wrong', 'right')",-0.5239842,-0.73078763,-0.4196921,-0.5612929,0.1416008
49,-0.3136617,-0.036837682,"('unable', 'able')",-0.25489575,0.09001052,-0.2842787,0.0265864,-0.3108651
70,0.30818516,0.20919913,"('lethargic', 'energetic')",0.92772573,1.0007559,0.6179554,0.6049775,0.0129779
87,-0.30453575,-0.3113752,"('unsuccessful', 'successful')",0.7182285,0.8241995,0.2068464,0.2564121,-0.0495657
43,-0.26459083,-0.4366525,"('irresponsible', 'responsible')",0.5410372,0.5713605,0.1382232,0.067354,0.0708692
50,0.25412646,0.054618917,"('clumsy', 'skillful')",0.5852744,0.37530077,0.4197004,0.2149598,0.2047406
32,-0.22999063,-0.23718044,"('unkind', 'kind')",0.76317555,0.89544237,0.2665924,0.3291309,-0.0625385
48,0.22830552,0.011505967,"('unintelligent', 'intelligent')",0.9357996,0.92901516,0.5820526,0.4702606,0.111792
21,0.22362599,0.034169454,"('immoral', 'moral')",-0.44890052,-0.39294887,-0.1126373,-0.1793897,0.0667524
69,-0.20985003,-0.26115876,"('lazy', 'industrious')",-0.4173014,-0.5937178,-0.3135757,-0.4274383,0.1138626
77,-0.20559807,-0.409287,"('unmotivated', 'motivated')",-0.9754168,-0.9466228,-0.5905074,-0.6779549,0.0874475
3,-0.18617232,-0.38486457,"('repellent', 'pleasant')",0.21565798,0.17089623,0.0147428,-0.1069842,0.121727
88,-0.17456214,-0.32339847,"('low', 'eminent')",0.30994725,0.34608167,0.0676926,0.0113416,0.056351
7,-0.17440346,-0.32124496,"('insensitive', 'sensitive')",0.8925033,0.91639924,0.3590499,0.2975771,0.0614728
23,-0.16881165,-0.26835236,"('insincere', 'sincere')",5.1283674,5.302075,2.4797778,2.5168612,-0.0370834
22,-0.1609141,-0.057446357,"('untrustworthy', 'trustworthy')",-0.7746916,-0.61494076,-0.4678028,-0.3361936,-0.1316092
15,-0.15212226,-0.14335428,"('boring', 'funny')",0.20143542,0.29040432,0.0246566,0.073525,-0.0488684
62,-0.11586744,0.01843991,"('incompetent', 'brilliant')",0.1864681,0.588332,0.0353003,0.3033859,-0.2680856
47,-0.1124183,-0.056500643,"('stupid', 'smart')",4.9397793,5.156527,2.4136806,2.5500133,-0.1363327
80,-0.10364527,-0.3535543,"('dominated', 'dominating')",-1.2283862,-1.3306426,-0.6660157,-0.8420985,0.1760828
83,-0.07893224,-0.024058856,"('powerless', 'powerful')",-0.9940877,-0.9032213,-0.53651,-0.4636401,-0.0728699
13,0.073297694,0.21652302,"('impolite', 'polite')",-0.50682914,-0.15030572,-0.2167657,0.0331087,-0.2498744
64,0.06658966,-0.12953083,"('shy', 'confident')",-6.058862,-6.174247,-2.9961362,-3.1518888,0.1557526
34,0.050767403,0.11376999,"('mean', 'honorable')",5.508885,5.767917,2.7798262,2.9408436,-0.1610174
55,0.013329145,-0.24772285,"('incompetent', 'clever')",0.33271477,0.3701272,0.173022,0.0612022,0.1118198
68,0.0012175385,-0.009760499,"('dependent', 'independent')",-0.36973983,-0.28928682,-0.1842611,-0.1495237,-0.0347374
