,schlumberger_male,schlumberger_female,tuple,ltd_male,ltd_female,average_male,average_female,male-female
10,-3.1035528,-2.8160312,"('unsympathetic', 'sympathetic')",-0.12211802,-0.072515965,-1.6128354,-1.4442736,-0.1685618
86,-3.0048733,-2.894821,"('uninfluential', 'influential')",0.3083982,0.24996266,-1.3482375,-1.3224292,-0.0258083
11,-2.5949483,-2.5605066,"('unhelpful', 'helpful')",1.2873442,1.4225578,-0.653802,-0.5689744,-0.0848276
60,-2.5854933,-2.246984,"('inefficient', 'efficient')",-0.5915867,-0.4025475,-1.5885401,-1.3247658,-0.2637743
35,2.5198872,2.2943587,"('corrupt', 'incorrupt')",-0.15764563,-0.22825864,1.1811208,1.0330501,0.1480707
12,-2.499879,-2.3420827,"('unsupportive', 'supportive')",-1.3095866,-1.1971163,-1.9047327,-1.7695994,-0.1351333
0,-2.4129438,-2.2089825,"('unsociable', 'sociable')",-0.47035763,-0.2729668,-1.4416507,-1.2409747,-0.200676
48,-2.348107,-2.188706,"('unintelligent', 'intelligent')",0.32265082,0.27079108,-1.0127281,-0.9589574,-0.0537707
69,2.1782472,1.6616603,"('lazy', 'industrious')",-0.14567497,-0.2118738,1.0162861,0.7248933,0.2913928
13,-2.149452,-2.1089416,"('impolite', 'polite')",-1.0808778,-0.9866649,-1.6151649,-1.5478032,-0.0673617
21,-2.064332,-1.9331509,"('immoral', 'moral')",-1.3757516,-1.5273575,-1.7200418,-1.7302542,0.0102124
46,-2.063175,-1.82886,"('uncompetitive', 'competitive')",0.108048424,0.07577515,-0.9775633,-0.8765424,-0.1010209
55,-2.051563,-1.7221094,"('incompetent', 'clever')",0.11451367,0.16923942,-0.9685247,-0.776435,-0.1920897
43,-1.9756294,-1.8052926,"('irresponsible', 'responsible')",0.8292579,0.96524674,-0.5731858,-0.4200229,-0.1531629
23,-1.8817729,-1.6143392,"('insincere', 'sincere')",4.367715,4.4933867,1.2429709,1.4395237,-0.1965528
28,-1.8666018,-1.7442483,"('disloyal', 'loyal')",0.9926639,0.9226426,-0.436969,-0.4108028,-0.0261662
57,-1.8560016,-1.7213569,"('unimaginative', 'imaginative')",-0.4378429,-0.65399575,-1.1469222,-1.1876763,0.0407541
63,-1.8398538,-1.6749412,"('unperceptive', 'insightful')",1.0798304,1.2527864,-0.3800117,-0.2110774,-0.1689343
62,-1.8246586,-1.5646951,"('incompetent', 'brilliant')",0.15083513,0.40113717,-0.8369117,-0.581779,-0.2551327
