,cme_male,cme_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
39,1.8689517,1.8382558,"('exploitative', 'cooperative')",2.1385465,1.8549738,0.3135352,0.110805735,1.4403445,1.2680118,0.1723327
36,-1.3829128,-1.4042454,"('hostile', 'amicable')",-1.80101,-1.6616213,0.19777164,0.25336486,-0.9953837,-0.9375006,-0.0578831
56,1.3191745,1.4163315,"('impractical', 'practical')",1.1311207,1.1817951,-0.0565089,0.030525848,0.7979288,0.8762175,-0.0782887
1,-1.3060472,-1.2183056,"('unfriendly', 'friendly')",-0.26926515,-0.3294603,1.4743726,1.7218593,-0.0336466,0.0580312,-0.0916778
60,1.3028656,1.2637932,"('inefficient', 'efficient')",2.0734787,1.7508171,-0.1186934,0.038331673,1.0858836,1.0176473,0.0682363
6,-1.2612251,-0.8801639,"('distant', 'open')",-2.2584343,-1.9031904,0.086630985,0.3784765,-1.1443428,-0.8016259,-0.3427169
67,1.2089093,1.2427652,"('doubtful', 'determined')",0.44136184,0.52512103,-0.5569639,-0.5099959,0.3644358,0.4192967,-0.0548609
73,1.1721203,1.3970416,"('helpless', 'self-reliant')",0.13682877,0.2849127,-2.9673014,-2.9077067,-0.5527841,-0.4085842,-0.1441999
8,-1.1431744,-1.1139891,"('unaffectionate', 'affectionate')",-0.21957344,-0.1250875,0.84812653,1.0356051,-0.1715405,-0.0678238,-0.1037167
62,1.1260759,1.1772108,"('incompetent', 'brilliant')",1.5493914,1.4191467,0.38090056,0.46684495,1.0187893,1.0210675,-0.0022782
79,-1.0966183,-1.0844003,"('wavering', 'unwavering')",-2.0043972,-1.8711363,-0.313884,-0.21990645,-1.1382999,-1.0584811,-0.0798188
42,1.0477538,0.9899375,"('unreliable', 'reliable')",1.2408905,1.2656138,-2.607695,-2.6529925,-0.1063503,-0.1324804,0.0261301
9,-1.0028337,-0.9960253,"('unaffectionate', 'caring')",0.111529335,-0.004661694,1.2640514,1.4023224,0.124249,0.1338785,-0.0096295
18,-0.93685925,-0.7670671,"('disagreeable', 'welcoming')",-0.94287086,-0.5051753,-0.38516793,-0.38021782,-0.754966,-0.55082,-0.204146
5,-0.9349731,-0.5494753,"('distant', 'outgoing')",-2.02043,-1.6872423,-0.40060523,-0.1647235,-1.1186695,-0.8004804,-0.3181891
66,-0.9256379,-1.0456443,"('inactive', 'active')",0.48856026,0.49262375,1.0301993,0.81397206,0.1977072,0.0869838,0.1107234
30,0.88104945,0.75465995,"('intolerant', 'tolerant')",0.90370154,0.80479467,1.0221895,0.99252605,0.9356469,0.8506602,0.0849867
31,-0.87251854,-0.9497382,"('evil', 'good')",-1.468998,-1.4656116,-0.8328039,-0.94247633,-1.0581068,-1.1192753,0.0611685
35,-0.86718327,-0.7188905,"('corrupt', 'incorrupt')",-2.0081017,-1.7066128,-0.29003596,-0.27039897,-1.055107,-0.8986341,-0.1564729
64,0.855076,0.4749431,"('shy', 'confident')",1.1227479,0.7235239,-6.2432594,-6.809385,-1.4218117,-1.870306,0.4484943
2,0.83887327,1.0306693,"('unlikable', 'likable')",1.5061369,1.6863644,0.55635554,0.74952644,0.9671219,1.1555201,-0.1883982
14,0.8345995,0.4702169,"('antisocial', 'social')",2.0222757,1.6974328,-0.2442995,-0.6268338,0.8708586,0.5136053,0.3572533
53,-0.8343991,-0.6305338,"('uncreative', 'creative')",0.17446186,0.19290186,1.0248625,1.1282547,0.1216418,0.2302076,-0.1085658
21,0.8287017,0.75032264,"('immoral', 'moral')",0.6808697,0.52668965,-0.7610973,-0.8514852,0.2494913,0.1418424,0.1076489
48,-0.824705,-0.79475176,"('unintelligent', 'intelligent')",0.039408557,-0.020232944,0.30393428,0.3151348,-0.1604541,-0.1666166,0.0061625
43,0.8203112,0.86315036,"('irresponsible', 'responsible')",1.199957,1.1053739,0.7799613,0.6712443,0.9334098,0.8799229,0.0534869
54,-0.7813175,-0.2828337,"('incapable', 'capable')",-0.3717141,0.027279045,0.94910216,1.2607586,-0.0679765,0.335068,-0.4030445
78,-0.77276707,-0.69091314,"('nonresilient', 'resilient')",0.8480531,0.79157597,-0.040748924,-0.03712633,0.0115124,0.0211788,-0.0096664
87,0.75681955,0.7580036,"('unsuccessful', 'successful')",1.7020714,1.587832,0.9372604,0.7289223,1.1320504,1.0249194,0.107131
68,-0.75191796,-0.47998586,"('dependent', 'independent')",-0.52332217,-0.40091464,-0.8175769,-0.77474403,-0.6976057,-0.5518815,-0.1457242
86,-0.74553674,-0.8952141,"('uninfluential', 'influential')",0.33459622,-0.058672268,-0.1350039,-0.35220817,-0.1819815,-0.4353648,0.2533833
85,-0.74001837,-0.5026012,"('insignificant', 'prestigious')",-0.84620583,-0.4079455,0.23449786,0.34820828,-0.4505754,-0.1874462,-0.2631292
76,0.7397425,0.639726,"('anxious', 'daring')",0.84553367,0.91214985,0.18727346,0.1990405,0.5908499,0.5836388,0.0072111
82,-0.6973199,-0.18499362,"('poor', 'rich')",-0.1920749,0.36526448,6.010271,6.5057893,1.7069588,2.2286867,-0.5217279
63,0.6821385,0.8821133,"('unperceptive', 'insightful')",1.6421195,1.5562661,1.0100431,0.9463946,1.1114337,1.128258,-0.0168243
25,-0.67793775,-0.527338,"('egoistic', 'altruistic')",-0.46785027,-0.21197096,1.2691385,1.4397196,0.0411168,0.2334702,-0.1923534
19,-0.6618556,-0.15805657,"('inhospitable', 'hospitable')",-1.7814533,-1.4458239,-0.35543904,-0.14918512,-0.9329159,-0.5843552,-0.3485607
27,-0.65506667,-0.63111246,"('hardhearted', 'softhearted')",-0.24757181,-0.24628706,1.2996503,1.3718708,0.1323373,0.1648238,-0.0324865
