,archer_male,archer_female,tuple,daniels_male,daniels_female,midland_male,midland_female,co_male,co_female,average_male,average_female,male-female
69,1.9610451,2.269655,"('lazy', 'industrious')",2.819363,3.272022,1.7315445,1.9164987,-0.27128482,-0.08458301,1.5601671,1.8433982,-0.2832311
13,-1.367294,-1.3199432,"('impolite', 'polite')",-1.080816,-1.1740843,-0.9355431,-0.97169495,-0.62180734,-0.9097856,-1.0013652,-1.0938771,0.0925119
74,1.2797965,1.2039746,"('undedicated', 'dedicated')",0.8701254,0.82995063,1.4938098,1.5143238,0.47425482,0.42376962,1.0294966,0.9930047,0.0364919
58,1.260769,0.8720371,"('undiscriminating', 'discriminating')",0.50708497,0.34161317,0.97439885,0.6431124,0.34665057,0.29056174,0.7722259,0.5368311,0.2353948
73,1.2535089,1.2539419,"('helpless', 'self-reliant')",0.7013522,0.8419267,0.20995218,0.13796797,-3.5426896,-3.6282315,-0.3444691,-0.3485987,0.0041296
66,1.2310652,1.4804028,"('inactive', 'active')",0.758148,1.1714771,1.0597664,1.2606022,0.9821665,1.0113906,1.0077865,1.2309681,-0.2231816
17,-1.1935858,-1.4205494,"('nasty', 'nice')",-0.4739619,-0.36613876,-0.90508294,-1.0147121,-0.5964728,-0.52133495,-0.7922758,-0.8306838,0.038408
14,-1.1171694,-1.6532518,"('antisocial', 'social')",-1.5678893,-2.0411484,-0.078813046,-0.5148489,-0.4136508,-0.66154003,-0.7943806,-1.2176973,0.4233167
11,-1.0630082,-1.2159973,"('unhelpful', 'helpful')",-0.83678925,-1.0079198,-0.56319714,-0.49078465,1.8225605,1.6381656,-0.1601085,-0.269134,0.1090255
71,0.9679228,1.0382518,"('diffident', 'self-confident')",2.3110044,2.5934255,0.96603966,1.2637904,0.5471519,0.46054548,1.1980298,1.3390033,-0.1409735
35,0.96428514,1.4769814,"('corrupt', 'incorrupt')",1.516107,2.2636921,0.27963632,0.65608025,-0.5033465,-0.24691622,0.5641705,1.0374594,-0.4732889
82,-0.9088278,-0.9050071,"('poor', 'rich')",-1.291245,-1.2740446,-1.1135226,-1.0814021,5.5613284,5.5958486,0.5619333,0.5838487,-0.0219154
37,0.90651524,1.0078969,"('fake', 'genuine')",0.21387044,0.42455125,0.5560258,0.6994516,0.28829005,0.14486524,0.4911754,0.5691913,-0.0780159
10,-0.8902232,-1.1420261,"('unsympathetic', 'sympathetic')",-2.129812,-2.4251626,-0.7650977,-0.7909719,-0.18427946,-0.47936654,-0.9923531,-1.2093818,0.2170287
47,-0.8818813,-0.8668498,"('stupid', 'smart')",-1.3668694,-1.4961363,-0.071558096,-0.15330757,5.08443,5.0088706,0.6910304,0.6231442,0.0678862
9,0.8812367,1.2204283,"('unaffectionate', 'caring')",1.1018095,1.4750911,0.49157307,0.9980885,1.2091482,1.3254559,0.9209418,1.254766,-0.3338242
21,-0.86237913,-1.0463712,"('immoral', 'moral')",-2.111702,-2.4428024,-0.46373108,-0.43220827,-1.1712557,-1.5244527,-1.152267,-1.3614587,0.2091917
27,-0.844363,-0.5069942,"('hardhearted', 'softhearted')",0.041808974,0.3553421,-0.5849778,-0.19587049,0.75395477,0.7154515,-0.1583942,0.0919822,-0.2503764
44,-0.8279571,-0.49913767,"('prejudiced', 'unprejudiced')",-0.93521047,-0.9065464,-1.3502209,-1.3382176,-1.42617,-1.5468788,-1.1348896,-1.0726951,-0.0621945
12,0.82285386,0.6401645,"('unsupportive', 'supportive')",0.94559985,0.8597685,0.8350627,0.8403444,-1.5965368,-1.7115093,0.2517449,0.157192,0.0945529
3,-0.81850153,-0.8644186,"('repellent', 'pleasant')",-1.3952488,-1.7807359,-0.24991061,-0.28230873,0.3645152,0.42743823,-0.5247865,-0.6250063,0.1002198
22,-0.8084,-1.1590244,"('untrustworthy', 'trustworthy')",-1.2334397,-1.5797204,-1.2132547,-1.5297754,-1.0477273,-1.1038518,-1.0757054,-1.343093,0.2673876
76,-0.80136836,-0.6408334,"('anxious', 'daring')",-2.241031,-2.4189734,-0.66590726,-0.6517876,-0.559203,-0.7483501,-1.0668775,-1.1149861,0.0481086
26,0.7922435,0.78388363,"('hardhearted', 'benevolent')",2.1874084,2.5261192,2.2494056,2.1055994,1.80004,2.0385735,1.7572744,1.863544,-0.1062696
77,-0.7582871,-0.9737551,"('unmotivated', 'motivated')",-0.41392684,-0.5183706,-0.5121466,-0.50137556,-1.1764772,-1.2631423,-0.7152094,-0.8141609,0.0989515
55,-0.7549539,-1.3348349,"('incompetent', 'clever')",-2.2993548,-2.874985,-0.7803804,-1.0732213,-0.18798125,-0.38071847,-1.0056676,-1.4159398,0.4102722
