,goldman_male,goldman_female,tuple,sachs_male,sachs_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
85,3.5067546,3.661064,"('insignificant', 'prestigious')",3.8699114,3.6539667,0.32473302,0.41041136,-0.11199805,0.07983919,1.8973502,1.9513203,-0.0539701
10,-2.6250658,-2.7983797,"('unsympathetic', 'sympathetic')",-2.313978,-2.3200448,-0.342564,-0.56483024,0.5415051,0.3243428,-1.1850257,-1.339728,0.1547023
45,-2.5965726,-2.61464,"('incompetent', 'competent')",-2.0099902,-1.9621319,-0.35908213,-0.47233522,-0.38550732,-0.49884722,-1.337788,-1.3869885,0.0492005
36,2.538217,2.7052698,"('hostile', 'amicable')",2.9146926,2.8745146,-0.5570046,-0.28681093,-0.41332626,-0.2386467,1.1206447,1.2635818,-0.1429371
70,-2.4852822,-2.4376407,"('lethargic', 'energetic')",-1.4551421,-1.4576005,0.18818167,0.02965894,1.2955855,0.9965023,-0.6141644,-0.71727,0.1031056
81,-2.2282917,-2.2009401,"('submissive', 'aggressive')",-1.3035436,-1.220807,1.2966185,1.1505115,0.07192725,-0.081979126,-0.5408224,-0.5883037,0.0474813
55,-2.1832774,-2.4634473,"('incompetent', 'clever')",-2.216832,-2.2097836,0.23375101,0.06506805,0.332085,0.10677174,-0.9585683,-1.1253477,0.1667794
82,-2.1389635,-2.3697042,"('poor', 'rich')",-2.1674364,-2.0673206,-1.0633376,-0.97827244,6.1950107,5.919229,0.2063183,0.1259829,0.0803354
60,-2.1187923,-2.2992756,"('inefficient', 'efficient')",-1.7182686,-1.65223,0.8408795,0.76038384,0.5189339,0.55227715,-0.6193119,-0.6597112,0.0403993
5,2.1060305,2.2705398,"('distant', 'outgoing')",2.1132655,2.045068,-0.8446353,-0.7595474,-0.63094383,-0.37939492,0.6859292,0.7941664,-0.1082372
71,2.098969,2.1435702,"('diffident', 'self-confident')",3.0044973,2.930653,1.0095468,0.96047705,0.67615896,0.64094186,1.6972929,1.6689105,0.0283824
22,-2.0794654,-2.1319323,"('untrustworthy', 'trustworthy')",-1.9326507,-1.8596323,0.05395119,-0.06738484,-0.9810078,-1.1492662,-1.2347932,-1.3020539,0.0672607
33,2.0668287,2.1320517,"('wrong', 'right')",2.1135375,2.0050833,0.48550177,0.52273715,-0.87521356,-0.75519824,0.9476637,0.9761685,-0.0285048
9,1.8900372,2.127997,"('unaffectionate', 'caring')",2.2157488,2.122504,0.5252528,0.5757761,0.9392823,1.0869572,1.3925803,1.4783084,-0.0857281
6,1.8459592,1.9423599,"('distant', 'open')",1.777047,1.6622609,-1.040584,-0.94432986,-0.11098611,0.13467199,0.617859,0.6987408,-0.0808818
83,1.8119577,1.8602468,"('powerless', 'powerful')",2.113682,2.2430112,1.2277131,1.4852258,-0.36698633,-0.3603972,1.1965916,1.3070216,-0.11043
66,1.7799814,2.0297213,"('inactive', 'active')",2.1509206,2.013138,2.1327806,1.9477891,1.2283028,1.0758126,1.8229964,1.7666152,0.0563812
69,1.7548654,1.8878269,"('lazy', 'industrious')",2.5324538,2.3124034,0.65217155,0.5819163,-1.0133117,-1.0039067,0.9815447,0.9445601,0.0369846
79,1.7083156,1.7064917,"('wavering', 'unwavering')",1.373259,1.365499,-0.89276546,-0.72583055,-0.044754542,0.051337183,0.5360136,0.5993744,-0.0633608
52,1.6983176,1.9082682,"('irrational', 'rational')",1.4406381,1.5459964,-0.7721131,-0.55385166,-0.7028567,-0.51453257,0.4159964,0.5964701,-0.1804737
65,-1.6106594,-1.7716235,"('insecure', 'secure')",-1.9129553,-1.7851152,0.41754827,0.35049903,0.17910884,0.013242772,-0.7317394,-0.7982492,0.0665098
76,-1.5177335,-1.6109291,"('anxious', 'daring')",-1.3509393,-1.2555257,0.6789108,0.6479998,0.80078197,0.8012932,-0.347245,-0.3542905,0.0070455
