,intel_male,intel_female,tuple,corp_male,corp_female,average_male,average_female,male-female
71,2.0014622,2.0616047,"('diffident', 'self-confident')",0.08548272,0.32095397,1.0434725,1.1912794,-0.1478069
61,1.8628083,1.6803893,"('illogical', 'logical')",0.8255624,0.8646138,1.3441854,1.2725015,0.0716839
45,-1.6392884,-1.5706042,"('incompetent', 'competent')",-0.2846413,-0.45789346,-0.9619648,-1.0142488,0.052284
39,1.5547253,1.4322989,"('exploitative', 'cooperative')",0.30058387,0.33161974,0.9276546,0.8819593,0.0456953
48,1.5327655,1.5280435,"('unintelligent', 'intelligent')",0.9318499,0.94748914,1.2323077,1.2377663,-0.0054586
42,-1.4765002,-1.5110021,"('unreliable', 'reliable')",-3.0870764,-3.312185,-2.2817883,-2.4115934,0.1298051
41,-1.4519334,-0.85318464,"('unforgiving', 'forgiving')",-0.2532302,-0.28091848,-0.8525818,-0.5670515,-0.2855303
25,1.2868408,1.3515481,"('egoistic', 'altruistic')",0.7332766,0.9765662,1.0100586,1.1640571,-0.1539985
49,1.1225145,0.92141044,"('unable', 'able')",-0.23828277,-0.08728586,0.4421158,0.4170623,0.0250535
17,-1.1220696,-0.7898744,"('nasty', 'nice')",-0.82306,-0.7821575,-0.9725648,-0.7860159,-0.1865489
9,1.1144747,1.1956472,"('unaffectionate', 'caring')",0.34446248,0.62134945,0.7294686,0.9084983,-0.1790297
54,1.0983377,0.67425114,"('incapable', 'capable')",0.63178885,0.7746449,0.8650633,0.724448,0.1406153
60,1.0794835,0.65671045,"('inefficient', 'efficient')",0.55805045,0.3988725,0.818767,0.5277915,0.2909755
83,1.0265203,1.0335115,"('powerless', 'powerful')",-0.33782616,-0.3410241,0.3443471,0.3462437,-0.0018966
85,0.9668799,1.022212,"('insignificant', 'prestigious')",-0.426224,-0.26242596,0.270328,0.379893,-0.109565
4,-0.96090126,-0.5847986,"('disliked', 'liked')",-6.343665,-6.7012115,-3.6522832,-3.6430049,-0.0092783
10,-0.94621056,-1.1421976,"('unsympathetic', 'sympathetic')",-0.09489004,-0.28173262,-0.5205503,-0.7119651,0.1914148
59,0.932663,0.90339637,"('foolish', 'wise')",-0.52483094,-0.49027756,0.203916,0.2065594,-0.0026434
34,0.9069301,0.8818023,"('mean', 'honorable')",5.281311,5.438998,3.0941205,3.1604004,-0.0662799
75,-0.88325053,-0.6724261,"('meek', 'impulsive')",-0.71127695,-0.69997644,-0.7972637,-0.6862013,-0.1110624
84,0.8591499,0.85384226,"('inferior', 'superior')",1.3930256,1.3253373,1.1260878,1.0895898,0.036498
69,0.8560631,1.021087,"('lazy', 'industrious')",-1.2681154,-1.2076334,-0.2060261,-0.0932732,-0.1127529
66,-0.8498253,-1.1798527,"('inactive', 'active')",0.1854851,0.19868433,-0.3321701,-0.4905842,0.1584141
26,0.84477645,0.9503883,"('hardhearted', 'benevolent')",1.2898896,1.2653162,1.067333,1.1078522,-0.0405192
73,0.8445925,0.8629105,"('helpless', 'self-reliant')",-3.1843786,-3.077565,-1.169893,-1.1073272,-0.0625658
70,-0.8279048,-1.0662029,"('lethargic', 'energetic')",0.65738755,0.41165796,-0.0852586,-0.3272725,0.2420139
33,0.8207129,0.8310337,"('wrong', 'right')",-1.143045,-0.90862024,-0.161166,-0.0387933,-0.1223727
13,-0.81738526,-0.9462051,"('impolite', 'polite')",-0.6796443,-0.80506635,-0.7485148,-0.8756357,0.1271209
57,-0.8144358,-0.99582684,"('unimaginative', 'imaginative')",-2.549718,-2.7827704,-1.6820768,-1.8892987,0.2072219
46,-0.8106005,-1.2236624,"('uncompetitive', 'competitive')",0.029693939,-0.45489246,-0.3904533,-0.8392774,0.4488241
29,-0.7879896,-0.62010187,"('unfair', 'fair')",-0.35186893,-0.42288554,-0.5699292,-0.5214937,-0.0484355
53,0.7688883,0.77628636,"('uncreative', 'creative')",0.50416,0.5618007,0.6365241,0.6690435,-0.0325194
86,0.7377684,0.63960624,"('uninfluential', 'influential')",0.09312715,0.07723871,0.4154478,0.3584225,0.0570253
64,-0.7238128,-0.8338699,"('shy', 'confident')",-5.6304193,-6.1319146,-3.1771159,-3.4828923,0.3057764
1,0.6880207,1.0347096,"('unfriendly', 'friendly')",0.37758434,0.65637505,0.5328025,0.8455423,-0.3127398
0,-0.68539816,-0.69214207,"('unsociable', 'sociable')",0.0430952,-0.10736923,-0.3211515,-0.3997557,0.0786042
44,-0.6804407,-0.96474195,"('prejudiced', 'unprejudiced')",-1.4259692,-1.506408,-1.053205,-1.235575,0.18237
78,0.67063415,0.771966,"('nonresilient', 'resilient')",0.21815205,0.25557426,0.4443931,0.5137701,-0.069377
5,0.66079724,0.828646,"('distant', 'outgoing')",-1.6085404,-1.3571402,-0.4738716,-0.2642471,-0.2096245
31,-0.619201,0.08969764,"('evil', 'good')",-1.6235219,-1.3465378,-1.1213615,-0.6284201,-0.4929414
55,0.6176555,0.19729063,"('incompetent', 'clever')",1.1208951,0.91289675,0.8692753,0.5550937,0.3141816
20,0.5878054,0.5606065,"('rough', 'thoughtful')",1.0462424,1.0401622,0.8170239,0.8003843,0.0166396
22,-0.58507574,-0.71991086,"('untrustworthy', 'trustworthy')",-0.62824905,-0.86344117,-0.6066624,-0.791676,0.1850136
