,aes_male,aes_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-1.9498518,-1.9189811,"('unfriendly', 'friendly')",1.3766596,1.101957,-0.2865961,-0.4085121,0.121916
6,-1.8248664,-1.8794098,"('distant', 'open')",-0.35735747,-0.6249359,-1.0911119,-1.2521728,0.1610609
5,-1.6838987,-1.6785567,"('distant', 'outgoing')",-0.56252444,-0.63956994,-1.1232116,-1.1590633,0.0358517
79,-1.6392925,-1.629723,"('wavering', 'unwavering')",-0.469989,-0.6288844,-1.0546408,-1.1293037,0.0746629
53,-1.5973586,-1.181421,"('uncreative', 'creative')",0.33431724,0.29367793,-0.6315207,-0.4438716,-0.1876491
31,-1.4937878,-1.452167,"('evil', 'good')",-0.7893746,-1.0932226,-1.1415812,-1.2726948,0.1311136
36,-1.4540795,-1.441111,"('hostile', 'amicable')",-0.1041472,-0.46974745,-0.7791134,-0.9554292,0.1763158
60,1.388316,1.2495903,"('inefficient', 'efficient')",-0.1716946,-0.059675157,0.6083107,0.5949576,0.0133531
19,-1.3459775,-1.0887104,"('inhospitable', 'hospitable')",-0.5666933,-0.62927145,-0.9563354,-0.8589909,-0.0973445
8,-1.3117709,-1.1703999,"('unaffectionate', 'affectionate')",0.8587264,0.77971977,-0.2265223,-0.1953401,-0.0311822
66,-1.2513309,-1.377765,"('inactive', 'active')",0.47978148,0.18392545,-0.3857747,-0.5969198,0.2111451
18,-1.2155507,-0.9436048,"('disagreeable', 'welcoming')",-0.45179343,-0.5061743,-0.833672,-0.7248896,-0.1087824
9,-1.1260663,-0.9458305,"('unaffectionate', 'caring')",1.354383,1.3581237,0.1141583,0.2061466,-0.0919883
57,-1.0919656,-1.1542791,"('unimaginative', 'imaginative')",-3.4308534,-3.4267905,-2.2614095,-2.2905347,0.0291252
71,-1.0841931,-0.8958657,"('diffident', 'self-confident')",0.2240144,0.2692834,-0.4300894,-0.3132911,-0.1167983
54,-1.0700331,-0.66450465,"('incapable', 'capable')",0.882262,1.0600274,-0.0938855,0.1977614,-0.2916469
29,-1.0346643,-1.3091018,"('unfair', 'fair')",-0.48564878,-0.8154209,-0.7601565,-1.0622613,0.3021048
38,-1.0302398,-0.82087713,"('untruthful', 'truthful')",-0.326997,-0.23597623,-0.6786184,-0.5284267,-0.1501917
86,-1.0077957,-1.1892996,"('uninfluential', 'influential')",-0.21625492,-0.5997827,-0.6120253,-0.8945411,0.2825158
4,-0.9628325,-0.66637963,"('disliked', 'liked')",-7.6809573,-7.411918,-4.3218951,-4.0391488,-0.2827463
85,-0.9585915,-0.86464405,"('insignificant', 'prestigious')",-0.07895864,-0.26254267,-0.5187751,-0.5635934,0.0448183
16,-0.8994901,-0.5526362,"('unpopular', 'popular')",0.30821037,0.19550373,-0.2956399,-0.1785662,-0.1170737
65,0.89164835,0.7229926,"('insecure', 'secure')",-0.22570325,0.06838218,0.3329726,0.3956874,-0.0627148
52,-0.8458482,-0.9178999,"('irrational', 'rational')",-0.031065635,-0.2286052,-0.4384569,-0.5732526,0.1347957
10,-0.84097046,-0.9377478,"('unsympathetic', 'sympathetic')",-0.54111654,-0.54399854,-0.6910435,-0.7408732,0.0498297
88,-0.8286507,-0.8689003,"('low', 'eminent')",-0.34555462,-0.29361105,-0.5871027,-0.5812557,-0.005847
20,0.8276115,0.66776174,"('rough', 'thoughtful')",0.7618634,0.75816363,0.7947375,0.7129627,0.0817748
0,-0.8132832,-1.3671241,"('unsociable', 'sociable')",-0.31101203,-0.6313364,-0.5621476,-0.9992303,0.4370827
59,-0.7735112,-0.23052108,"('foolish', 'wise')",-0.052886423,0.16261972,-0.4131988,-0.0339507,-0.3792481
75,-0.75338066,-0.6219224,"('meek', 'impulsive')",-0.62383586,-0.6309665,-0.6886083,-0.6264445,-0.0621638
81,0.7306236,0.6040299,"('submissive', 'aggressive')",-0.93776095,-0.7563018,-0.1035687,-0.076136,-0.0274327
80,0.7163412,0.6556558,"('dominated', 'dominating')",-0.80819553,-0.66834885,-0.0459272,-0.0063465,-0.0395807
22,-0.713708,-0.617642,"('untrustworthy', 'trustworthy')",-0.8979996,-0.92892843,-0.8058538,-0.7732852,-0.0325686
30,0.70350313,0.48125696,"('intolerant', 'tolerant')",0.63840586,0.57943577,0.6709545,0.5303464,0.1406081
83,-0.69490534,-0.78211945,"('powerless', 'powerful')",-1.1427126,-1.2157063,-0.9188089,-0.9989129,0.080104
62,0.6613864,0.8504834,"('incompetent', 'brilliant')",0.35163108,0.625882,0.5065087,0.7381827,-0.231674
32,-0.63607335,-0.6386153,"('unkind', 'kind')",0.7374981,0.577223,0.0507124,-0.0306962,0.0814086
28,-0.62458634,-0.629709,"('disloyal', 'loyal')",1.111703,1.0906925,0.2435583,0.2304918,0.0130665
61,0.6237401,0.23197849,"('illogical', 'logical')",0.76780254,0.49906212,0.6957713,0.3655203,0.330251
14,0.59496033,0.119831994,"('antisocial', 'social')",0.005913391,-0.23041524,0.3004369,-0.0552916,0.3557285
39,0.584936,0.52911043,"('exploitative', 'cooperative')",0.2006119,0.2511954,0.392774,0.3901529,0.0026211
84,0.5798106,0.61920595,"('inferior', 'superior')",0.81050307,0.9724409,0.6951568,0.7958235,-0.1006667
34,0.5669305,0.45998168,"('mean', 'honorable')",6.057107,6.002438,3.3120186,3.2312098,0.0808088
73,0.5619322,0.89268684,"('helpless', 'self-reliant')",-3.280352,-2.9075124,-1.35921,-1.0074128,-0.3517972
37,0.53258955,0.56668234,"('fake', 'genuine')",0.39517188,0.42612034,0.4638807,0.4964013,-0.0325206
12,-0.48999292,-0.060993247,"('unsupportive', 'supportive')",-2.2881365,-2.1051562,-1.3890647,-1.0830747,-0.30599
35,-0.4853391,-0.36789495,"('corrupt', 'incorrupt')",-0.29194006,-0.45437473,-0.3886396,-0.4111348,0.0224952
76,0.46509248,0.4779813,"('anxious', 'daring')",-0.36006618,-0.2148178,0.0525132,0.1315818,-0.0790686
2,0.4637112,0.49950057,"('unlikable', 'likable')",0.27060002,0.15175705,0.3671556,0.3256288,0.0415268
17,-0.40451917,-0.46930885,"('nasty', 'nice')",-0.97084284,-0.98724025,-0.687681,-0.7282746,0.0405936
42,-0.3771431,0.0594286,"('unreliable', 'reliable')",-3.76102,-3.372562,-2.0690815,-1.6565666,-0.4125149
48,0.37149742,0.21709135,"('unintelligent', 'intelligent')",0.6436863,0.6965516,0.5075918,0.4568215,0.0507703
87,0.35966054,0.31327015,"('unsuccessful', 'successful')",1.2399074,1.3480185,0.7997839,0.8306444,-0.0308605
56,0.35604107,0.16528305,"('impractical', 'practical')",-0.93877995,-0.960088,-0.2913694,-0.3974025,0.1060331
21,0.33815256,0.21453866,"('immoral', 'moral')",-0.4935019,-0.3292906,-0.0776747,-0.057376,-0.0202987
3,0.33723292,0.3734007,"('repellent', 'pleasant')",1.0895622,1.1024525,0.7133976,0.7379266,-0.024529
41,-0.33602425,-0.50635445,"('unforgiving', 'forgiving')",0.007847222,-0.4213352,-0.1640885,-0.4638448,0.2997563
15,-0.32921523,-0.53167284,"('boring', 'funny')",-0.014631048,-0.26110554,-0.1719231,-0.3963892,0.2244661
58,0.3001071,0.0030127545,"('undiscriminating', 'discriminating')",0.40867472,0.24855104,0.3543909,0.1257819,0.228609
24,-0.29752135,-0.4537683,"('dishonest', 'honest')",0.709188,0.5914948,0.2058333,0.0688632,0.1369701
46,0.2853479,0.33566442,"('uncompetitive', 'competitive')",-0.8655888,-0.7531951,-0.2901204,-0.2087653,-0.0813551
78,-0.27813584,0.14430608,"('nonresilient', 'resilient')",-0.10695189,0.17969814,-0.1925439,0.1620021,-0.354546
27,-0.2566762,-0.20514971,"('hardhearted', 'softhearted')",1.5226289,1.3208464,0.6329764,0.5578483,0.0751281
50,-0.23988073,0.54205096,"('clumsy', 'skillful')",0.10209048,0.30049232,-0.0688951,0.4212716,-0.4901667
55,0.2277275,-0.025467426,"('incompetent', 'clever')",0.1932383,0.12941158,0.2104829,0.0519721,0.1585108
