,tegna_male,tegna_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-1.9666717,-1.6148843,"('distant', 'open')",-0.0780226,0.13782923,-1.0223472,-0.7385275,-0.2838197
5,-1.8725066,-1.4338365,"('distant', 'outgoing')",-0.5847968,-0.30860978,-1.2286518,-0.8712231,-0.3574287
1,-1.8505324,-1.464659,"('unfriendly', 'friendly')",1.3662281,1.5802743,-0.2421522,0.0578077,-0.2999599
31,-1.6944388,-1.4645073,"('evil', 'good')",-1.2260649,-1.1401616,-1.4602518,-1.3023345,-0.1579173
36,-1.6838931,-1.6183479,"('hostile', 'amicable')",-0.24183872,-0.07795472,-0.9628659,-0.8481513,-0.1147146
53,-1.4489102,-1.277075,"('uncreative', 'creative')",0.4076715,0.5672673,-0.5206194,-0.3549039,-0.1657155
86,-1.4408163,-0.99473435,"('uninfluential', 'influential')",-0.39066336,-0.41879165,-0.9157398,-0.706763,-0.2089768
57,-1.4269859,-1.1372175,"('unimaginative', 'imaginative')",-2.4169943,-2.5078743,-1.9219902,-1.8225459,-0.0994443
8,-1.3761252,-1.6303434,"('unaffectionate', 'affectionate')",0.54558396,0.75107414,-0.4152706,-0.4396347,0.0243641
79,-1.297358,-1.1938736,"('wavering', 'unwavering')",-0.37161478,-0.24637876,-0.8344864,-0.7201262,-0.1143602
9,-1.1938165,-1.1073595,"('unaffectionate', 'caring')",0.83694303,1.040135,-0.1784368,-0.0336123,-0.1448245
19,-1.1599531,-0.99332064,"('inhospitable', 'hospitable')",-0.34167412,-0.11700451,-0.7508136,-0.5551625,-0.1956511
2,1.1558065,0.7702053,"('unlikable', 'likable')",0.55729395,0.56255484,0.8565502,0.66638,0.1901702
60,1.109345,1.478837,"('inefficient', 'efficient')",0.258262,0.2838043,0.6838035,0.8813207,-0.1975172
44,1.0435575,0.788887,"('prejudiced', 'unprejudiced')",-1.3189688,-1.4799794,-0.1377056,-0.3455462,0.2078406
84,1.0416596,0.9941063,"('inferior', 'superior')",1.2021438,1.1863681,1.1219018,1.0902371,0.0316647
30,1.0099155,1.0675792,"('intolerant', 'tolerant')",1.5092101,1.487662,1.2595627,1.2776206,-0.0180579
66,-0.97459155,-0.72878605,"('inactive', 'active')",0.4737964,0.63638073,-0.2503976,-0.0462027,-0.2041949
51,-0.95864475,-0.87736714,"('uneducated', 'educated')",0.26851842,0.14357466,-0.3450631,-0.3668962,0.0218331
39,0.9190938,0.87283283,"('exploitative', 'cooperative')",0.06128885,0.046887025,0.4901913,0.4598599,0.0303314
76,0.8329379,1.1320509,"('anxious', 'daring')",0.3779897,0.41932774,0.6054638,0.7756893,-0.1702255
68,-0.8292827,-0.5934059,"('dependent', 'independent')",-0.6070078,-0.6080579,-0.7181453,-0.6007319,-0.1174134
35,-0.82883906,-0.9146956,"('corrupt', 'incorrupt')",-0.31775007,-0.21893312,-0.5732946,-0.5668144,-0.0064802
